,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,1790670.0,555870.0,518070.0,562170.0
TaxRateForCalcs,0.21,0.21,0.21,0.21
NormalizedEBITDA,-13057000.0,-12313000.0,364000.0,-3046000.0
TotalUnusualItems,8527000.0,2647000.0,2467000.0,2677000.0
TotalUnusualItemsExcludingGoodwill,8527000.0,2647000.0,2467000.0,2677000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-13269000.0,-18355000.0,-5574000.0,-9436000.0
ReconciledDepreciation,6911000.0,6723000.0,6404000.0,6134000.0
ReconciledCostOfRevenue,31891000.0,32288000.0,35745000.0,34081000.0
EBITDA,-4530000.0,-9666000.0,2831000.0,-369000.0
EBIT,-11441000.0,-16389000.0,-3573000.0,-6503000.0
NetInterestIncome,-1357000.0,-1331000.0,-1509000.0,-1456000.0
InterestExpense,1357000.0,1331000.0,1509000.0,1456000.0
NormalizedIncome,-20005330.0,-20446130.0,-7522930.0,-11550830.0
NetIncomeFromContinuingAndDiscontinuedOperation,-13269000.0,-18355000.0,-5574000.0,-9436000.0
TotalExpenses,73066000.0,75353000.0,72862000.0,71393000.0
TotalOperatingIncomeAsReported,-16909000.0,-18332000.0,-10045000.0,-11035000.0
DilutedAverageShares,48904102.0,48709384.0,48362501.0,48508766.0
BasicAverageShares,48904102.0,48709384.0,48362501.0,48508766.0
DilutedEPS,-0.31,-0.42,-0.16,-0.24
BasicEPS,-0.31,-0.42,-0.16,-0.24
DilutedNIAvailtoComStockholders,-15269000.0,-20355000.0,-7574000.0,-11436000.0
NetIncomeCommonStockholders,-15269000.0,-20355000.0,-7574000.0,-11436000.0
PreferredStockDividends,2000000.0,2000000.0,2000000.0,2000000.0
NetIncome,-13269000.0,-18355000.0,-5574000.0,-9436000.0
NetIncomeIncludingNoncontrollingInterests,-13269000.0,-18355000.0,-5574000.0,-9436000.0
NetIncomeContinuousOperations,-13269000.0,-18355000.0,-5574000.0,-9436000.0
TaxProvision,471000.0,635000.0,492000.0,1477000.0
PretaxIncome,-12798000.0,-17720000.0,-5082000.0,-7959000.0
OtherIncomeExpense,5468000.0,1943000.0,6472000.0,4532000.0
OtherNonOperatingIncomeExpenses,-3059000.0,-704000.0,4005000.0,1855000.0
SpecialIncomeCharges,5679000.0,,,
OtherSpecialCharges,-5679000.0,,,
GainOnSaleOfSecurity,2848000.0,2647000.0,2467000.0,2677000.0
NetNonOperatingInterestIncomeExpense,-1357000.0,-1331000.0,-1509000.0,-1456000.0
InterestExpenseNonOperating,1357000.0,1331000.0,1509000.0,1456000.0
OperatingIncome,-16909000.0,-18332000.0,-10045000.0,-11035000.0
OperatingExpense,41175000.0,43065000.0,37117000.0,37312000.0
ResearchAndDevelopment,5152000.0,4263000.0,3876000.0,4677000.0
SellingGeneralAndAdministration,36023000.0,38802000.0,33241000.0,32635000.0
GrossProfit,24266000.0,24733000.0,27072000.0,26277000.0
CostOfRevenue,31891000.0,32288000.0,35745000.0,34081000.0
TotalRevenue,56157000.0,57021000.0,62817000.0,60358000.0
OperatingRevenue,56157000.0,57021000.0,62817000.0,60358000.0
