,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.0,0.0,0.0
NormalizedEBITDA,-113572000.0,-113415000.0,-116200000.0,-119453000.0
TotalUnusualItems,0.0,0.0,0.0,0.0
TotalUnusualItemsExcludingGoodwill,0.0,0.0,0.0,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,-129422000.0,-128637000.0,-131289000.0,-137380000.0
ReconciledDepreciation,1854000.0,1855000.0,1848000.0,1658000.0
ReconciledCostOfRevenue,82532000.0,83194000.0,79421000.0,75018000.0
EBITDA,-113572000.0,-113415000.0,-116200000.0,-119453000.0
EBIT,-115426000.0,-115270000.0,-118048000.0,-121111000.0
NetInterestIncome,-7157000.0,-6588000.0,-6816000.0,-10350000.0
InterestExpense,13996000.0,13367000.0,13241000.0,16269000.0
InterestIncome,6839000.0,6779000.0,6425000.0,5919000.0
NormalizedIncome,-129422000.0,-128637000.0,-131289000.0,-137380000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-129422000.0,-128637000.0,-131289000.0,-137380000.0
TotalExpenses,122643000.0,122916000.0,129086000.0,128987000.0
TotalOperatingIncomeAsReported,-122265000.0,-122049000.0,-124473000.0,-127030000.0
DilutedAverageShares,96071000.0,95755000.0,95164000.0,94681000.0
BasicAverageShares,96071000.0,95755000.0,95164000.0,94681000.0
DilutedEPS,-1.35,-1.34,-1.38,-1.45
BasicEPS,-1.35,-1.34,-1.38,-1.45
DilutedNIAvailtoComStockholders,-129422000.0,-128637000.0,-131289000.0,-137380000.0
NetIncomeCommonStockholders,-129422000.0,-128637000.0,-131289000.0,-137380000.0
NetIncome,-129422000.0,-128637000.0,-131289000.0,-137380000.0
NetIncomeIncludingNoncontrollingInterests,-129422000.0,-128637000.0,-131289000.0,-137380000.0
NetIncomeContinuousOperations,-129422000.0,-128637000.0,-131289000.0,-137380000.0
PretaxIncome,-129422000.0,-128637000.0,-131289000.0,-137380000.0
OtherIncomeExpense,,,,0.0
SpecialIncomeCharges,0.0,0.0,0.0,0.0
OtherSpecialCharges,,,,0.0
NetNonOperatingInterestIncomeExpense,-7157000.0,-6588000.0,-6816000.0,-10350000.0
InterestExpenseNonOperating,13996000.0,13367000.0,13241000.0,16269000.0
InterestIncomeNonOperating,6839000.0,6779000.0,6425000.0,5919000.0
OperatingIncome,-122265000.0,-122049000.0,-124473000.0,-127030000.0
OperatingExpense,40111000.0,39722000.0,49665000.0,53969000.0
SellingGeneralAndAdministration,40111000.0,39722000.0,49665000.0,53969000.0
GeneralAndAdministrativeExpense,40111000.0,39722000.0,49665000.0,53969000.0
OtherGandA,40111000.0,39722000.0,49665000.0,53969000.0
GrossProfit,-82154000.0,-82327000.0,-74808000.0,-73061000.0
CostOfRevenue,82532000.0,83194000.0,79421000.0,75018000.0
TotalRevenue,378000.0,867000.0,4613000.0,1957000.0
OperatingRevenue,378000.0,867000.0,4613000.0,88957000.0
