,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,119200.0,662500.0,-528000.0,-642142.857143
TaxRateForCalcs,0.298,0.265,0.132,0.221429
NormalizedEBITDA,47300000.0,71200000.0,42300000.0,37500000.0
TotalUnusualItems,400000.0,2500000.0,-4000000.0,-2900000.0
TotalUnusualItemsExcludingGoodwill,400000.0,2500000.0,-4000000.0,-2900000.0
NetIncomeFromContinuingOperationNetMinorityInterest,18100000.0,37700000.0,15800000.0,10900000.0
ReconciledDepreciation,17200000.0,17400000.0,16100000.0,17000000.0
ReconciledCostOfRevenue,68100000.0,95200000.0,86600000.0,71400000.0
EBITDA,47700000.0,73700000.0,38300000.0,34600000.0
EBIT,30500000.0,56300000.0,22200000.0,17600000.0
NetInterestIncome,-4100000.0,-4600000.0,-3500000.0,-3300000.0
InterestExpense,4700000.0,5000000.0,4000000.0,3600000.0
InterestIncome,600000.0,400000.0,500000.0,300000.0
NormalizedIncome,17819200.0,35862500.0,19272000.0,13157857.142857
NetIncomeFromContinuingAndDiscontinuedOperation,18100000.0,37700000.0,15800000.0,10900000.0
TotalExpenses,150500000.0,188700000.0,172900000.0,147500000.0
TotalOperatingIncomeAsReported,29800000.0,55600000.0,14800000.0,17100000.0
DilutedAverageShares,30300000.0,30400000.0,30500000.0,30700000.0
BasicAverageShares,29400000.0,29500000.0,29200000.0,29100000.0
DilutedEPS,0.6,1.24,0.52,0.36
BasicEPS,0.62,1.28,0.54,0.37
DilutedNIAvailtoComStockholders,18100000.0,37700000.0,15800000.0,10900000.0
NetIncomeCommonStockholders,18100000.0,37700000.0,15800000.0,10900000.0
NetIncome,18100000.0,37700000.0,15800000.0,10900000.0
NetIncomeIncludingNoncontrollingInterests,18100000.0,37700000.0,15800000.0,10900000.0
NetIncomeContinuousOperations,18100000.0,37700000.0,15800000.0,10900000.0
TaxProvision,7700000.0,13600000.0,2400000.0,3100000.0
PretaxIncome,25800000.0,51300000.0,18200000.0,14000000.0
OtherIncomeExpense,400000.0,2500000.0,-4000000.0,-2900000.0
SpecialIncomeCharges,300000.0,2200000.0,-10900000.0,-3100000.0
WriteOff,100000.0,,,
RestructuringAndMergernAcquisition,-400000.0,-2200000.0,10900000.0,3000000.0
GainOnSaleOfSecurity,100000.0,300000.0,6900000.0,200000.0
NetNonOperatingInterestIncomeExpense,-4100000.0,-4600000.0,-3500000.0,-3300000.0
InterestExpenseNonOperating,4700000.0,5000000.0,4000000.0,3600000.0
InterestIncomeNonOperating,600000.0,400000.0,500000.0,300000.0
OperatingIncome,29500000.0,53400000.0,25700000.0,20200000.0
OperatingExpense,79600000.0,90500000.0,82600000.0,71800000.0
OtherOperatingExpenses,-200000.0,-100000.0,-300000.0,600000.0
DepreciationAmortizationDepletionIncomeStatement,14400000.0,14400000.0,12400000.0,12700000.0
DepreciationAndAmortizationInIncomeStatement,14400000.0,14400000.0,12400000.0,12700000.0
SellingGeneralAndAdministration,65400000.0,76200000.0,70500000.0,58500000.0
GrossProfit,109100000.0,143900000.0,108300000.0,92000000.0
CostOfRevenue,70900000.0,98200000.0,90300000.0,75700000.0
TotalRevenue,180000000.0,242100000.0,198600000.0,167700000.0
OperatingRevenue,180000000.0,242100000.0,198600000.0,167700000.0
