,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.244166,0.242,0.237,0.236
NormalizedEBITDA,1958500000.0,1755400000.0,1229800000.0,1249300000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1509700000.0,1335100000.0,942200000.0,958700000.0
ReconciledDepreciation,21400000.0,23700000.0,26700000.0,19800000.0
ReconciledCostOfRevenue,7680700000.0,7141800000.0,5996200000.0,5291300000.0
EBITDA,1958500000.0,1755400000.0,1229800000.0,1249300000.0
EBIT,1937100000.0,1731700000.0,1203100000.0,1229500000.0
NormalizedIncome,1509700000.0,1335100000.0,942200000.0,958700000.0
NetIncomeFromContinuingAndDiscontinuedOperation,1509700000.0,1335100000.0,942200000.0,958700000.0
TotalExpenses,8566900000.0,7993900000.0,6769800000.0,6028300000.0
DilutedAverageShares,339300000.0,342300000.0,344900000.0,346900000.0
BasicAverageShares,336600000.0,339900000.0,342100000.0,344200000.0
DilutedEPS,4.45,3.9,2.73,2.76
BasicEPS,4.49,3.93,2.75,2.79
DilutedNIAvailtoComStockholders,1509700000.0,1335100000.0,942200000.0,958700000.0
NetIncomeCommonStockholders,1509700000.0,1335100000.0,942200000.0,958700000.0
NetIncome,1509700000.0,1335100000.0,942200000.0,958700000.0
MinorityInterests,-15800000.0,-16600000.0,-7400000.0,-9600000.0
NetIncomeIncludingNoncontrollingInterests,1525500000.0,1351700000.0,949600000.0,968300000.0
NetIncomeContinuousOperations,1525500000.0,1351700000.0,949600000.0,968300000.0
TaxProvision,492800000.0,432200000.0,295700000.0,298900000.0
PretaxIncome,2018300000.0,1783900000.0,1245300000.0,1267200000.0
OtherIncomeExpense,81200000.0,52200000.0,42200000.0,37700000.0
OtherNonOperatingIncomeExpenses,81200000.0,52200000.0,42200000.0,37700000.0
OperatingIncome,1937100000.0,1731700000.0,1203100000.0,1229500000.0
OperatingExpense,886200000.0,852100000.0,773600000.0,737000000.0
SellingGeneralAndAdministration,886200000.0,852100000.0,773600000.0,737000000.0
GrossProfit,2823300000.0,2583800000.0,1976700000.0,1966500000.0
CostOfRevenue,7680700000.0,7141800000.0,5996200000.0,5291300000.0
TotalRevenue,10504000000.0,9725600000.0,7972900000.0,7257800000.0
OperatingRevenue,10504000000.0,9725600000.0,7972900000.0,7257800000.0
