,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,-57600000.0,12956400.0,-12301300.0,12478669.875301,-47534500.0
TaxRateForCalcs,0.4,0.183,0.211,0.201269,0.355
NormalizedEBITDA,405700000.0,485400000.0,390000000.0,525000000.0,461500000.0
TotalUnusualItems,-144000000.0,70800000.0,-58300000.0,62000000.0,-133900000.0
TotalUnusualItemsExcludingGoodwill,-144000000.0,70800000.0,-58300000.0,62000000.0,-133900000.0
NetIncomeFromContinuingOperationNetMinorityInterest,63000000.0,337700000.0,154200000.0,365300000.0,141200000.0
ReconciledDepreciation,100500000.0,95700000.0,92400000.0,90000000.0,76300000.0
ReconciledCostOfRevenue,1840400000.0,2080400000.0,1805900000.0,2288700000.0,2054600000.0
EBITDA,261700000.0,556200000.0,331700000.0,587000000.0,327600000.0
EBIT,161200000.0,460500000.0,239300000.0,497000000.0,251300000.0
NetInterestIncome,-61800000.0,-41100000.0,-42800000.0,-36000000.0,-32800000.0
InterestExpense,46100000.0,45800000.0,43600000.0,39900000.0,31900000.0
InterestIncome,6100000.0,6100000.0,1500000.0,1400000.0,300000.0
NormalizedIncome,149400000.0,279856400.0,200198700.0,315778669.875301,227565500.0
NetIncomeFromContinuingAndDiscontinuedOperation,63000000.0,337700000.0,154200000.0,365300000.0,141200000.0
TotalExpenses,2146900000.0,2393000000.0,2133900000.0,2645200000.0,2323200000.0
TotalOperatingIncomeAsReported,317800000.0,378800000.0,281900000.0,436900000.0,384800000.0
DilutedAverageShares,77817364.0,79255857.0,80411463.0,,80253434.0
BasicAverageShares,76514017.0,77874472.0,78856822.0,,78735106.0
DilutedEPS,0.81,4.26,1.92,,1.76
BasicEPS,0.82,4.34,1.96,,1.79
DilutedNIAvailtoComStockholders,63000000.0,337700000.0,154200000.0,365300000.0,141200000.0
NetIncomeCommonStockholders,63000000.0,337700000.0,154200000.0,365300000.0,141200000.0
NetIncome,63000000.0,337700000.0,154200000.0,365300000.0,141200000.0
MinorityInterests,-100000.0,-1000000.0,-300000.0,200000.0,-400000.0
NetIncomeIncludingNoncontrollingInterests,63100000.0,338700000.0,154500000.0,365100000.0,141600000.0
NetIncomeContinuousOperations,63100000.0,338700000.0,154500000.0,365100000.0,141600000.0
TaxProvision,52000000.0,76000000.0,41200000.0,92000000.0,77800000.0
PretaxIncome,115100000.0,414700000.0,195700000.0,457100000.0,219400000.0
OtherIncomeExpense,-144000000.0,70800000.0,-57000000.0,62000000.0,-133900000.0
OtherNonOperatingIncomeExpenses,,,1300000.0,,
GainOnSaleOfSecurity,-144000000.0,70800000.0,-58300000.0,62000000.0,-133900000.0
NetNonOperatingInterestIncomeExpense,-61800000.0,-41100000.0,-42800000.0,-36000000.0,-32800000.0
TotalOtherFinanceCost,21800000.0,1400000.0,700000.0,-2500000.0,1200000.0
InterestExpenseNonOperating,46100000.0,45800000.0,43600000.0,39900000.0,31900000.0
InterestIncomeNonOperating,6100000.0,6100000.0,1500000.0,1400000.0,300000.0
OperatingIncome,320900000.0,385000000.0,295500000.0,431100000.0,386100000.0
OperatingExpense,306500000.0,312600000.0,328000000.0,356500000.0,268600000.0
OtherOperatingExpenses,1600000.0,-1000000.0,,-4100000.0,-200000.0
ResearchAndDevelopment,114400000.0,102700000.0,101700000.0,121000000.0,80600000.0
SellingGeneralAndAdministration,190500000.0,210900000.0,226300000.0,239600000.0,188200000.0
SellingAndMarketingExpense,117800000.0,117100000.0,127500000.0,117800000.0,113300000.0
GeneralAndAdministrativeExpense,72700000.0,93800000.0,98800000.0,121800000.0,74900000.0
OtherGandA,72700000.0,93800000.0,98800000.0,121800000.0,74900000.0
GrossProfit,627400000.0,697600000.0,623500000.0,787600000.0,654700000.0
CostOfRevenue,1840400000.0,2080400000.0,1805900000.0,2288700000.0,2054600000.0
TotalRevenue,2467800000.0,2778000000.0,2429400000.0,3076300000.0,2709300000.0
OperatingRevenue,2467800000.0,2778000000.0,2429400000.0,3076300000.0,2709300000.0
