,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-50203.171882,5794.62216,-386093.844167,33104.27939
TaxRateForCalcs,0.267038,0.199815,0.232028,0.082145
NormalizedEBITDA,-4426000.0,-5826000.0,-18895000.0,-20286000.0
TotalUnusualItems,-188000.0,29000.0,-1664000.0,403000.0
TotalUnusualItemsExcludingGoodwill,-188000.0,29000.0,-1664000.0,403000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-4866000.0,-5219000.0,-17624000.0,-18415000.0
ReconciledDepreciation,3992000.0,0.0,2039000.0,1979000.0
ReconciledCostOfRevenue,183852000.0,206795000.0,156102000.0,94491000.0
EBITDA,-4614000.0,-5797000.0,-20559000.0,-19883000.0
EBIT,-8606000.0,-7790000.0,-22598000.0,-21862000.0
NetInterestIncome,1785000.0,1370000.0,1105000.0,1215000.0
InterestIncome,1785000.0,1370000.0,1105000.0,
NormalizedIncome,-4728203.171882,-5242205.37784,-16346093.844167,-18784895.72061
NetIncomeFromContinuingAndDiscontinuedOperation,-4866000.0,-5219000.0,-17624000.0,-18415000.0
TotalExpenses,260154000.0,283702000.0,236580000.0,229192000.0
TotalOperatingIncomeAsReported,-8821000.0,-8297000.0,-23808000.0,-21862000.0
DilutedAverageShares,82199757.0,82195791.0,82193760.0,80565625.0
BasicAverageShares,82199757.0,82195791.0,82193760.0,80565625.0
DilutedEPS,-0.06,-0.06,-0.219048,-0.228571
BasicEPS,-0.06,-0.06,-0.219048,-0.228571
DilutedNIAvailtoComStockholders,-4866000.0,-5219000.0,-17931000.0,-17860000.0
NetIncomeCommonStockholders,-4866000.0,-5219000.0,-17931000.0,-17860000.0
OtherunderPreferredStockDividend,0.0,0.0,307000.0,
NetIncome,-4866000.0,-5219000.0,-17624000.0,-18415000.0
MinorityInterests,264000.0,-41000.0,216000.0,245000.0
NetIncomeIncludingNoncontrollingInterests,-5130000.0,-5178000.0,-17840000.0,-18660000.0
NetIncomeContinuousOperations,-5130000.0,-5178000.0,-17840000.0,-18660000.0
TaxProvision,-1869000.0,-1293000.0,-5390000.0,-1670000.0
PretaxIncome,-6999000.0,-6471000.0,-23230000.0,-20330000.0
OtherIncomeExpense,-178000.0,-51000.0,-1737000.0,317000.0
SpecialIncomeCharges,-215000.0,-507000.0,-1210000.0,-581000.0
RestructuringAndMergernAcquisition,215000.0,507000.0,1210000.0,0.0
EarningsFromEquityInterest,10000.0,-80000.0,-73000.0,-86000.0
GainOnSaleOfSecurity,27000.0,536000.0,-454000.0,984000.0
NetNonOperatingInterestIncomeExpense,1785000.0,1370000.0,1105000.0,1215000.0
InterestIncomeNonOperating,1785000.0,1370000.0,1105000.0,
OperatingIncome,-8606000.0,-7790000.0,-22598000.0,-21862000.0
OperatingExpense,74309000.0,78900000.0,80478000.0,134701000.0
OtherOperatingExpenses,17121000.0,17324000.0,18893000.0,
DepreciationAmortizationDepletionIncomeStatement,1999000.0,1993000.0,2039000.0,1979000.0
DepreciationAndAmortizationInIncomeStatement,1999000.0,1993000.0,2039000.0,1979000.0
ResearchAndDevelopment,5602000.0,6163000.0,6012000.0,5964000.0
SellingGeneralAndAdministration,49587000.0,53420000.0,53534000.0,53812000.0
SellingAndMarketingExpense,20770000.0,22161000.0,21239000.0,21618000.0
GeneralAndAdministrativeExpense,28817000.0,31259000.0,32295000.0,32194000.0
OtherGandA,28817000.0,31259000.0,32295000.0,32194000.0
GrossProfit,65703000.0,71110000.0,57880000.0,112839000.0
CostOfRevenue,185845000.0,204802000.0,156102000.0,94491000.0
TotalRevenue,251548000.0,275912000.0,213982000.0,207330000.0
OperatingRevenue,247952000.0,271864000.0,210813000.0,204204000.0
