,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,-1617000.0,-987000.0,-1428000.0
TaxRateForCalcs,0.0,0.21,0.21,0.21
NormalizedEBITDA,69100000.0,109300000.0,112000000.0,89600000.0
TotalUnusualItems,-3000000.0,-7700000.0,-4700000.0,-6800000.0
TotalUnusualItemsExcludingGoodwill,-3000000.0,-7700000.0,-4700000.0,-6800000.0
NetIncomeFromContinuingOperationNetMinorityInterest,7200000.0,54200000.0,50700000.0,27900000.0
ReconciledDepreciation,41900000.0,42300000.0,42500000.0,41800000.0
ReconciledCostOfRevenue,897700000.0,922200000.0,929600000.0,934200000.0
EBITDA,66100000.0,101600000.0,107300000.0,82800000.0
EBIT,24200000.0,59300000.0,64800000.0,41000000.0
NetInterestIncome,-17000000.0,-14500000.0,-14200000.0,-13900000.0
InterestExpense,17000000.0,14500000.0,14200000.0,13900000.0
NormalizedIncome,10200000.0,60283000.0,54413000.0,33272000.0
NetIncomeFromContinuingAndDiscontinuedOperation,7200000.0,54200000.0,50700000.0,27900000.0
TotalExpenses,982000000.0,1007000000.0,1012700000.0,970300000.0
TotalOperatingIncomeAsReported,24200000.0,59300000.0,64200000.0,40700000.0
DilutedAverageShares,45400000.0,45300000.0,45100000.0,44800000.0
BasicAverageShares,44600000.0,44300000.0,44100000.0,44000000.0
DilutedEPS,0.16,1.19,1.12,0.62
BasicEPS,0.16,1.22,1.15,0.63
DilutedNIAvailtoComStockholders,7200000.0,54200000.0,50700000.0,27900000.0
NetIncomeCommonStockholders,7200000.0,54200000.0,50700000.0,27900000.0
NetIncome,7200000.0,54200000.0,50700000.0,27900000.0
NetIncomeIncludingNoncontrollingInterests,7200000.0,54200000.0,50700000.0,27900000.0
NetIncomeContinuousOperations,7200000.0,54200000.0,50700000.0,27900000.0
TaxProvision,0.0,-9400000.0,-100000.0,-800000.0
PretaxIncome,7200000.0,44800000.0,50600000.0,27100000.0
OtherIncomeExpense,-6300000.0,-9200000.0,-5700000.0,-7700000.0
OtherNonOperatingIncomeExpenses,-3300000.0,-1500000.0,-1000000.0,-900000.0
SpecialIncomeCharges,-3000000.0,-7700000.0,-4700000.0,-6800000.0
GainOnSaleOfBusiness,,,-1800000.0,-3300000.0
OtherSpecialCharges,2200000.0,-2000000.0,1900000.0,1100000.0
WriteOff,800000.0,,,
RestructuringAndMergernAcquisition,,7900000.0,1000000.0,2400000.0
NetNonOperatingInterestIncomeExpense,-17000000.0,-14500000.0,-14200000.0,-13900000.0
InterestExpenseNonOperating,17000000.0,14500000.0,14200000.0,13900000.0
OperatingIncome,30500000.0,68500000.0,70500000.0,48700000.0
OperatingExpense,84300000.0,84800000.0,83100000.0,36100000.0
OtherOperatingExpenses,,,,500000.0
DepreciationAmortizationDepletionIncomeStatement,41900000.0,42300000.0,42500000.0,
DepreciationAndAmortizationInIncomeStatement,41900000.0,42300000.0,42500000.0,
SellingGeneralAndAdministration,42400000.0,38800000.0,40600000.0,35600000.0
GeneralAndAdministrativeExpense,42400000.0,38800000.0,40600000.0,35600000.0
OtherGandA,42400000.0,38800000.0,40600000.0,35600000.0
GrossProfit,114800000.0,153300000.0,153600000.0,84800000.0
CostOfRevenue,897700000.0,922200000.0,929600000.0,934200000.0
TotalRevenue,1012500000.0,1075500000.0,1083200000.0,1019000000.0
OperatingRevenue,1012500000.0,1075500000.0,1083200000.0,1019000000.0
