,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,259368000.0,-84958000.0,43758000.0,60226779.252111
TaxRateForCalcs,0.214,0.397,0.221,0.190591
NormalizedEBITDA,552000000.0,619000000.0,665000000.0,745000000.0
TotalUnusualItems,1212000000.0,-214000000.0,198000000.0,316000000.0
TotalUnusualItemsExcludingGoodwill,1212000000.0,-214000000.0,198000000.0,316000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1306000000.0,172000000.0,569000000.0,671000000.0
ReconciledDepreciation,97000000.0,101000000.0,107000000.0,107000000.0
ReconciledCostOfRevenue,612000000.0,622000000.0,601000000.0,575000000.0
EBITDA,1764000000.0,405000000.0,863000000.0,1061000000.0
EBIT,1667000000.0,304000000.0,756000000.0,954000000.0
NetInterestIncome,-6000000.0,-19000000.0,-26000000.0,-52000000.0
InterestExpense,6000000.0,19000000.0,26000000.0,125000000.0
NormalizedIncome,353368000.0,301042000.0,414758000.0,415226779.252111
NetIncomeFromContinuingAndDiscontinuedOperation,1305000000.0,171000000.0,567000000.0,672000000.0
TotalExpenses,2045000000.0,2022000000.0,1952000000.0,1945000000.0
TotalOperatingIncomeAsReported,455000000.0,518000000.0,558000000.0,565000000.0
DilutedAverageShares,532000000.0,537000000.0,541000000.0,544000000.0
BasicAverageShares,529000000.0,534000000.0,537000000.0,541000000.0
DilutedEPS,2.46,0.32,1.05,1.23
BasicEPS,2.47,0.32,1.06,1.24
DilutedNIAvailtoComStockholders,1305000000.0,171000000.0,567000000.0,672000000.0
NetIncomeCommonStockholders,1305000000.0,171000000.0,567000000.0,672000000.0
NetIncome,1305000000.0,171000000.0,567000000.0,672000000.0
NetIncomeIncludingNoncontrollingInterests,1305000000.0,171000000.0,567000000.0,672000000.0
NetIncomeDiscontinuousOperations,-1000000.0,-1000000.0,-2000000.0,1000000.0
NetIncomeContinuousOperations,1306000000.0,172000000.0,569000000.0,671000000.0
TaxProvision,355000000.0,113000000.0,161000000.0,158000000.0
PretaxIncome,1661000000.0,285000000.0,730000000.0,829000000.0
OtherIncomeExpense,1212000000.0,-214000000.0,198000000.0,316000000.0
GainOnSaleOfSecurity,1212000000.0,-214000000.0,198000000.0,316000000.0
NetNonOperatingInterestIncomeExpense,-6000000.0,-19000000.0,-26000000.0,-52000000.0
InterestExpenseNonOperating,6000000.0,19000000.0,26000000.0,125000000.0
OperatingIncome,455000000.0,518000000.0,558000000.0,565000000.0
OperatingExpense,1340000000.0,1304000000.0,1252000000.0,1264000000.0
OtherOperatingExpenses,85000000.0,90000000.0,84000000.0,81000000.0
DepreciationAmortizationDepletionIncomeStatement,4000000.0,5000000.0,8000000.0,1000000.0
DepreciationAndAmortizationInIncomeStatement,4000000.0,5000000.0,8000000.0,1000000.0
Amortization,4000000.0,5000000.0,8000000.0,1000000.0
AmortizationOfIntangiblesIncomeStatement,4000000.0,5000000.0,8000000.0,1000000.0
ResearchAndDevelopment,401000000.0,392000000.0,352000000.0,340000000.0
SellingGeneralAndAdministration,850000000.0,817000000.0,808000000.0,842000000.0
SellingAndMarketingExpense,567000000.0,566000000.0,511000000.0,554000000.0
GeneralAndAdministrativeExpense,283000000.0,251000000.0,297000000.0,288000000.0
OtherGandA,283000000.0,251000000.0,297000000.0,288000000.0
GrossProfit,1795000000.0,1822000000.0,1810000000.0,1829000000.0
CostOfRevenue,705000000.0,718000000.0,700000000.0,681000000.0
TotalRevenue,2500000000.0,2540000000.0,2510000000.0,2510000000.0
OperatingRevenue,2500000000.0,2540000000.0,2510000000.0,2510000000.0
