,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-2189000.0,-48678000.0,0.0,0.0
TaxRateForCalcs,0.01,0.21,0.21,0.21
NormalizedEBITDA,700000.0,43100000.0,-108600000.0,-22800000.0
TotalUnusualItems,-218900000.0,-231800000.0,,
TotalUnusualItemsExcludingGoodwill,-218900000.0,-231800000.0,,
NetIncomeFromContinuingOperationNetMinorityInterest,-263400000.0,-261300000.0,-183000000.0,-88000000.0
ReconciledDepreciation,28000000.0,32900000.0,34600000.0,35600000.0
ReconciledCostOfRevenue,165100000.0,173800000.0,137500000.0,201700000.0
EBITDA,-218200000.0,-188700000.0,-108600000.0,-22800000.0
EBIT,-246200000.0,-221600000.0,-143200000.0,-58400000.0
NetInterestIncome,-19700000.0,-28600000.0,-17900000.0,-12800000.0
InterestExpense,19700000.0,28600000.0,17900000.0,12800000.0
NormalizedIncome,-46689000.0,-78178000.0,-183000000.0,-88000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-263400000.0,-261300000.0,-183000000.0,-88000000.0
TotalExpenses,287900000.0,317500000.0,306700000.0,382000000.0
TotalOperatingIncomeAsReported,-242100000.0,-292900000.0,-148100000.0,-65100000.0
DilutedAverageShares,51800000.0,50700000.0,50200000.0,49900000.0
BasicAverageShares,51800000.0,50700000.0,50200000.0,49900000.0
DilutedEPS,-5.133205,-5.15,-3.65,-1.76
BasicEPS,-5.133205,-5.15,-3.65,-1.76
DilutedNIAvailtoComStockholders,-263400000.0,-261300000.0,-183000000.0,-88000000.0
NetIncomeCommonStockholders,-263400000.0,-261300000.0,-183000000.0,-88000000.0
NetIncome,-263400000.0,-261300000.0,-183000000.0,-88000000.0
NetIncomeIncludingNoncontrollingInterests,-263400000.0,-261300000.0,-183000000.0,-88000000.0
NetIncomeContinuousOperations,-263400000.0,-261300000.0,-183000000.0,-88000000.0
TaxProvision,-2500000.0,11100000.0,21900000.0,16800000.0
PretaxIncome,-265900000.0,-250200000.0,-161100000.0,-71200000.0
OtherIncomeExpense,-222300000.0,-235400000.0,4900000.0,0.0
OtherNonOperatingIncomeExpenses,-3400000.0,-3600000.0,4900000.0,6700000.0
SpecialIncomeCharges,-218900000.0,-231800000.0,,
GainOnSaleOfBusiness,-700000.0,74900000.0,,
ImpairmentOfCapitalAssets,218200000.0,306700000.0,,
NetNonOperatingInterestIncomeExpense,-19700000.0,-28600000.0,-17900000.0,-12800000.0
InterestExpenseNonOperating,19700000.0,28600000.0,17900000.0,12800000.0
OperatingIncome,-23900000.0,13800000.0,-148100000.0,-58400000.0
OperatingExpense,111100000.0,126900000.0,151600000.0,162600000.0
OtherOperatingExpenses,-6500000.0,-6600000.0,-6500000.0,-7100000.0
DepreciationAmortizationDepletionIncomeStatement,16300000.0,16100000.0,17000000.0,17900000.0
DepreciationAndAmortizationInIncomeStatement,16300000.0,16100000.0,17000000.0,17900000.0
Amortization,16300000.0,16100000.0,17000000.0,17900000.0
AmortizationOfIntangiblesIncomeStatement,16300000.0,16100000.0,17000000.0,17900000.0
ResearchAndDevelopment,15300000.0,26000000.0,40600000.0,57600000.0
SellingGeneralAndAdministration,86000000.0,91400000.0,100500000.0,94200000.0
GrossProfit,87200000.0,140700000.0,3500000.0,104200000.0
CostOfRevenue,176800000.0,190600000.0,155100000.0,219400000.0
TotalRevenue,264000000.0,331300000.0,158600000.0,323600000.0
OperatingRevenue,264000000.0,331300000.0,158600000.0,323600000.0
