,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-5646858.638743,2303030.30303,1327497.621313,966000.0
TaxRateForCalcs,0.138743,0.174472,0.103711,0.21
NormalizedEBITDA,350500000.0,329500000.0,320300000.0,309500000.0
TotalUnusualItems,-40700000.0,13200000.0,12800000.0,4600000.0
TotalUnusualItemsExcludingGoodwill,-40700000.0,13200000.0,12800000.0,4600000.0
NetIncomeFromContinuingOperationNetMinorityInterest,29500000.0,54300000.0,58200000.0,160000000.0
ReconciledDepreciation,163800000.0,165300000.0,160400000.0,164900000.0
ReconciledCostOfRevenue,1408500000.0,1184300000.0,1432300000.0,1707000000.0
EBITDA,309800000.0,342700000.0,333100000.0,314100000.0
EBIT,146000000.0,177400000.0,172700000.0,149200000.0
NetInterestIncome,-69300000.0,-69900000.0,-69000000.0,-72200000.0
InterestExpense,69600000.0,68500000.0,67600000.0,67000000.0
InterestIncome,300000.0,400000.0,100000.0,300000.0
NormalizedIncome,64553141.361257,43403030.30303,46727497.621313,156366000.0
NetIncomeFromContinuingAndDiscontinuedOperation,29500000.0,54300000.0,58200000.0,160000000.0
TotalExpenses,1582200000.0,1349000000.0,1594200000.0,1878600000.0
TotalOperatingIncomeAsReported,143900000.0,181900000.0,173700000.0,157600000.0
DilutedAverageShares,463900000.0,466700000.0,473300000.0,477700000.0
BasicAverageShares,459300000.0,462700000.0,468900000.0,471000000.0
DilutedEPS,0.06,0.12,0.12,0.33
BasicEPS,0.06,0.12,0.12,0.34
DilutedNIAvailtoComStockholders,29500000.0,54300000.0,58200000.0,160000000.0
NetIncomeCommonStockholders,29500000.0,54300000.0,58200000.0,160000000.0
NetIncome,29500000.0,54300000.0,58200000.0,160000000.0
MinorityInterests,-36300000.0,-35600000.0,-36000000.0,-34200000.0
NetIncomeIncludingNoncontrollingInterests,65800000.0,89900000.0,94200000.0,194200000.0
NetIncomeContinuousOperations,65800000.0,89900000.0,94200000.0,194200000.0
TaxProvision,10600000.0,19000000.0,10900000.0,-112000000.0
PretaxIncome,76400000.0,108900000.0,105100000.0,82200000.0
OtherIncomeExpense,-40300000.0,9000000.0,12700000.0,3200000.0
OtherNonOperatingIncomeExpenses,-600000.0,400000.0,,200000.0
SpecialIncomeCharges,-20100000.0,800000.0,400000.0,-14100000.0
GainOnSaleOfPPE,600000.0,800000.0,400000.0,-14100000.0
OtherSpecialCharges,,,,0.0
ImpairmentOfCapitalAssets,20700000.0,,,
EarningsFromEquityInterest,1000000.0,-4600000.0,-100000.0,-1600000.0
GainOnSaleOfSecurity,-20600000.0,12400000.0,12400000.0,18700000.0
NetNonOperatingInterestIncomeExpense,-69300000.0,-69900000.0,-69000000.0,-72200000.0
TotalOtherFinanceCost,,1800000.0,1500000.0,
InterestExpenseNonOperating,69600000.0,68500000.0,67600000.0,67000000.0
InterestIncomeNonOperating,300000.0,400000.0,100000.0,300000.0
OperatingIncome,186000000.0,169800000.0,161400000.0,151200000.0
OperatingExpense,173700000.0,164700000.0,161900000.0,171600000.0
OtherOperatingExpenses,143300000.0,136800000.0,132400000.0,138300000.0
SellingGeneralAndAdministration,30400000.0,27900000.0,29500000.0,33300000.0
GeneralAndAdministrativeExpense,30400000.0,27900000.0,29500000.0,33300000.0
OtherGandA,30400000.0,27900000.0,29500000.0,33300000.0
GrossProfit,359700000.0,334500000.0,323300000.0,322800000.0
CostOfRevenue,1408500000.0,1184300000.0,1432300000.0,1707000000.0
TotalRevenue,1768200000.0,1518800000.0,1755600000.0,2029800000.0
OperatingRevenue,1768200000.0,1518800000.0,1755600000.0,2029800000.0
