,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.355,0.21,0.21,0.21
NormalizedEBITDA,34912000.0,18494000.0,21884000.0,6576000.0
NetIncomeFromContinuingOperationNetMinorityInterest,7091000.0,-21416000.0,-41228000.0,-36505000.0
ReconciledDepreciation,34311000.0,33806000.0,32941000.0,33340000.0
ReconciledCostOfRevenue,119538000.0,123497000.0,108989000.0,106588000.0
EBITDA,34912000.0,18494000.0,21884000.0,6576000.0
EBIT,601000.0,-15312000.0,-11057000.0,-26764000.0
NormalizedIncome,7091000.0,-21416000.0,-41228000.0,-36505000.0
NetIncomeFromContinuingAndDiscontinuedOperation,7091000.0,-21416000.0,-41228000.0,-36505000.0
TotalExpenses,316246000.0,327746000.0,309764000.0,319408000.0
TotalOperatingIncomeAsReported,601000.0,-15312000.0,-11057000.0,-26534000.0
DilutedAverageShares,54970616.0,54439733.0,54143259.0,56076261.0
BasicAverageShares,54562270.0,54439733.0,54143259.0,55119075.0
DilutedEPS,0.13,-0.39,-0.76,-0.85
BasicEPS,0.13,-0.39,-0.76,-0.66
DilutedNIAvailtoComStockholders,7091000.0,-21416000.0,-41228000.0,-36505000.0
AverageDilutionEarnings,,,0.0,
NetIncomeCommonStockholders,7091000.0,-21416000.0,-41228000.0,-36505000.0
NetIncome,7091000.0,-21416000.0,-41228000.0,-36505000.0
MinorityInterests,2035000.0,1716000.0,1533000.0,1336000.0
NetIncomeIncludingNoncontrollingInterests,5056000.0,-23132000.0,-42761000.0,-37841000.0
NetIncomeContinuousOperations,5056000.0,-23132000.0,-42761000.0,-37841000.0
TaxProvision,-8824000.0,418000.0,23769000.0,8603000.0
PretaxIncome,-3768000.0,-22714000.0,-18992000.0,-29238000.0
OtherIncomeExpense,-4369000.0,-7402000.0,-7935000.0,9955000.0
OtherNonOperatingIncomeExpenses,-4369000.0,-7402000.0,-7935000.0,9955000.0
OperatingIncome,601000.0,-15312000.0,-11057000.0,-26534000.0
OperatingExpense,196708000.0,204249000.0,200775000.0,212820000.0
DepreciationAmortizationDepletionIncomeStatement,34311000.0,33806000.0,32941000.0,33340000.0
DepreciationAndAmortizationInIncomeStatement,34311000.0,33806000.0,32941000.0,33340000.0
Amortization,15124000.0,,,
AmortizationOfIntangiblesIncomeStatement,15124000.0,,,
DepreciationIncomeStatement,19187000.0,,,
SellingGeneralAndAdministration,162397000.0,170443000.0,167834000.0,179480000.0
GeneralAndAdministrativeExpense,162397000.0,170443000.0,167834000.0,179480000.0
OtherGandA,49063000.0,53346000.0,53619000.0,58208000.0
SalariesAndWages,113334000.0,117097000.0,114215000.0,121272000.0
GrossProfit,197309000.0,188937000.0,189718000.0,186286000.0
CostOfRevenue,119538000.0,123497000.0,108989000.0,106588000.0
TotalRevenue,316847000.0,312434000.0,298707000.0,292874000.0
OperatingRevenue,316847000.0,312434000.0,298707000.0,292874000.0
