,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30
TaxEffectOfUnusualItems,-601328.0,968450.982471,-486432.0,-881165.0,-266122.0
TaxRateForCalcs,0.236,0.183453,0.216,0.295,0.271
NormalizedEBITDA,33645000.0,30046000.0,31250000.0,20464000.0,16782000.0
TotalUnusualItems,-2548000.0,5279000.0,-2252000.0,-2987000.0,-982000.0
TotalUnusualItemsExcludingGoodwill,-2548000.0,5279000.0,-2252000.0,-2987000.0,-982000.0
NetIncomeFromContinuingOperationNetMinorityInterest,18305000.0,23105000.0,16976000.0,7158000.0,6409000.0
ReconciledDepreciation,3426000.0,3810000.0,4084000.0,4226000.0,4193000.0
ReconciledCostOfRevenue,65118000.0,78928000.0,75668000.0,68716000.0,68651000.0
EBITDA,31097000.0,35325000.0,28998000.0,17477000.0,15800000.0
EBIT,27671000.0,31515000.0,24914000.0,13251000.0,11607000.0
NetInterestIncome,-3697000.0,-3219000.0,-3250000.0,-3105000.0,-2815000.0
InterestExpense,3697000.0,3219000.0,3250000.0,3105000.0,2815000.0
NormalizedIncome,20251672.0,18794450.982471,18741568.0,9263835.0,7124878.0
NetIncomeFromContinuingAndDiscontinuedOperation,17738000.0,22231000.0,12380000.0,4497000.0,7453000.0
TotalExpenses,110760000.0,133686000.0,128562000.0,125001000.0,126091000.0
TotalOperatingIncomeAsReported,28662000.0,32202000.0,25439000.0,13972000.0,12309000.0
DilutedAverageShares,55008000.0,56219000.0,57432000.0,57500000.0,57317000.0
BasicAverageShares,54527000.0,55740000.0,57052000.0,57042000.0,56886000.0
DilutedEPS,0.32,0.4,0.22,0.08,0.13
BasicEPS,0.33,0.4,0.22,0.08,0.13
DilutedNIAvailtoComStockholders,17738000.0,22231000.0,12380000.0,4497000.0,7453000.0
NetIncomeCommonStockholders,17738000.0,22231000.0,12380000.0,4497000.0,7453000.0
NetIncome,17738000.0,22231000.0,12380000.0,4497000.0,7453000.0
NetIncomeIncludingNoncontrollingInterests,17738000.0,22231000.0,12380000.0,4497000.0,7453000.0
NetIncomeDiscontinuousOperations,-567000.0,-874000.0,-4596000.0,-2661000.0,1044000.0
NetIncomeContinuousOperations,18305000.0,23105000.0,16976000.0,7158000.0,6409000.0
TaxProvision,5669000.0,5191000.0,4688000.0,2988000.0,2383000.0
PretaxIncome,23974000.0,28296000.0,21664000.0,10146000.0,8792000.0
OtherIncomeExpense,-3539000.0,4592000.0,-2777000.0,-3708000.0,-1684000.0
OtherNonOperatingIncomeExpenses,-991000.0,-687000.0,-525000.0,-721000.0,-702000.0
SpecialIncomeCharges,-2548000.0,5279000.0,-2252000.0,-2987000.0,-982000.0
WriteOff,,-6155000.0,0.0,,
ImpairmentOfCapitalAssets,147000.0,,,0.0,0.0
RestructuringAndMergernAcquisition,2401000.0,876000.0,2252000.0,2987000.0,982000.0
NetNonOperatingInterestIncomeExpense,-3697000.0,-3219000.0,-3250000.0,-3105000.0,-2815000.0
InterestExpenseNonOperating,3697000.0,3219000.0,3250000.0,3105000.0,2815000.0
OperatingIncome,31210000.0,26923000.0,27691000.0,16959000.0,13291000.0
OperatingExpense,43040000.0,51985000.0,50167000.0,53408000.0,54615000.0
DepreciationAmortizationDepletionIncomeStatement,824000.0,1037000.0,1357000.0,1349000.0,1368000.0
DepreciationAndAmortizationInIncomeStatement,824000.0,1037000.0,1357000.0,1349000.0,1368000.0
Amortization,824000.0,1037000.0,1357000.0,1349000.0,1368000.0
AmortizationOfIntangiblesIncomeStatement,824000.0,1037000.0,1357000.0,1349000.0,1368000.0
SellingGeneralAndAdministration,42216000.0,50948000.0,48810000.0,52059000.0,53247000.0
GrossProfit,74250000.0,78908000.0,77858000.0,70367000.0,67906000.0
CostOfRevenue,67720000.0,81701000.0,78395000.0,71593000.0,71476000.0
TotalRevenue,141970000.0,160609000.0,156253000.0,141960000.0,139382000.0
OperatingRevenue,141970000.0,160609000.0,156253000.0,141960000.0,139382000.0
