,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,1260000.0
TaxRateForCalcs,0.21,0.21,0.21,0.21
TotalUnusualItems,,,,6000000.0
TotalUnusualItemsExcludingGoodwill,,,,6000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,47000000.0,30000000.0,433000000.0,322000000.0
ReconciledDepreciation,-4000000.0,0.0,3000000.0,11000000.0
EBIT,69000000.0,43000000.0,530000000.0,413000000.0
NetInterestIncome,-22000000.0,-22000000.0,-23000000.0,-24000000.0
InterestExpense,22000000.0,22000000.0,23000000.0,22000000.0
NormalizedIncome,47000000.0,30000000.0,433000000.0,317260000.0
NetIncomeFromContinuingAndDiscontinuedOperation,47000000.0,30000000.0,433000000.0,322000000.0
TotalExpenses,139000000.0,126000000.0,-149000000.0,-221000000.0
DilutedAverageShares,15606105.0,15660981.0,17100954.0,
BasicAverageShares,15464824.0,15460318.0,16980240.0,
DilutedEPS,2.43,1.34,24.79,
BasicEPS,2.46,1.36,24.97,
DilutedNIAvailtoComStockholders,38000000.0,21000000.0,424000000.0,313000000.0
NetIncomeCommonStockholders,38000000.0,21000000.0,424000000.0,313000000.0
PreferredStockDividends,9000000.0,9000000.0,9000000.0,9000000.0
NetIncome,47000000.0,30000000.0,433000000.0,322000000.0
MinorityInterests,-4000000.0,-9000000.0,-86000000.0,1000000.0
NetIncomeIncludingNoncontrollingInterests,51000000.0,39000000.0,519000000.0,321000000.0
NetIncomeContinuousOperations,51000000.0,39000000.0,519000000.0,321000000.0
EarningsFromEquityInterestNetOfTax,-3000000.0,14000000.0,11000000.0,-86000000.0
TaxProvision,-7000000.0,-4000000.0,-1000000.0,-16000000.0
PretaxIncome,47000000.0,21000000.0,507000000.0,391000000.0
SpecialIncomeCharges,,,,6000000.0
NetNonOperatingInterestIncomeExpense,-22000000.0,-22000000.0,-23000000.0,-24000000.0
InterestExpenseNonOperating,22000000.0,22000000.0,23000000.0,22000000.0
OtherOperatingExpenses,2000000.0,-2000000.0,-280000000.0,-2000000.0
SellingGeneralAndAdministration,91000000.0,85000000.0,89000000.0,96000000.0
GeneralAndAdministrativeExpense,91000000.0,85000000.0,89000000.0,96000000.0
OtherGandA,91000000.0,85000000.0,89000000.0,96000000.0
TotalRevenue,186000000.0,147000000.0,358000000.0,170000000.0
OperatingRevenue,186000000.0,147000000.0,358000000.0,170000000.0
