,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,0.0,400000.0,-31536912.751678,0.0,0.0
TaxRateForCalcs,0.248915,0.2,0.248322,0.244,0.248737
NormalizedEBITDA,816000000.0,854000000.0,703000000.0,623000000.0,914000000.0
TotalUnusualItems,,2000000.0,-127000000.0,,
TotalUnusualItemsExcludingGoodwill,,2000000.0,-127000000.0,,
NetIncomeFromContinuingOperationNetMinorityInterest,519000000.0,584000000.0,336000000.0,374000000.0,595000000.0
ReconciledDepreciation,80000000.0,78000000.0,81000000.0,81000000.0,81000000.0
ReconciledCostOfRevenue,5377000000.0,5436000000.0,5000000000.0,4763000000.0,5510000000.0
EBITDA,816000000.0,856000000.0,576000000.0,623000000.0,914000000.0
EBIT,736000000.0,778000000.0,495000000.0,542000000.0,833000000.0
NetInterestIncome,-45000000.0,-48000000.0,-48000000.0,-47000000.0,-41000000.0
InterestExpense,45000000.0,48000000.0,48000000.0,47000000.0,41000000.0
NormalizedIncome,519000000.0,582400000.0,431463087.248322,374000000.0,595000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,519000000.0,584000000.0,336000000.0,374000000.0,595000000.0
TotalExpenses,6969000000.0,7058000000.0,6516000000.0,6276000000.0,7100000000.0
TotalOperatingIncomeAsReported,739000000.0,782000000.0,497000000.0,549000000.0,831000000.0
DilutedAverageShares,204600000.0,205100000.0,206100000.0,207800000.0,209800000.0
BasicAverageShares,203800000.0,204300000.0,205400000.0,207100000.0,208700000.0
DilutedEPS,2.54,2.85,1.63,1.8,2.84
BasicEPS,2.55,2.86,1.64,1.81,2.85
DilutedNIAvailtoComStockholders,519000000.0,584000000.0,336000000.0,374000000.0,595000000.0
NetIncomeCommonStockholders,519000000.0,584000000.0,336000000.0,374000000.0,595000000.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0,0.0
NetIncome,519000000.0,584000000.0,336000000.0,374000000.0,595000000.0
NetIncomeIncludingNoncontrollingInterests,519000000.0,584000000.0,336000000.0,374000000.0,595000000.0
NetIncomeDiscontinuousOperations,,0.0,0.0,0.0,0.0
NetIncomeContinuousOperations,519000000.0,584000000.0,336000000.0,374000000.0,595000000.0
TaxProvision,172000000.0,146000000.0,111000000.0,121000000.0,197000000.0
PretaxIncome,691000000.0,730000000.0,447000000.0,495000000.0,792000000.0
OtherNonOperatingIncomeExpenses,-3000000.0,-4000000.0,-2000000.0,-7000000.0,2000000.0
SpecialIncomeCharges,,2000000.0,-127000000.0,,
ImpairmentOfCapitalAssets,,-2000000.0,127000000.0,,
NetNonOperatingInterestIncomeExpense,-45000000.0,-48000000.0,-48000000.0,-47000000.0,-41000000.0
InterestExpenseNonOperating,45000000.0,48000000.0,48000000.0,47000000.0,41000000.0
OperatingIncome,739000000.0,780000000.0,624000000.0,549000000.0,831000000.0
OperatingExpense,1592000000.0,1622000000.0,1516000000.0,1513000000.0,1590000000.0
DepreciationAndAmortizationInIncomeStatement,80000000.0,78000000.0,81000000.0,81000000.0,81000000.0
DepreciationIncomeStatement,80000000.0,78000000.0,81000000.0,81000000.0,81000000.0
SellingGeneralAndAdministration,1512000000.0,1544000000.0,1435000000.0,1432000000.0,1509000000.0
GeneralAndAdministrativeExpense,1512000000.0,1544000000.0,1435000000.0,1432000000.0,1509000000.0
GrossProfit,2331000000.0,2402000000.0,2140000000.0,2062000000.0,2421000000.0
CostOfRevenue,5377000000.0,5436000000.0,5000000000.0,4763000000.0,5510000000.0
TotalRevenue,7708000000.0,7838000000.0,7140000000.0,6825000000.0,7931000000.0
OperatingRevenue,7708000000.0,7838000000.0,7140000000.0,6825000000.0,7931000000.0
