,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.2376,0.233,0.2484,0.227803
NetIncomeFromContinuingOperationNetMinorityInterest,58221000.0,62442000.0,66818000.0,79588000.0
ReconciledDepreciation,10440000.0,11158000.0,10827000.0,12605000.0
NetInterestIncome,157148000.0,159939000.0,167247000.0,171794000.0
InterestExpense,82651000.0,69266000.0,46298000.0,28671000.0
InterestIncome,239799000.0,229205000.0,213545000.0,200465000.0
NormalizedIncome,58221000.0,62442000.0,66818000.0,79588000.0
NetIncomeFromContinuingAndDiscontinuedOperation,58221000.0,62442000.0,66818000.0,79588000.0
DilutedAverageShares,127936440.0,127832351.0,128033812.0,127894773.0
BasicAverageShares,127609860.0,127591371.0,127453820.0,127356795.0
DilutedEPS,0.46,0.49,0.52,0.62
BasicEPS,0.46,0.49,0.52,0.62
DilutedNIAvailtoComStockholders,58221000.0,62442000.0,66818000.0,79588000.0
NetIncomeCommonStockholders,58221000.0,62442000.0,66818000.0,79588000.0
NetIncome,58221000.0,62442000.0,66818000.0,79588000.0
NetIncomeIncludingNoncontrollingInterests,58221000.0,62442000.0,66818000.0,79588000.0
NetIncomeContinuousOperations,58221000.0,62442000.0,66818000.0,79588000.0
TaxProvision,18141000.0,18964000.0,22085000.0,23479000.0
PretaxIncome,76362000.0,81406000.0,88903000.0,103067000.0
GainOnSaleOfSecurity,,,,0.0
SellingGeneralAndAdministration,58226000.0,59795000.0,58026000.0,51701000.0
SellingAndMarketingExpense,2289000.0,1891000.0,1994000.0,2072000.0
GeneralAndAdministrativeExpense,55937000.0,57904000.0,56032000.0,49629000.0
SalariesAndWages,55937000.0,57904000.0,56032000.0,49629000.0
TotalRevenue,194887000.0,199606000.0,208185000.0,211264000.0
OperatingRevenue,194887000.0,199606000.0,208185000.0,211264000.0
