,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,150701.114008,108422.646085,0.0,9253440.0
TaxRateForCalcs,0.004385,0.008306,0.177806,0.21
NormalizedEBITDA,102982000.0,101394000.0,96199000.0,97304000.0
TotalUnusualItems,34368000.0,13053000.0,,44064000.0
TotalUnusualItemsExcludingGoodwill,34368000.0,13053000.0,,44064000.0
NetIncomeFromContinuingOperationNetMinorityInterest,75012000.0,54636000.0,55967000.0,81997000.0
ReconciledDepreciation,41502000.0,41290000.0,39152000.0,39257000.0
ReconciledCostOfRevenue,42203000.0,39057000.0,42802000.0,37064000.0
EBITDA,137350000.0,114447000.0,96199000.0,141368000.0
EBIT,95848000.0,73157000.0,56427000.0,102111000.0
NetInterestIncome,-20811000.0,-18803000.0,-17023000.0,-16809000.0
InterestExpense,19906000.0,17898000.0,16119000.0,15909000.0
NormalizedIncome,40794701.114008,41691422.646085,55967000.0,47186440.0
NetIncomeFromContinuingAndDiscontinuedOperation,75012000.0,54636000.0,55967000.0,81997000.0
TotalExpenses,92161000.0,89867000.0,91308000.0,85985000.0
DilutedAverageShares,132339000.0,132337000.0,132299000.0,132241000.0
BasicAverageShares,132264000.0,132249000.0,132211000.0,132137000.0
DilutedEPS,0.57,0.41,0.42,0.62
BasicEPS,0.57,0.41,0.42,0.62
DilutedNIAvailtoComStockholders,74938000.0,54583000.0,55920000.0,81907000.0
NetIncomeCommonStockholders,74938000.0,54583000.0,55920000.0,81907000.0
OtherunderPreferredStockDividend,74000.0,53000.0,47000.0,90000.0
NetIncome,75012000.0,54636000.0,55967000.0,81997000.0
MinorityInterests,-2127000.0,-1598000.0,-4808000.0,-1941000.0
NetIncomeIncludingNoncontrollingInterests,77139000.0,56234000.0,60775000.0,83938000.0
NetIncomeContinuousOperations,77139000.0,56234000.0,60775000.0,83938000.0
EarningsFromEquityInterestNetOfTax,1530000.0,1434000.0,27634000.0,-3240000.0
TaxProvision,333000.0,459000.0,7167000.0,-976000.0
PretaxIncome,75942000.0,55259000.0,40308000.0,86202000.0
OtherIncomeExpense,33809000.0,11706000.0,-784000.0,44382000.0
EarningsFromEquityInterest,-559000.0,-1347000.0,-784000.0,
GainOnSaleOfSecurity,34368000.0,13053000.0,,44064000.0
NetNonOperatingInterestIncomeExpense,-20811000.0,-18803000.0,-17023000.0,-16809000.0
TotalOtherFinanceCost,905000.0,905000.0,904000.0,900000.0
InterestExpenseNonOperating,19906000.0,17898000.0,16119000.0,15909000.0
OperatingIncome,62944000.0,62356000.0,58115000.0,58629000.0
OperatingExpense,49602000.0,50110000.0,49126000.0,48372000.0
DepreciationAmortizationDepletionIncomeStatement,41146000.0,40590000.0,39772000.0,38708000.0
DepreciationAndAmortizationInIncomeStatement,41146000.0,40590000.0,39772000.0,38708000.0
SellingGeneralAndAdministration,8456000.0,9520000.0,9354000.0,8755000.0
GeneralAndAdministrativeExpense,8456000.0,9520000.0,9354000.0,8755000.0
OtherGandA,8456000.0,9520000.0,9354000.0,8755000.0
GrossProfit,112546000.0,112466000.0,107241000.0,107001000.0
CostOfRevenue,42559000.0,39757000.0,42182000.0,37613000.0
TotalRevenue,155105000.0,152223000.0,149423000.0,144614000.0
OperatingRevenue,153339000.0,150793000.0,147679000.0,141434000.0
