,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-79.466785,7719600.0,0.0,0.0
TaxRateForCalcs,1.8e-05,0.21,0.21,0.004757
NormalizedEBITDA,-30904000.0,-28027000.0,-26124000.0,-45522000.0
TotalUnusualItems,-4316000.0,36760000.0,,0.0
TotalUnusualItemsExcludingGoodwill,-4316000.0,36760000.0,,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,-54311000.0,-10704000.0,-44687000.0,-46653000.0
ReconciledDepreciation,18230000.0,18095000.0,17215000.0,-4926000.0
ReconciledCostOfRevenue,61730000.0,58617000.0,57310000.0,56738000.0
EBITDA,-35220000.0,8733000.0,-26124000.0,-45522000.0
EBIT,-53450000.0,-9362000.0,-43339000.0,-45522000.0
NetInterestIncome,4046000.0,3276000.0,2973000.0,1540000.0
InterestExpense,862000.0,1232000.0,1213000.0,1354000.0
InterestIncome,4908000.0,4508000.0,4186000.0,2894000.0
NormalizedIncome,-49995079.466785,-39744400.0,-44687000.0,-46653000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-54311000.0,-10704000.0,-44687000.0,-46653000.0
TotalExpenses,181842000.0,172658000.0,164839000.0,167783000.0
TotalOperatingIncomeAsReported,-58342000.0,-49827000.0,-47275000.0,-48462000.0
DilutedAverageShares,129873000.0,127863000.0,125418000.0,123587000.0
BasicAverageShares,129873000.0,127863000.0,125418000.0,123587000.0
DilutedEPS,-0.42,-0.08,-0.36,-0.38
BasicEPS,-0.42,-0.08,-0.36,-0.38
DilutedNIAvailtoComStockholders,-54311000.0,-10704000.0,-44687000.0,-46653000.0
NetIncomeCommonStockholders,-54311000.0,-10704000.0,-44687000.0,-46653000.0
NetIncome,-54311000.0,-10704000.0,-44687000.0,-46653000.0
NetIncomeIncludingNoncontrollingInterests,-54311000.0,-10704000.0,-44687000.0,-46653000.0
NetIncomeContinuousOperations,-54311000.0,-10704000.0,-44687000.0,-46653000.0
TaxProvision,-1000.0,110000.0,135000.0,-223000.0
PretaxIncome,-54312000.0,-10594000.0,-44552000.0,-46876000.0
OtherIncomeExpense,-4332000.0,35957000.0,-250000.0,46000.0
OtherNonOperatingIncomeExpenses,-16000.0,-803000.0,-250000.0,46000.0
SpecialIncomeCharges,-4316000.0,36760000.0,,0.0
OtherSpecialCharges,,-36760000.0,,0.0
WriteOff,4316000.0,,,
NetNonOperatingInterestIncomeExpense,4046000.0,3276000.0,2973000.0,1540000.0
InterestExpenseNonOperating,862000.0,1232000.0,1213000.0,1354000.0
InterestIncomeNonOperating,4908000.0,4508000.0,4186000.0,2894000.0
OperatingIncome,-54026000.0,-49827000.0,-47275000.0,-48462000.0
OperatingExpense,120112000.0,114041000.0,107529000.0,111045000.0
ResearchAndDevelopment,39068000.0,37421000.0,37431000.0,37197000.0
SellingGeneralAndAdministration,81044000.0,76620000.0,70098000.0,73848000.0
SellingAndMarketingExpense,51043000.0,47797000.0,44271000.0,44623000.0
GeneralAndAdministrativeExpense,30001000.0,28823000.0,25827000.0,29225000.0
OtherGandA,30001000.0,28823000.0,25827000.0,29225000.0
GrossProfit,66086000.0,64214000.0,60254000.0,62583000.0
CostOfRevenue,61730000.0,58617000.0,57310000.0,56738000.0
TotalRevenue,127816000.0,122831000.0,117564000.0,119321000.0
OperatingRevenue,127816000.0,122831000.0,117564000.0,119321000.0
