,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,84000.0,29983.704508
TaxRateForCalcs,0.0,0.09,0.07,0.024986
NormalizedEBITDA,360400000.0,331800000.0,322400000.0,398800000.0
TotalUnusualItems,1100000.0,,1200000.0,1200000.0
TotalUnusualItemsExcludingGoodwill,1100000.0,,1200000.0,1200000.0
NetIncomeFromContinuingOperationNetMinorityInterest,322900000.0,266300000.0,247700000.0,313800000.0
ReconciledDepreciation,28300000.0,27400000.0,27500000.0,27300000.0
ReconciledCostOfRevenue,317700000.0,295800000.0,307800000.0,297300000.0
EBITDA,361500000.0,331800000.0,323600000.0,400000000.0
EBIT,333200000.0,304400000.0,296100000.0,372700000.0
NetInterestIncome,31600000.0,26400000.0,15600000.0,4600000.0
InterestExpense,5400000.0,5200000.0,5000000.0,4500000.0
InterestIncome,37000000.0,31600000.0,20600000.0,9100000.0
NormalizedIncome,321800000.0,266300000.0,246584000.0,312629983.704508
NetIncomeFromContinuingAndDiscontinuedOperation,322900000.0,266300000.0,247700000.0,313800000.0
TotalExpenses,1032500000.0,1013800000.0,990000000.0,926400000.0
TotalOperatingIncomeAsReported,303200000.0,279000000.0,273500000.0,357800000.0
DilutedAverageShares,791200000.0,795900000.0,793400000.0,791800000.0
BasicAverageShares,781200000.0,785000000.0,783200000.0,780900000.0
DilutedEPS,0.41,0.33,0.31,0.4
BasicEPS,0.41,0.34,0.32,0.4
DilutedNIAvailtoComStockholders,322900000.0,266300000.0,247700000.0,313800000.0
NetIncomeCommonStockholders,322900000.0,266300000.0,247700000.0,313800000.0
NetIncome,322900000.0,266300000.0,247700000.0,313800000.0
MinorityInterests,0.0,0.0,0.0,0.0
NetIncomeIncludingNoncontrollingInterests,322900000.0,266300000.0,247700000.0,313800000.0
NetIncomeContinuousOperations,322900000.0,266300000.0,247700000.0,313800000.0
EarningsFromEquityInterestNetOfTax,-5200000.0,-5300000.0,-22100000.0,-45200000.0
TaxProvision,-300000.0,27600000.0,21300000.0,9200000.0
PretaxIncome,327800000.0,299200000.0,291100000.0,368200000.0
OtherIncomeExpense,-5900000.0,-6200000.0,3200000.0,7000000.0
OtherNonOperatingIncomeExpenses,-7000000.0,-6200000.0,2000000.0,5800000.0
SpecialIncomeCharges,1100000.0,,1200000.0,1200000.0
OtherSpecialCharges,-1100000.0,,-1200000.0,-1200000.0
NetNonOperatingInterestIncomeExpense,31600000.0,26400000.0,15600000.0,4600000.0
InterestExpenseNonOperating,5400000.0,5200000.0,5000000.0,4500000.0
InterestIncomeNonOperating,37000000.0,31600000.0,20600000.0,9100000.0
OperatingIncome,302100000.0,279000000.0,272300000.0,356600000.0
OperatingExpense,714800000.0,718000000.0,682200000.0,629100000.0
OtherOperatingExpenses,,-1100000.0,,
ResearchAndDevelopment,156900000.0,153300000.0,151100000.0,128900000.0
SellingGeneralAndAdministration,557900000.0,565800000.0,531100000.0,500200000.0
SellingAndMarketingExpense,504400000.0,515900000.0,478300000.0,455900000.0
GeneralAndAdministrativeExpense,53500000.0,49900000.0,52800000.0,44300000.0
OtherGandA,53500000.0,49900000.0,52800000.0,44300000.0
GrossProfit,1016900000.0,997000000.0,954500000.0,985700000.0
CostOfRevenue,317700000.0,295800000.0,307800000.0,297300000.0
TotalRevenue,1334600000.0,1292800000.0,1262300000.0,1283000000.0
OperatingRevenue,1334600000.0,1292800000.0,1262300000.0,1283000000.0
