,2023-08-31,2023-05-31,2023-02-28,2022-11-30
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.377,0.33,0.319,0.244312
NormalizedEBITDA,136177000.0,130732000.0,101469000.0,129701000.0
NetIncomeFromContinuingOperationNetMinorityInterest,37627000.0,40401000.0,21889000.0,48306000.0
ReconciledDepreciation,42175000.0,39045000.0,37931000.0,37591000.0
ReconciledCostOfRevenue,637162000.0,641464000.0,594374000.0,710092000.0
EBITDA,136177000.0,130732000.0,101469000.0,129701000.0
EBIT,94002000.0,91687000.0,63538000.0,92110000.0
NetInterestIncome,-33977000.0,-32199000.0,-32402000.0,-28437000.0
InterestExpense,35105000.0,33131000.0,33069000.0,30046000.0
InterestIncome,1128000.0,932000.0,667000.0,1609000.0
NormalizedIncome,37627000.0,40401000.0,21889000.0,48306000.0
NetIncomeFromContinuingAndDiscontinuedOperation,37627000.0,40401000.0,21889000.0,48306000.0
TotalExpenses,809315000.0,808089000.0,748916000.0,867964000.0
DilutedAverageShares,56033000.0,55717000.0,55919000.0,55472000.0
BasicAverageShares,54394000.0,54269000.0,54174000.0,53824000.0
DilutedEPS,0.67,0.73,0.39,0.87
BasicEPS,0.69,0.74,0.4,0.9
DilutedNIAvailtoComStockholders,37627000.0,40401000.0,21889000.0,48306000.0
NetIncomeCommonStockholders,37627000.0,40401000.0,21889000.0,48306000.0
NetIncome,37627000.0,40401000.0,21889000.0,48306000.0
MinorityInterests,-23000.0,-21000.0,-27000.0,-24000.0
NetIncomeIncludingNoncontrollingInterests,37650000.0,40422000.0,21916000.0,48330000.0
NetIncomeContinuousOperations,37650000.0,40422000.0,21916000.0,48330000.0
EarningsFromEquityInterestNetOfTax,984000.0,1157000.0,1180000.0,1429000.0
TaxProvision,22231000.0,19291000.0,9733000.0,15163000.0
PretaxIncome,58897000.0,58556000.0,30469000.0,62064000.0
OtherIncomeExpense,1555000.0,605000.0,2604000.0,251000.0
OtherNonOperatingIncomeExpenses,1555000.0,605000.0,2604000.0,-15017000.0
NetNonOperatingInterestIncomeExpense,-33977000.0,-32199000.0,-32402000.0,-28437000.0
InterestExpenseNonOperating,35105000.0,33131000.0,33069000.0,30046000.0
InterestIncomeNonOperating,1128000.0,932000.0,667000.0,1609000.0
OperatingIncome,91319000.0,90150000.0,60267000.0,90250000.0
OperatingExpense,172153000.0,166625000.0,154542000.0,157872000.0
SellingGeneralAndAdministration,172153000.0,166625000.0,154542000.0,113019000.0
GrossProfit,263472000.0,256775000.0,214809000.0,248122000.0
CostOfRevenue,637162000.0,641464000.0,594374000.0,710092000.0
TotalRevenue,900634000.0,898239000.0,809183000.0,958214000.0
OperatingRevenue,900634000.0,898239000.0,809183000.0,958214000.0
