,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-11311230.0,-797905.0,-256227.0,-990022.747762
TaxRateForCalcs,0.21,0.227,0.223,0.194008
NormalizedEBITDA,140204000.0,90769000.0,77021000.0,83832000.0
TotalUnusualItems,-53863000.0,-3515000.0,-1149000.0,-5103000.0
TotalUnusualItemsExcludingGoodwill,-53863000.0,-3515000.0,-1149000.0,-5103000.0
NetIncomeFromContinuingOperationNetMinorityInterest,998000.0,57712000.0,49129000.0,50065000.0
ReconciledDepreciation,37388000.0,18075000.0,18108000.0,16910000.0
ReconciledCostOfRevenue,111763000.0,62945000.0,57318000.0,58187000.0
EBITDA,86341000.0,87254000.0,75872000.0,78729000.0
EBIT,48953000.0,69179000.0,57764000.0,61819000.0
NetInterestIncome,7920000.0,8294000.0,6497000.0,5315000.0
NormalizedIncome,43549770.0,60429095.0,50021773.0,54177977.252238
NetIncomeFromContinuingAndDiscontinuedOperation,998000.0,57712000.0,49129000.0,50065000.0
TotalExpenses,334686000.0,222436000.0,218924000.0,212679000.0
TotalOperatingIncomeAsReported,404000.0,66212000.0,56403000.0,54028000.0
DilutedAverageShares,115245000.0,101782000.0,102196000.0,102209000.0
BasicAverageShares,113537000.0,100373000.0,100279000.0,99967000.0
DilutedEPS,0.01,0.57,0.48,0.49
BasicEPS,0.01,0.57,0.49,0.5
DilutedNIAvailtoComStockholders,998000.0,57712000.0,49129000.0,50065000.0
NetIncomeCommonStockholders,998000.0,57712000.0,49129000.0,50065000.0
NetIncome,998000.0,57712000.0,49129000.0,50065000.0
NetIncomeIncludingNoncontrollingInterests,998000.0,57712000.0,49129000.0,50065000.0
NetIncomeContinuousOperations,998000.0,57712000.0,49129000.0,50065000.0
TaxProvision,1537000.0,16962000.0,14060000.0,12051000.0
PretaxIncome,2535000.0,74674000.0,63189000.0,62116000.0
OtherIncomeExpense,-54338000.0,-2799000.0,-1072000.0,-5018000.0
OtherNonOperatingIncomeExpenses,-475000.0,716000.0,77000.0,85000.0
SpecialIncomeCharges,-48549000.0,-2967000.0,-1361000.0,-7791000.0
OtherSpecialCharges,2924000.0,-2740000.0,,0.0
RestructuringAndMergernAcquisition,45625000.0,5707000.0,1361000.0,7791000.0
GainOnSaleOfSecurity,-5314000.0,-548000.0,212000.0,2688000.0
NetNonOperatingInterestIncomeExpense,7920000.0,8294000.0,6497000.0,5315000.0
TotalOtherFinanceCost,-7920000.0,-8294000.0,-6497000.0,-5315000.0
OperatingIncome,48953000.0,69179000.0,57764000.0,61819000.0
OperatingExpense,199296000.0,145963000.0,148099000.0,142088000.0
DepreciationAmortizationDepletionIncomeStatement,13761000.0,4547000.0,4601000.0,4506000.0
DepreciationAndAmortizationInIncomeStatement,13761000.0,4547000.0,4601000.0,4506000.0
Amortization,13761000.0,4547000.0,4601000.0,4506000.0
AmortizationOfIntangiblesIncomeStatement,13761000.0,4547000.0,4601000.0,4506000.0
ResearchAndDevelopment,29329000.0,21347000.0,21082000.0,19507000.0
SellingGeneralAndAdministration,156206000.0,120069000.0,122416000.0,118075000.0
GrossProfit,248249000.0,215142000.0,205863000.0,203907000.0
CostOfRevenue,135390000.0,76473000.0,70825000.0,70591000.0
TotalRevenue,383639000.0,291615000.0,276688000.0,274498000.0
OperatingRevenue,383639000.0,291615000.0,276688000.0,274498000.0
