,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,-22470.0,0.0,602.218284
TaxRateForCalcs,0.0,0.21,0.0,0.016276
NormalizedEBITDA,-2370000.0,-1244000.0,-1883000.0,-11301000.0
TotalUnusualItems,-257000.0,-107000.0,-317000.0,37000.0
TotalUnusualItemsExcludingGoodwill,-257000.0,-107000.0,-317000.0,37000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-7349000.0,-5699000.0,-6134000.0,-14989000.0
ReconciledDepreciation,4721000.0,3824000.0,3932000.0,3968000.0
ReconciledCostOfRevenue,39490000.0,46788000.0,40538000.0,44894000.0
EBITDA,-2627000.0,-1351000.0,-2200000.0,-11264000.0
EBIT,-7348000.0,-5175000.0,-6132000.0,-15232000.0
NetInterestIncome,-1000.0,-431000.0,426000.0,385000.0
InterestExpense,1000.0,431000.0,2000.0,5000.0
InterestIncome,0.0,0.0,428000.0,390000.0
NormalizedIncome,-7092000.0,-5614470.0,-5817000.0,-15025397.781716
NetIncomeFromContinuingAndDiscontinuedOperation,-7349000.0,-5699000.0,-6134000.0,-14989000.0
TotalExpenses,63723000.0,70384000.0,64274000.0,70252000.0
TotalOperatingIncomeAsReported,-8302000.0,-6566000.0,-7764000.0,-15759000.0
DilutedAverageShares,61272000.0,61077000.0,61028000.0,61064000.0
BasicAverageShares,61272000.0,61077000.0,61028000.0,61064000.0
DilutedEPS,-0.12,-0.09,-0.1,-0.25
BasicEPS,-0.12,-0.09,-0.1,-0.25
DilutedNIAvailtoComStockholders,-7349000.0,-5699000.0,-6134000.0,-14989000.0
NetIncomeCommonStockholders,-7349000.0,-5699000.0,-6134000.0,-14989000.0
NetIncome,-7349000.0,-5699000.0,-6134000.0,-14989000.0
NetIncomeIncludingNoncontrollingInterests,-7349000.0,-5699000.0,-6134000.0,-14989000.0
NetIncomeContinuousOperations,-7349000.0,-5699000.0,-6134000.0,-14989000.0
TaxProvision,0.0,93000.0,0.0,-248000.0
PretaxIncome,-7349000.0,-5606000.0,-6134000.0,-15237000.0
OtherIncomeExpense,697000.0,1284000.0,887000.0,174000.0
OtherNonOperatingIncomeExpenses,954000.0,1391000.0,1204000.0,137000.0
SpecialIncomeCharges,-257000.0,-107000.0,-317000.0,37000.0
WriteOff,257000.0,107000.0,317000.0,-37000.0
ImpairmentOfCapitalAssets,,0.0,,0.0
NetNonOperatingInterestIncomeExpense,-1000.0,-431000.0,426000.0,385000.0
InterestExpenseNonOperating,1000.0,431000.0,2000.0,5000.0
InterestIncomeNonOperating,0.0,0.0,428000.0,390000.0
OperatingIncome,-8045000.0,-6459000.0,-7447000.0,-15796000.0
OperatingExpense,24233000.0,23596000.0,23736000.0,25358000.0
OtherOperatingExpenses,11930000.0,12269000.0,12966000.0,12796000.0
DepreciationAmortizationDepletionIncomeStatement,4721000.0,3824000.0,3932000.0,3968000.0
DepreciationAndAmortizationInIncomeStatement,4721000.0,3824000.0,3932000.0,3968000.0
SellingGeneralAndAdministration,7582000.0,7503000.0,6838000.0,8594000.0
GrossProfit,16188000.0,17137000.0,16289000.0,9562000.0
CostOfRevenue,39490000.0,46788000.0,40538000.0,44894000.0
TotalRevenue,55678000.0,63925000.0,56827000.0,54456000.0
OperatingRevenue,55678000.0,63925000.0,56827000.0,54456000.0
