,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,-681481.481481
TaxRateForCalcs,0.186,0.297,0.25,0.17037
NormalizedEBITDA,143000000.0,153000000.0,157000000.0,182000000.0
TotalUnusualItems,0.0,0.0,0.0,-4000000.0
TotalUnusualItemsExcludingGoodwill,0.0,0.0,0.0,-4000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,57000000.0,71000000.0,81000000.0,112000000.0
ReconciledDepreciation,23000000.0,22000000.0,21000000.0,20000000.0
ReconciledCostOfRevenue,784000000.0,809000000.0,781000000.0,737000000.0
EBITDA,143000000.0,153000000.0,157000000.0,178000000.0
EBIT,120000000.0,131000000.0,136000000.0,158000000.0
NetInterestIncome,-50000000.0,-30000000.0,-28000000.0,53000000.0
InterestExpense,50000000.0,30000000.0,28000000.0,23000000.0
NormalizedIncome,57000000.0,71000000.0,81000000.0,115318518.518519
NetIncomeFromContinuingAndDiscontinuedOperation,57000000.0,71000000.0,81000000.0,112000000.0
TotalExpenses,843000000.0,872000000.0,837000000.0,789000000.0
DilutedAverageShares,252381719.0,107408432.0,65970723.0,65460507.0
BasicAverageShares,250888716.0,107408432.0,64896081.0,64825467.0
DilutedEPS,0.23,-1.88,0.13,0.23
BasicEPS,0.23,-1.88,0.13,0.23
DilutedNIAvailtoComStockholders,57000000.0,-201000000.0,9000000.0,15000000.0
NetIncomeCommonStockholders,57000000.0,-201000000.0,9000000.0,15000000.0
OtherunderPreferredStockDividend,0.0,0.0,32000000.0,57000000.0
PreferredStockDividends,,272000000.0,40000000.0,40000000.0
NetIncome,57000000.0,71000000.0,81000000.0,112000000.0
NetIncomeIncludingNoncontrollingInterests,57000000.0,71000000.0,81000000.0,112000000.0
NetIncomeContinuousOperations,57000000.0,71000000.0,81000000.0,112000000.0
TaxProvision,13000000.0,30000000.0,27000000.0,23000000.0
PretaxIncome,70000000.0,101000000.0,108000000.0,135000000.0
OtherIncomeExpense,3000000.0,-8000000.0,3000000.0,-27000000.0
OtherNonOperatingIncomeExpenses,3000000.0,-8000000.0,3000000.0,-30000000.0
SpecialIncomeCharges,0.0,0.0,0.0,-1000000.0
OtherSpecialCharges,,,,0.0
RestructuringAndMergernAcquisition,0.0,0.0,0.0,1000000.0
NetNonOperatingInterestIncomeExpense,-50000000.0,-30000000.0,-28000000.0,53000000.0
InterestExpenseNonOperating,50000000.0,30000000.0,28000000.0,23000000.0
OperatingIncome,117000000.0,139000000.0,133000000.0,109000000.0
OperatingExpense,59000000.0,63000000.0,56000000.0,52000000.0
SellingGeneralAndAdministration,59000000.0,63000000.0,56000000.0,52000000.0
GrossProfit,176000000.0,202000000.0,189000000.0,161000000.0
CostOfRevenue,784000000.0,809000000.0,781000000.0,737000000.0
TotalRevenue,960000000.0,1011000000.0,970000000.0,898000000.0
OperatingRevenue,960000000.0,1011000000.0,970000000.0,898000000.0
