,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-2510979.0,0.0,0.0,0.0
TaxRateForCalcs,0.241,0.204,0.099399,0.22
NormalizedEBITDA,68735000.0,76691000.0,59109000.0,66849000.0
TotalUnusualItems,-10419000.0,,0.0,0.0
TotalUnusualItemsExcludingGoodwill,-10419000.0,,0.0,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,24908000.0,41042000.0,29383000.0,32944000.0
ReconciledDepreciation,23013000.0,23032000.0,23854000.0,23570000.0
ReconciledCostOfRevenue,131882000.0,128508000.0,132287000.0,131102000.0
EBITDA,58316000.0,76691000.0,59109000.0,66849000.0
EBIT,35303000.0,53659000.0,35255000.0,43279000.0
NetInterestIncome,-2471000.0,-2069000.0,-2629000.0,-1055000.0
InterestExpense,2471000.0,2069000.0,2629000.0,1055000.0
NormalizedIncome,32816021.0,41042000.0,29383000.0,32944000.0
NetIncomeFromContinuingAndDiscontinuedOperation,24908000.0,41042000.0,29383000.0,32944000.0
TotalExpenses,272461000.0,257673000.0,269161000.0,262022000.0
TotalOperatingIncomeAsReported,35303000.0,53659000.0,35255000.0,43279000.0
DilutedAverageShares,51396000.0,51340000.0,51221000.0,51219000.0
BasicAverageShares,50727000.0,50542000.0,50447000.0,50509000.0
DilutedEPS,0.48,0.8,0.57,0.64
BasicEPS,0.491021,0.81,0.582453,0.65
DilutedNIAvailtoComStockholders,24908000.0,41042000.0,29383000.0,32944000.0
NetIncomeCommonStockholders,24908000.0,41042000.0,29383000.0,32944000.0
NetIncome,24908000.0,41042000.0,29383000.0,32944000.0
NetIncomeIncludingNoncontrollingInterests,24908000.0,41042000.0,29383000.0,32944000.0
NetIncomeContinuousOperations,24908000.0,41042000.0,29383000.0,32944000.0
TaxProvision,7924000.0,10548000.0,3243000.0,9280000.0
PretaxIncome,32832000.0,51590000.0,32626000.0,42224000.0
OtherIncomeExpense,-10419000.0,,0.0,
SpecialIncomeCharges,-10419000.0,,0.0,0.0
GainOnSaleOfBusiness,,,0.0,0.0
ImpairmentOfCapitalAssets,10419000.0,,,
NetNonOperatingInterestIncomeExpense,-2471000.0,-2069000.0,-2629000.0,-1055000.0
InterestExpenseNonOperating,2471000.0,2069000.0,2629000.0,1055000.0
OperatingIncome,45722000.0,53659000.0,35255000.0,43279000.0
OperatingExpense,124788000.0,113606000.0,120994000.0,115428000.0
DepreciationAmortizationDepletionIncomeStatement,7222000.0,7473000.0,7974000.0,8078000.0
DepreciationAndAmortizationInIncomeStatement,7222000.0,7473000.0,7974000.0,8078000.0
Amortization,7222000.0,7473000.0,7974000.0,8078000.0
AmortizationOfIntangiblesIncomeStatement,7222000.0,7473000.0,7974000.0,8078000.0
ResearchAndDevelopment,12665000.0,12648000.0,15644000.0,12689000.0
SellingGeneralAndAdministration,104901000.0,93485000.0,97376000.0,94661000.0
GrossProfit,170510000.0,167265000.0,156249000.0,158707000.0
CostOfRevenue,147673000.0,144067000.0,148167000.0,146594000.0
TotalRevenue,318183000.0,311332000.0,304416000.0,305301000.0
OperatingRevenue,318183000.0,311332000.0,304416000.0,305301000.0
