,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.21,0.21,0.21,0.21
NormalizedEBITDA,84985000.0,88236000.0,66899000.0,84650000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-38799000.0,-22464000.0,-34404000.0,-418108000.0
ReconciledDepreciation,28134000.0,26095000.0,24351000.0,27961000.0
ReconciledCostOfRevenue,1040995000.0,956243000.0,939717000.0,971309000.0
EBITDA,84985000.0,88236000.0,66899000.0,84650000.0
EBIT,56851000.0,62141000.0,42548000.0,56689000.0
NetInterestIncome,-72609000.0,-74605000.0,-58452000.0,-49665000.0
InterestExpense,72609000.0,74605000.0,58452000.0,49665000.0
NormalizedIncome,-38799000.0,-22464000.0,-34404000.0,-418108000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-38799000.0,-22464000.0,-34404000.0,-418108000.0
TotalExpenses,1445344000.0,1369576000.0,1332091000.0,1412951000.0
TotalOperatingIncomeAsReported,65962000.0,69404000.0,57319000.0,60335000.0
DilutedAverageShares,350667000.0,350501000.0,350435000.0,349974000.0
BasicAverageShares,350667000.0,350501000.0,350435000.0,349974000.0
DilutedEPS,-0.11,-0.06,-0.1,-1.19
BasicEPS,-0.11,-0.06,-0.1,-1.19
DilutedNIAvailtoComStockholders,-38799000.0,-22464000.0,-34404000.0,-418108000.0
NetIncomeCommonStockholders,-38799000.0,-22464000.0,-34404000.0,-418108000.0
NetIncome,-38799000.0,-22464000.0,-34404000.0,-418108000.0
NetIncomeIncludingNoncontrollingInterests,-38799000.0,-22464000.0,-34404000.0,-418108000.0
NetIncomeDiscontinuousOperations,0.0,0.0,0.0,0.0
NetIncomeContinuousOperations,-38799000.0,-22464000.0,-34404000.0,-418108000.0
TaxProvision,23041000.0,10000000.0,18500000.0,425132000.0
PretaxIncome,-15758000.0,-12464000.0,-15904000.0,7024000.0
OtherIncomeExpense,-9111000.0,-7263000.0,-14771000.0,-3646000.0
OtherNonOperatingIncomeExpenses,-9111000.0,-7263000.0,-14771000.0,-3646000.0
NetNonOperatingInterestIncomeExpense,-72609000.0,-74605000.0,-58452000.0,-49665000.0
InterestExpenseNonOperating,72609000.0,74605000.0,58452000.0,49665000.0
OperatingIncome,65962000.0,69404000.0,57319000.0,60335000.0
OperatingExpense,404349000.0,413333000.0,392374000.0,441642000.0
SellingGeneralAndAdministration,404349000.0,413333000.0,392374000.0,441642000.0
GrossProfit,470311000.0,482737000.0,449693000.0,501977000.0
CostOfRevenue,1040995000.0,956243000.0,939717000.0,971309000.0
TotalRevenue,1511306000.0,1438980000.0,1389410000.0,1473286000.0
OperatingRevenue,1511306000.0,1438980000.0,1389410000.0,1473286000.0
