,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-3882352.941176,-4869565.217391,-3230000.0,-5326086.956522
TaxRateForCalcs,0.323529,0.304348,0.19,0.152174
NormalizedEBITDA,246000000.0,227000000.0,202000000.0,227000000.0
TotalUnusualItems,-12000000.0,-16000000.0,-17000000.0,-35000000.0
TotalUnusualItemsExcludingGoodwill,-12000000.0,-16000000.0,-17000000.0,-35000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,92000000.0,80000000.0,73000000.0,78000000.0
ReconciledDepreciation,53000000.0,52000000.0,51000000.0,63000000.0
ReconciledCostOfRevenue,696000000.0,367000000.0,664000000.0,1528000000.0
EBITDA,234000000.0,211000000.0,185000000.0,192000000.0
EBIT,181000000.0,159000000.0,134000000.0,129000000.0
NetInterestIncome,-45000000.0,-44000000.0,-44000000.0,-37000000.0
InterestExpense,45000000.0,44000000.0,44000000.0,37000000.0
NormalizedIncome,100117647.058824,91130434.782609,86770000.0,107673913.043478
NetIncomeFromContinuingAndDiscontinuedOperation,92000000.0,80000000.0,73000000.0,78000000.0
TotalExpenses,826000000.0,837000000.0,787000000.0,830000000.0
RentExpenseSupplemental,154000000.0,,,
DilutedAverageShares,110900000.0,112000000.0,114000000.0,116417910.0
BasicAverageShares,109500000.0,111000000.0,113000000.0,114705882.0
DilutedEPS,0.83,0.71,0.64,0.67
BasicEPS,0.84,0.72,0.65,0.68
DilutedNIAvailtoComStockholders,92000000.0,80000000.0,73000000.0,78000000.0
NetIncomeCommonStockholders,92000000.0,80000000.0,73000000.0,78000000.0
NetIncome,92000000.0,80000000.0,73000000.0,78000000.0
NetIncomeIncludingNoncontrollingInterests,92000000.0,80000000.0,73000000.0,78000000.0
NetIncomeContinuousOperations,92000000.0,80000000.0,73000000.0,78000000.0
TaxProvision,44000000.0,35000000.0,17000000.0,14000000.0
PretaxIncome,136000000.0,115000000.0,90000000.0,92000000.0
OtherIncomeExpense,-11000000.0,-11000000.0,-13000000.0,-33000000.0
OtherNonOperatingIncomeExpenses,-1000000.0,3000000.0,1000000.0,-2000000.0
SpecialIncomeCharges,-12000000.0,-16000000.0,-17000000.0,-35000000.0
WriteOff,0.0,3000000.0,0.0,17000000.0
RestructuringAndMergernAcquisition,12000000.0,13000000.0,17000000.0,18000000.0
EarningsFromEquityInterest,2000000.0,2000000.0,3000000.0,4000000.0
NetNonOperatingInterestIncomeExpense,-45000000.0,-44000000.0,-44000000.0,-37000000.0
InterestExpenseNonOperating,45000000.0,44000000.0,44000000.0,37000000.0
OperatingIncome,192000000.0,170000000.0,147000000.0,162000000.0
OperatingExpense,130000000.0,470000000.0,123000000.0,-698000000.0
OtherOperatingExpenses,37000000.0,34000000.0,30000000.0,34000000.0
DepreciationAmortizationDepletionIncomeStatement,53000000.0,52000000.0,51000000.0,63000000.0
DepreciationAndAmortizationInIncomeStatement,53000000.0,52000000.0,51000000.0,63000000.0
SellingGeneralAndAdministration,40000000.0,384000000.0,72000000.0,-795000000.0
SellingAndMarketingExpense,,336000000.0,,
GeneralAndAdministrativeExpense,40000000.0,48000000.0,72000000.0,54000000.0
OtherGandA,40000000.0,48000000.0,72000000.0,54000000.0
GrossProfit,322000000.0,640000000.0,270000000.0,-536000000.0
CostOfRevenue,696000000.0,367000000.0,664000000.0,1528000000.0
TotalRevenue,1018000000.0,1007000000.0,934000000.0,992000000.0
OperatingRevenue,921000000.0,910000000.0,839000000.0,910000000.0
