,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-1606626.0,-5426610.0,-1909110.0,-4131330.0
TaxRateForCalcs,0.063,0.21,0.21,0.21
NormalizedEBITDA,49392000.0,60338000.0,59217000.0,60709000.0
TotalUnusualItems,-25502000.0,-25841000.0,-9091000.0,-19673000.0
TotalUnusualItemsExcludingGoodwill,-25502000.0,-25841000.0,-9091000.0,-19673000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-22415000.0,-15694000.0,-3173000.0,-4452000.0
ReconciledDepreciation,37095000.0,34718000.0,39892000.0,38404000.0
ReconciledCostOfRevenue,148429000.0,140472000.0,164552000.0,169808000.0
EBITDA,23890000.0,34497000.0,50126000.0,41036000.0
EBIT,-13205000.0,-221000.0,10234000.0,2632000.0
NetInterestIncome,-10710000.0,-10311000.0,-10165000.0,-11008000.0
InterestExpense,10710000.0,10311000.0,10165000.0,11008000.0
NormalizedIncome,1480374.0,4720390.0,4008890.0,11089670.0
NetIncomeFromContinuingAndDiscontinuedOperation,-22415000.0,-15694000.0,-3173000.0,-4452000.0
TotalExpenses,171266000.0,153886000.0,181567000.0,175521000.0
TotalOperatingIncomeAsReported,-12641000.0,4811000.0,5553000.0,-9449000.0
DilutedAverageShares,607896000.0,604088000.0,600075000.0,596959000.0
BasicAverageShares,607896000.0,604088000.0,600075000.0,596959000.0
DilutedEPS,-0.04,-0.03,-0.01,-0.0001
BasicEPS,-0.04,-0.03,-0.01,-0.0001
DilutedNIAvailtoComStockholders,-22553000.0,-15832000.0,-3311000.0,-4590000.0
NetIncomeCommonStockholders,-22553000.0,-15832000.0,-3311000.0,-4590000.0
PreferredStockDividends,138000.0,138000.0,138000.0,138000.0
NetIncome,-22415000.0,-15694000.0,-3173000.0,-4452000.0
NetIncomeIncludingNoncontrollingInterests,-22415000.0,-15694000.0,-3173000.0,-4452000.0
NetIncomeContinuousOperations,-22415000.0,-15694000.0,-3173000.0,-4452000.0
TaxProvision,-1500000.0,5162000.0,3242000.0,-3924000.0
PretaxIncome,-23915000.0,-10532000.0,69000.0,-8376000.0
OtherIncomeExpense,-23845000.0,-24465000.0,-7699000.0,-16672000.0
OtherNonOperatingIncomeExpenses,1657000.0,1376000.0,1392000.0,3001000.0
SpecialIncomeCharges,-23281000.0,-19434000.0,-12380000.0,-28753000.0
OtherSpecialCharges,21025000.0,16323000.0,11336000.0,
RestructuringAndMergernAcquisition,2256000.0,3111000.0,1044000.0,4639000.0
GainOnSaleOfSecurity,-2221000.0,-6407000.0,3289000.0,9080000.0
NetNonOperatingInterestIncomeExpense,-10710000.0,-10311000.0,-10165000.0,-11008000.0
InterestExpenseNonOperating,10710000.0,10311000.0,10165000.0,11008000.0
OperatingIncome,10640000.0,24245000.0,17933000.0,19304000.0
OperatingExpense,22837000.0,13414000.0,17015000.0,5713000.0
OtherOperatingExpenses,15241000.0,2631000.0,4945000.0,7857000.0
SellingGeneralAndAdministration,7596000.0,10783000.0,12070000.0,14395000.0
GeneralAndAdministrativeExpense,7596000.0,10783000.0,12070000.0,14395000.0
OtherGandA,7596000.0,10783000.0,12070000.0,14395000.0
GrossProfit,33477000.0,37659000.0,34948000.0,25017000.0
CostOfRevenue,148429000.0,140472000.0,164552000.0,169808000.0
TotalRevenue,181906000.0,178131000.0,199500000.0,194352000.0
OperatingRevenue,181906000.0,178131000.0,199500000.0,194352000.0
