,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,285516.0,1577.8,-33745.497665
TaxRateForCalcs,0.2385,0.231,0.2254,0.220559
TotalUnusualItems,0.0,1236000.0,7000.0,-153000.0
TotalUnusualItemsExcludingGoodwill,0.0,1236000.0,7000.0,-153000.0
NetIncomeFromContinuingOperationNetMinorityInterest,98453000.0,105271000.0,102962000.0,115687000.0
ReconciledDepreciation,7901000.0,7054000.0,7722000.0,8310000.0
NetInterestIncome,201937000.0,207643000.0,214595000.0,215666000.0
InterestExpense,92325000.0,81989000.0,70344000.0,57229000.0
InterestIncome,294262000.0,289632000.0,284939000.0,272895000.0
NormalizedIncome,98453000.0,104320516.0,102956577.8,115806254.502335
NetIncomeFromContinuingAndDiscontinuedOperation,98453000.0,105271000.0,102962000.0,115687000.0
DilutedAverageShares,202650000.0,202923000.0,203625000.0,204179000.0
BasicAverageShares,202526000.0,202793000.0,203456000.0,203924000.0
DilutedEPS,0.49,0.52,0.51,0.57
BasicEPS,0.49,0.52,0.51,0.57
DilutedNIAvailtoComStockholders,98453000.0,105271000.0,102962000.0,115687000.0
NetIncomeCommonStockholders,98453000.0,105271000.0,102962000.0,115687000.0
NetIncome,98453000.0,105271000.0,102962000.0,115687000.0
NetIncomeIncludingNoncontrollingInterests,98453000.0,105271000.0,102962000.0,115687000.0
NetIncomeContinuousOperations,98453000.0,105271000.0,102962000.0,115687000.0
TaxProvision,30835000.0,31616000.0,29953000.0,32736000.0
PretaxIncome,129288000.0,136887000.0,132915000.0,148423000.0
SpecialIncomeCharges,0.0,917000.0,7000.0,-166000.0
GainOnSaleOfBusiness,0.0,917000.0,7000.0,10000.0
RestructuringAndMergernAcquisition,0.0,0.0,0.0,0.0
GainOnSaleOfSecurity,4507000.0,783000.0,-11408000.0,1032000.0
DepreciationAmortizationDepletionIncomeStatement,2477000.0,2478000.0,2477000.0,2477000.0
DepreciationAndAmortizationInIncomeStatement,2477000.0,2478000.0,2477000.0,2477000.0
Amortization,2477000.0,2478000.0,2477000.0,2477000.0
AmortizationOfIntangiblesIncomeStatement,2477000.0,2478000.0,2477000.0,2477000.0
SellingGeneralAndAdministration,70896000.0,71317000.0,71570000.0,39301000.0
SellingAndMarketingExpense,2295000.0,2098000.0,2231000.0,2567000.0
GeneralAndAdministrativeExpense,68601000.0,69219000.0,69339000.0,36734000.0
InsuranceAndClaims,3672000.0,4147000.0,4389000.0,3227000.0
SalariesAndWages,64929000.0,65072000.0,64950000.0,64607000.0
TotalRevenue,241359000.0,252274000.0,245149000.0,268129000.0
OperatingRevenue,241359000.0,252274000.0,245149000.0,268129000.0
