,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.226027,0.262136,0.106667,0.265766
NormalizedEBITDA,402000000.0,346000000.0,301000000.0,347300000.0
NetIncomeFromContinuingOperationNetMinorityInterest,113000000.0,76000000.0,67000000.0,97800000.0
ReconciledDepreciation,196000000.0,189000000.0,178000000.0,172800000.0
ReconciledCostOfRevenue,394000000.0,345000000.0,332000000.0,322000000.0
EBITDA,402000000.0,346000000.0,301000000.0,347300000.0
EBIT,206000000.0,157000000.0,123000000.0,174500000.0
NetInterestIncome,-60000000.0,-54000000.0,-48000000.0,-41300000.0
InterestExpense,60000000.0,54000000.0,48000000.0,41300000.0
NormalizedIncome,113000000.0,76000000.0,67000000.0,97800000.0
NetIncomeFromContinuingAndDiscontinuedOperation,113000000.0,76000000.0,67000000.0,97800000.0
TotalExpenses,705000000.0,645000000.0,616000000.0,607000000.0
DilutedAverageShares,28500000.0,28600000.0,29400000.0,29900000.0
BasicAverageShares,28300000.0,28400000.0,29000000.0,29400000.0
DilutedEPS,3.96,2.66,2.28,3.27
BasicEPS,3.99,2.68,2.31,3.33
DilutedNIAvailtoComStockholders,113000000.0,76000000.0,67000000.0,97800000.0
NetIncomeCommonStockholders,113000000.0,76000000.0,67000000.0,97800000.0
NetIncome,113000000.0,76000000.0,67000000.0,97800000.0
NetIncomeIncludingNoncontrollingInterests,113000000.0,76000000.0,67000000.0,97800000.0
NetIncomeContinuousOperations,113000000.0,76000000.0,67000000.0,97800000.0
TaxProvision,33000000.0,27000000.0,8000000.0,35400000.0
PretaxIncome,146000000.0,103000000.0,75000000.0,133200000.0
OtherIncomeExpense,3000000.0,,-1000000.0,-4500000.0
OtherNonOperatingIncomeExpenses,3000000.0,,-1000000.0,-1000000.0
NetNonOperatingInterestIncomeExpense,-60000000.0,-54000000.0,-48000000.0,-41300000.0
InterestExpenseNonOperating,60000000.0,54000000.0,48000000.0,41300000.0
OperatingIncome,203000000.0,157000000.0,124000000.0,179000000.0
OperatingExpense,144000000.0,139000000.0,132000000.0,138200000.0
DepreciationAmortizationDepletionIncomeStatement,29000000.0,28000000.0,26000000.0,26000000.0
DepreciationAndAmortizationInIncomeStatement,29000000.0,28000000.0,26000000.0,26000000.0
SellingGeneralAndAdministration,115000000.0,111000000.0,106000000.0,112200000.0
GrossProfit,347000000.0,296000000.0,256000000.0,317200000.0
CostOfRevenue,561000000.0,506000000.0,484000000.0,468800000.0
TotalRevenue,908000000.0,802000000.0,740000000.0,786000000.0
OperatingRevenue,908000000.0,802000000.0,740000000.0,786000000.0
