,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,-1521660.0,0.0,0.0
TaxRateForCalcs,0.375,0.21,0.317,0.299144
NormalizedEBITDA,26877000.0,32896000.0,21644000.0,22625000.0
TotalUnusualItems,0.0,-7246000.0,,0.0
TotalUnusualItemsExcludingGoodwill,0.0,-7246000.0,,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,14987000.0,8982000.0,15586000.0,16044000.0
ReconciledDepreciation,4740000.0,4819000.0,3873000.0,2779000.0
ReconciledCostOfRevenue,197899000.0,204222000.0,181691000.0,174312000.0
EBITDA,26877000.0,25650000.0,21644000.0,22625000.0
EBIT,22137000.0,20831000.0,17771000.0,19846000.0
NetInterestIncome,2505000.0,1913000.0,3249000.0,3673000.0
InterestIncome,,1913000.0,,3673000.0
NormalizedIncome,14987000.0,14706340.0,15586000.0,16044000.0
NetIncomeFromContinuingAndDiscontinuedOperation,14987000.0,8982000.0,15586000.0,16044000.0
TotalExpenses,245759000.0,252946000.0,224348000.0,218823000.0
TotalOperatingIncomeAsReported,22137000.0,13585000.0,17771000.0,19846000.0
DilutedAverageShares,20553000.0,20637000.0,20569000.0,20499000.0
BasicAverageShares,20076000.0,20010000.0,19904000.0,19861000.0
DilutedEPS,0.73,0.44,0.76,0.78
BasicEPS,0.75,0.45,0.78,0.81
DilutedNIAvailtoComStockholders,14987000.0,8982000.0,15586000.0,16044000.0
NetIncomeCommonStockholders,14987000.0,8982000.0,15586000.0,16044000.0
NetIncome,14987000.0,8982000.0,15586000.0,16044000.0
NetIncomeIncludingNoncontrollingInterests,14987000.0,8982000.0,15586000.0,16044000.0
NetIncomeContinuousOperations,14987000.0,8982000.0,15586000.0,16044000.0
TaxProvision,9006000.0,7893000.0,7243000.0,6848000.0
PretaxIncome,23993000.0,16875000.0,22829000.0,22892000.0
OtherIncomeExpense,-649000.0,-5869000.0,1809000.0,-627000.0
OtherNonOperatingIncomeExpenses,-649000.0,1377000.0,1809000.0,-627000.0
SpecialIncomeCharges,0.0,-7246000.0,,0.0
ImpairmentOfCapitalAssets,0.0,7246000.0,,
RestructuringAndMergernAcquisition,,,,0.0
NetNonOperatingInterestIncomeExpense,2505000.0,1913000.0,3249000.0,3673000.0
TotalOtherFinanceCost,-2505000.0,,-3249000.0,
InterestIncomeNonOperating,,1913000.0,,3673000.0
OperatingIncome,22137000.0,20831000.0,17771000.0,19846000.0
OperatingExpense,47860000.0,48724000.0,42657000.0,44511000.0
OtherOperatingExpenses,4736000.0,2552000.0,2802000.0,
ResearchAndDevelopment,5560000.0,5658000.0,5528000.0,6067000.0
SellingGeneralAndAdministration,37564000.0,40514000.0,34327000.0,38444000.0
GeneralAndAdministrativeExpense,37564000.0,40514000.0,34327000.0,38444000.0
OtherGandA,37564000.0,40514000.0,34327000.0,38444000.0
GrossProfit,69997000.0,69555000.0,60428000.0,64357000.0
CostOfRevenue,197899000.0,204222000.0,181691000.0,174312000.0
TotalRevenue,267896000.0,273777000.0,242119000.0,238669000.0
OperatingRevenue,263160000.0,271225000.0,239317000.0,235717000.0
