,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-5010000.0,-1395000.0,11760000.0,4410000.0
TaxRateForCalcs,0.334,0.279,0.21,0.21
NormalizedEBITDA,266000000.0,240000000.0,189000000.0,188000000.0
TotalUnusualItems,-15000000.0,-5000000.0,56000000.0,21000000.0
TotalUnusualItemsExcludingGoodwill,-15000000.0,-5000000.0,56000000.0,21000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,68000000.0,68000000.0,58000000.0,294000000.0
ReconciledDepreciation,109000000.0,109000000.0,107000000.0,116000000.0
ReconciledCostOfRevenue,1274000000.0,1347000000.0,1336000000.0,1242000000.0
EBITDA,251000000.0,235000000.0,245000000.0,209000000.0
EBIT,142000000.0,126000000.0,138000000.0,93000000.0
NetInterestIncome,-17000000.0,-16000000.0,-16000000.0,-19000000.0
InterestExpense,41000000.0,31000000.0,33000000.0,34000000.0
InterestIncome,24000000.0,15000000.0,17000000.0,15000000.0
NormalizedIncome,77990000.0,71605000.0,13760000.0,277410000.0
NetIncomeFromContinuingAndDiscontinuedOperation,68000000.0,68000000.0,58000000.0,294000000.0
TotalExpenses,1497000000.0,1598000000.0,1604000000.0,1544000000.0
DilutedAverageShares,106859757.0,107980373.0,108930212.0,109400000.0
BasicAverageShares,104335826.0,105533506.0,106389110.0,107200000.0
DilutedEPS,0.63,0.63,0.53,2.69
BasicEPS,0.65,0.64,0.55,2.74
DilutedNIAvailtoComStockholders,68000000.0,68000000.0,58000000.0,294000000.0
NetIncomeCommonStockholders,68000000.0,68000000.0,58000000.0,294000000.0
NetIncome,68000000.0,68000000.0,58000000.0,294000000.0
MinorityInterests,0.0,0.0,0.0,0.0
NetIncomeIncludingNoncontrollingInterests,68000000.0,68000000.0,58000000.0,294000000.0
NetIncomeContinuousOperations,68000000.0,68000000.0,58000000.0,294000000.0
TaxProvision,33000000.0,27000000.0,47000000.0,-235000000.0
PretaxIncome,101000000.0,95000000.0,105000000.0,59000000.0
OtherIncomeExpense,-7000000.0,4000000.0,45000000.0,34000000.0
OtherNonOperatingIncomeExpenses,1000000.0,10000000.0,-9000000.0,2000000.0
SpecialIncomeCharges,-2000000.0,-4000000.0,-5000000.0,-19000000.0
OtherSpecialCharges,-6000000.0,-5000000.0,-4000000.0,-2000000.0
WriteOff,,,,1000000.0
ImpairmentOfCapitalAssets,6000000.0,5000000.0,2000000.0,19000000.0
RestructuringAndMergernAcquisition,2000000.0,4000000.0,7000000.0,18000000.0
EarningsFromEquityInterest,7000000.0,-1000000.0,-2000000.0,11000000.0
GainOnSaleOfSecurity,-13000000.0,-1000000.0,61000000.0,40000000.0
NetNonOperatingInterestIncomeExpense,-17000000.0,-16000000.0,-16000000.0,-19000000.0
InterestExpenseNonOperating,41000000.0,31000000.0,33000000.0,34000000.0
InterestIncomeNonOperating,24000000.0,15000000.0,17000000.0,15000000.0
OperatingIncome,125000000.0,107000000.0,76000000.0,44000000.0
OperatingExpense,214000000.0,241000000.0,259000000.0,292000000.0
ProvisionForDoubtfulAccounts,-17000000.0,0.0,,
DepreciationAmortizationDepletionIncomeStatement,100000000.0,99000000.0,98000000.0,106000000.0
DepreciationAndAmortizationInIncomeStatement,100000000.0,99000000.0,98000000.0,106000000.0
SellingGeneralAndAdministration,131000000.0,142000000.0,161000000.0,169000000.0
GrossProfit,339000000.0,348000000.0,335000000.0,336000000.0
CostOfRevenue,1283000000.0,1357000000.0,1345000000.0,1252000000.0
TotalRevenue,1622000000.0,1705000000.0,1680000000.0,1588000000.0
OperatingRevenue,801000000.0,862000000.0,873000000.0,790000000.0
