,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.09429,0.093159,0.085377,0.23
NormalizedEBITDA,46539000.0,57193000.0,41185000.0,60116000.0
NetIncomeFromContinuingOperationNetMinorityInterest,46520000.0,55729000.0,40505000.0,37708000.0
ReconciledDepreciation,129000.0,184000.0,188000.0,218000.0
ReconciledCostOfRevenue,20136000.0,22054000.0,18254000.0,21002000.0
EBITDA,46539000.0,57193000.0,41185000.0,60116000.0
EBIT,46410000.0,57009000.0,40997000.0,59898000.0
NetInterestIncome,4953000.0,4445000.0,3289000.0,3962000.0
InterestIncome,,,3289000.0,
NormalizedIncome,46520000.0,55729000.0,40505000.0,37708000.0
NetIncomeFromContinuingAndDiscontinuedOperation,46520000.0,55729000.0,40505000.0,37708000.0
TotalExpenses,76702000.0,79072000.0,65077000.0,73673000.0
TotalOperatingIncomeAsReported,46410000.0,57009000.0,40997000.0,59898000.0
DilutedAverageShares,85970000.0,85650000.0,85387000.0,85288000.0
BasicAverageShares,83703000.0,83405000.0,83154000.0,82449000.0
DilutedEPS,0.54,0.65,0.47,0.44
BasicEPS,0.56,0.67,0.49,0.46
DilutedNIAvailtoComStockholders,46520000.0,55729000.0,40505000.0,37708000.0
NetIncomeCommonStockholders,46520000.0,55729000.0,40505000.0,37708000.0
NetIncome,46520000.0,55729000.0,40505000.0,37708000.0
MinorityInterests,,0.0,,0.0
NetIncomeIncludingNoncontrollingInterests,46520000.0,55729000.0,40505000.0,37708000.0
NetIncomeContinuousOperations,46520000.0,55729000.0,40505000.0,37708000.0
TaxProvision,4843000.0,5725000.0,3781000.0,26152000.0
PretaxIncome,51363000.0,61454000.0,44286000.0,63860000.0
NetNonOperatingInterestIncomeExpense,4953000.0,4445000.0,3289000.0,3962000.0
TotalOtherFinanceCost,-4953000.0,-4445000.0,,
InterestIncomeNonOperating,,,3289000.0,
OperatingIncome,46410000.0,57009000.0,40997000.0,59898000.0
OperatingExpense,56566000.0,57018000.0,46823000.0,52671000.0
ResearchAndDevelopment,3268000.0,3567000.0,3102000.0,3261000.0
SellingGeneralAndAdministration,53298000.0,53451000.0,43721000.0,49410000.0
SellingAndMarketingExpense,50819000.0,51059000.0,41713000.0,47012000.0
GeneralAndAdministrativeExpense,2479000.0,2392000.0,2008000.0,2398000.0
OtherGandA,2479000.0,2392000.0,2008000.0,2398000.0
GrossProfit,102976000.0,114027000.0,87820000.0,112569000.0
CostOfRevenue,20136000.0,22054000.0,18254000.0,21002000.0
TotalRevenue,123112000.0,136081000.0,106074000.0,133571000.0
OperatingRevenue,123112000.0,136081000.0,106074000.0,133571000.0
