,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-883674.0,-1469750.0,31589600.0,-505877.122085
TaxRateForCalcs,0.198,0.25,0.224,0.155559
NormalizedEBITDA,299293000.0,341174000.0,314274000.0,390861000.0
TotalUnusualItems,-4463000.0,-5879000.0,141025000.0,-3252000.0
TotalUnusualItemsExcludingGoodwill,-4463000.0,-5879000.0,141025000.0,-3252000.0
NetIncomeFromContinuingOperationNetMinorityInterest,180009000.0,198043000.0,295783000.0,256814000.0
ReconciledDepreciation,48536000.0,46613000.0,46631000.0,48682000.0
ReconciledCostOfRevenue,450841000.0,487418000.0,435139000.0,475366000.0
EBITDA,294830000.0,335295000.0,455299000.0,387609000.0
EBIT,246294000.0,288682000.0,408668000.0,338927000.0
NetInterestIncome,-21820000.0,-24558000.0,-27391000.0,-29924000.0
InterestExpense,21820000.0,24558000.0,27391000.0,34804000.0
NormalizedIncome,183588326.0,202452250.0,186347600.0,259560122.877915
NetIncomeFromContinuingAndDiscontinuedOperation,180009000.0,198043000.0,295783000.0,256814000.0
TotalExpenses,1159904000.0,1214199000.0,1138860000.0,1169146000.0
TotalOperatingIncomeAsReported,244417000.0,283107000.0,407957000.0,332319000.0
DilutedAverageShares,79500000.0,79820000.0,80300000.0,80100000.0
BasicAverageShares,78900000.0,79285000.0,79500000.0,79200000.0
DilutedEPS,2.26,2.48,3.68,3.21
BasicEPS,2.28,2.5,3.72,3.24
DilutedNIAvailtoComStockholders,180009000.0,198043000.0,295783000.0,256814000.0
NetIncomeCommonStockholders,180009000.0,198043000.0,295783000.0,256814000.0
NetIncome,180009000.0,198043000.0,295783000.0,256814000.0
NetIncomeIncludingNoncontrollingInterests,180009000.0,198043000.0,295783000.0,256814000.0
NetIncomeContinuousOperations,180009000.0,198043000.0,295783000.0,256814000.0
TaxProvision,44465000.0,66081000.0,85494000.0,47309000.0
PretaxIncome,224474000.0,264124000.0,381277000.0,304123000.0
OtherIncomeExpense,-2586000.0,-304000.0,138659000.0,-1524000.0
OtherNonOperatingIncomeExpenses,1877000.0,5575000.0,-2366000.0,1728000.0
SpecialIncomeCharges,-4463000.0,-5879000.0,141025000.0,-3252000.0
GainOnSaleOfBusiness,0.0,-3906000.0,139316000.0,
OtherSpecialCharges,,,-3077000.0,
RestructuringAndMergernAcquisition,4463000.0,1973000.0,1368000.0,3252000.0
NetNonOperatingInterestIncomeExpense,-21820000.0,-24558000.0,-27391000.0,-29924000.0
InterestExpenseNonOperating,21820000.0,24558000.0,27391000.0,34804000.0
OperatingIncome,248880000.0,288986000.0,270009000.0,335571000.0
OperatingExpense,709063000.0,726781000.0,703721000.0,693780000.0
DepreciationAmortizationDepletionIncomeStatement,48536000.0,46613000.0,46631000.0,48682000.0
DepreciationAndAmortizationInIncomeStatement,48536000.0,46613000.0,46631000.0,48682000.0
Amortization,23989000.0,22901000.0,22735000.0,24265000.0
AmortizationOfIntangiblesIncomeStatement,23989000.0,22901000.0,22735000.0,24265000.0
DepreciationIncomeStatement,24547000.0,23712000.0,23896000.0,24417000.0
SellingGeneralAndAdministration,660527000.0,680168000.0,657090000.0,645098000.0
GrossProfit,957943000.0,1015767000.0,973730000.0,1029351000.0
CostOfRevenue,450841000.0,487418000.0,435139000.0,475366000.0
TotalRevenue,1408784000.0,1503185000.0,1408869000.0,1504717000.0
OperatingRevenue,1408784000.0,1503185000.0,1408869000.0,1504717000.0
