,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-44999.0,103740.0,126840.0,70255.330514
TaxRateForCalcs,0.017,0.21,0.21,0.05493
NormalizedEBITDA,-16461000.0,-25148000.0,-13672000.0,-15650000.0
TotalUnusualItems,-2647000.0,494000.0,604000.0,1279000.0
TotalUnusualItemsExcludingGoodwill,-2647000.0,494000.0,604000.0,1279000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-32277000.0,-36199000.0,-24200000.0,-21231000.0
ReconciledDepreciation,12765000.0,12414000.0,12424000.0,13092000.0
ReconciledCostOfRevenue,26894000.0,26770000.0,24564000.0,24445000.0
EBITDA,-19108000.0,-24654000.0,-13068000.0,-14371000.0
EBIT,-31873000.0,-37068000.0,-25492000.0,-27463000.0
NetInterestIncome,1687000.0,1481000.0,1285000.0,917000.0
NormalizedIncome,-29674999.0,-36589260.0,-24677160.0,-22439744.669486
NetIncomeFromContinuingAndDiscontinuedOperation,-32277000.0,-36199000.0,-24200000.0,-21231000.0
TotalExpenses,174498000.0,172157000.0,157704000.0,154984000.0
TotalOperatingIncomeAsReported,-31873000.0,-37622000.0,-25492000.0,-24661000.0
DilutedAverageShares,125537246.0,124382767.0,123422066.0,122300221.0
BasicAverageShares,125537246.0,124382767.0,123422066.0,122300221.0
DilutedEPS,-0.26,-0.29,-0.2,-0.17
BasicEPS,-0.26,-0.29,-0.2,-0.17
DilutedNIAvailtoComStockholders,-32277000.0,-36199000.0,-24200000.0,-21231000.0
NetIncomeCommonStockholders,-32277000.0,-36199000.0,-24200000.0,-21231000.0
NetIncome,-32277000.0,-36199000.0,-24200000.0,-21231000.0
NetIncomeIncludingNoncontrollingInterests,-32277000.0,-36199000.0,-24200000.0,-21231000.0
NetIncomeContinuousOperations,-32277000.0,-36199000.0,-24200000.0,-21231000.0
TaxProvision,-556000.0,1106000.0,597000.0,-1234000.0
PretaxIncome,-32833000.0,-35093000.0,-23603000.0,-22465000.0
OtherIncomeExpense,-2647000.0,494000.0,604000.0,1279000.0
SpecialIncomeCharges,,-554000.0,,0.0
RestructuringAndMergernAcquisition,,554000.0,,
GainOnSaleOfSecurity,-2647000.0,1048000.0,604000.0,1279000.0
NetNonOperatingInterestIncomeExpense,1687000.0,1481000.0,1285000.0,917000.0
TotalOtherFinanceCost,-1687000.0,-1481000.0,-1285000.0,
OperatingIncome,-31873000.0,-37068000.0,-25492000.0,-24661000.0
OperatingExpense,142259000.0,141274000.0,127957000.0,124571000.0
OtherTaxes,,449000.0,,
DepreciationAmortizationDepletionIncomeStatement,7420000.0,8301000.0,7241000.0,7124000.0
DepreciationAndAmortizationInIncomeStatement,7420000.0,8301000.0,7241000.0,7124000.0
Amortization,7420000.0,7247000.0,7241000.0,7124000.0
AmortizationOfIntangiblesIncomeStatement,7420000.0,7247000.0,7241000.0,7124000.0
DepreciationIncomeStatement,,1054000.0,,
ResearchAndDevelopment,34704000.0,34725000.0,32072000.0,30322000.0
SellingGeneralAndAdministration,100135000.0,97799000.0,88644000.0,87125000.0
SellingAndMarketingExpense,64239000.0,53609000.0,60208000.0,58557000.0
GeneralAndAdministrativeExpense,35896000.0,44190000.0,28436000.0,28568000.0
OtherGandA,35896000.0,23446000.0,28436000.0,28568000.0
SalariesAndWages,,20744000.0,,
GrossProfit,110386000.0,104206000.0,102465000.0,99910000.0
CostOfRevenue,32239000.0,30883000.0,29747000.0,30413000.0
TotalRevenue,142625000.0,135089000.0,132212000.0,130323000.0
OperatingRevenue,142625000.0,135089000.0,132212000.0,130323000.0
