,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.237,0.21119,0.232,0.232
NormalizedEBITDA,186680000.0,177751000.0,159418000.0,156718000.0
NetIncomeFromContinuingOperationNetMinorityInterest,101679000.0,97773000.0,81549000.0,80775000.0
ReconciledDepreciation,49235000.0,48377000.0,48637000.0,48102000.0
ReconciledCostOfRevenue,323002000.0,308867000.0,307345000.0,304589000.0
EBITDA,186680000.0,177751000.0,159418000.0,156718000.0
EBIT,137445000.0,129374000.0,110781000.0,108616000.0
NetInterestIncome,548000.0,-248000.0,-2275000.0,-2166000.0
InterestExpense,4197000.0,5424000.0,4666000.0,3406000.0
InterestIncome,4745000.0,5176000.0,2391000.0,1240000.0
NormalizedIncome,101679000.0,97773000.0,81549000.0,80775000.0
NetIncomeFromContinuingAndDiscontinuedOperation,101679000.0,97773000.0,81549000.0,80775000.0
TotalExpenses,438668000.0,410435000.0,400162000.0,397938000.0
TotalOperatingIncomeAsReported,132700000.0,124198000.0,108390000.0,107376000.0
DilutedAverageShares,73014000.0,73027000.0,73074000.0,73144000.0
BasicAverageShares,72869000.0,72894433.0,72935000.0,72984105.0
DilutedEPS,1.39,1.34,1.12,1.1
BasicEPS,1.4,1.341296,1.12,1.106748
DilutedNIAvailtoComStockholders,101679000.0,97773000.0,81549000.0,80775000.0
NetIncomeCommonStockholders,101679000.0,97773000.0,81549000.0,80775000.0
NetIncome,101679000.0,97773000.0,81549000.0,80775000.0
NetIncomeIncludingNoncontrollingInterests,101679000.0,97773000.0,81549000.0,80775000.0
NetIncomeContinuousOperations,101679000.0,97773000.0,81549000.0,80775000.0
TaxProvision,31569000.0,26177000.0,24566000.0,24435000.0
PretaxIncome,133248000.0,123950000.0,106115000.0,105210000.0
NetNonOperatingInterestIncomeExpense,548000.0,-248000.0,-2275000.0,-2166000.0
InterestExpenseNonOperating,4197000.0,5424000.0,4666000.0,3406000.0
InterestIncomeNonOperating,4745000.0,5176000.0,2391000.0,1240000.0
OperatingIncome,132700000.0,124198000.0,108390000.0,107376000.0
OperatingExpense,115666000.0,101568000.0,92817000.0,93349000.0
ResearchAndDevelopment,36892000.0,38499000.0,34625000.0,36561000.0
SellingGeneralAndAdministration,78774000.0,63069000.0,58192000.0,56788000.0
GrossProfit,248366000.0,225766000.0,201207000.0,200725000.0
CostOfRevenue,323002000.0,308867000.0,307345000.0,304589000.0
TotalRevenue,571368000.0,534633000.0,508552000.0,505314000.0
OperatingRevenue,571368000.0,534633000.0,508552000.0,505314000.0
