,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-173126000.0,405684000.0,0.0,0.0
TaxRateForCalcs,0.214,0.177,0.209,0.168392
TotalUnusualItems,-809000000.0,2292000000.0,,
TotalUnusualItemsExcludingGoodwill,-809000000.0,2292000000.0,,
NetIncomeFromContinuingOperationNetMinorityInterest,13151000000.0,14472000000.0,12622000000.0,11008000000.0
ReconciledDepreciation,2019000000.0,507000000.0,1649000000.0,1671000000.0
NetInterestIncome,22726000000.0,21779000000.0,20711000000.0,20192000000.0
InterestExpense,21830000000.0,19865000000.0,16293000000.0,12862000000.0
InterestIncome,44556000000.0,41644000000.0,37004000000.0,33054000000.0
NormalizedIncome,13786874000.0,12585684000.0,12622000000.0,11008000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,13151000000.0,14472000000.0,12622000000.0,11008000000.0
DilutedAverageShares,2932100000.0,2948300000.0,2972700000.0,2967100000.0
BasicAverageShares,2927500000.0,2943800000.0,2968500000.0,2962900000.0
DilutedEPS,4.33,4.75,4.1,3.57
BasicEPS,4.33,4.76,4.11,3.58
DilutedNIAvailtoComStockholders,12685000000.0,14011000000.0,12193000000.0,10597000000.0
NetIncomeCommonStockholders,12685000000.0,14011000000.0,12193000000.0,10597000000.0
OtherunderPreferredStockDividend,80000000.0,88000000.0,73000000.0,55000000.0
PreferredStockDividends,386000000.0,373000000.0,356000000.0,356000000.0
NetIncome,13151000000.0,14472000000.0,12622000000.0,11008000000.0
NetIncomeIncludingNoncontrollingInterests,13151000000.0,14472000000.0,12622000000.0,11008000000.0
NetIncomeContinuousOperations,13151000000.0,14472000000.0,12622000000.0,11008000000.0
TaxProvision,3582000000.0,3114000000.0,3345000000.0,2229000000.0
PretaxIncome,16733000000.0,17586000000.0,15967000000.0,13237000000.0
SpecialIncomeCharges,-809000000.0,2292000000.0,,
OtherSpecialCharges,665000000.0,420000000.0,,
RestructuringAndMergernAcquisition,144000000.0,-2712000000.0,,
GainOnSaleOfSecurity,-682000000.0,-913000000.0,-869000000.0,-909000000.0
SellingGeneralAndAdministration,12852000000.0,12338000000.0,12721000000.0,11102000000.0
SellingAndMarketingExpense,1126000000.0,1122000000.0,1045000000.0,1093000000.0
GeneralAndAdministrativeExpense,11726000000.0,11216000000.0,11676000000.0,10009000000.0
SalariesAndWages,11726000000.0,11216000000.0,11676000000.0,10009000000.0
TotalRevenue,39761000000.0,38582000000.0,38348000000.0,34512000000.0
OperatingRevenue,39761000000.0,38582000000.0,38348000000.0,34512000000.0
