,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-38000.0,-252000.0,3288000.0,-5602285.714286
TaxRateForCalcs,0.02,0.14,0.24,0.245714
NormalizedEBITDA,46000000.0,61600000.0,45300000.0,23800000.0
TotalUnusualItems,-1900000.0,-1800000.0,13700000.0,-22800000.0
TotalUnusualItemsExcludingGoodwill,-1900000.0,-1800000.0,13700000.0,-22800000.0
NetIncomeFromContinuingOperationNetMinorityInterest,5400000.0,18300000.0,15900000.0,-26400000.0
ReconciledDepreciation,27200000.0,26400000.0,26300000.0,26500000.0
ReconciledCostOfRevenue,692400000.0,744800000.0,757400000.0,747500000.0
EBITDA,44100000.0,59800000.0,59000000.0,1000000.0
EBIT,16900000.0,33400000.0,32700000.0,-25500000.0
NetInterestIncome,-10800000.0,-11900000.0,-11500000.0,-11100000.0
InterestExpense,11400000.0,12100000.0,11900000.0,9500000.0
InterestIncome,600000.0,200000.0,400000.0,700000.0
NormalizedIncome,7262000.0,19848000.0,5488000.0,-9202285.714286
NetIncomeFromContinuingAndDiscontinuedOperation,5400000.0,18300000.0,15900000.0,-26400000.0
TotalExpenses,725100000.0,778900000.0,787100000.0,775500000.0
TotalOperatingIncomeAsReported,19100000.0,35900000.0,19100000.0,-22200000.0
DilutedAverageShares,16154000.0,16083000.0,16096000.0,
BasicAverageShares,15995000.0,15974000.0,15940000.0,
DilutedEPS,0.34,1.14,0.99,
BasicEPS,0.34,1.14,1.0,
DilutedNIAvailtoComStockholders,5400000.0,18300000.0,15900000.0,-26400000.0
NetIncomeCommonStockholders,5400000.0,18300000.0,15900000.0,-26400000.0
NetIncome,5400000.0,18300000.0,15900000.0,-26400000.0
NetIncomeIncludingNoncontrollingInterests,5400000.0,18300000.0,15900000.0,-26400000.0
NetIncomeContinuousOperations,5400000.0,18300000.0,15900000.0,-26400000.0
TaxProvision,100000.0,3000000.0,4900000.0,-8600000.0
PretaxIncome,5500000.0,21300000.0,20800000.0,-35000000.0
OtherIncomeExpense,-2200000.0,-2000000.0,11800000.0,-24400000.0
OtherNonOperatingIncomeExpenses,-300000.0,-200000.0,-1900000.0,-1600000.0
SpecialIncomeCharges,-1800000.0,-2000000.0,13600000.0,-23000000.0
GainOnSaleOfPPE,-200000.0,-800000.0,15000000.0,-300000.0
RestructuringAndMergernAcquisition,1600000.0,1200000.0,1400000.0,2200000.0
GainOnSaleOfSecurity,-100000.0,200000.0,100000.0,200000.0
NetNonOperatingInterestIncomeExpense,-10800000.0,-11900000.0,-11500000.0,-11100000.0
InterestExpenseNonOperating,11400000.0,12100000.0,11900000.0,9500000.0
InterestIncomeNonOperating,600000.0,200000.0,400000.0,700000.0
OperatingIncome,18500000.0,35200000.0,20500000.0,500000.0
OperatingExpense,32700000.0,34100000.0,29700000.0,28000000.0
OtherOperatingExpenses,,,,0.0
SellingGeneralAndAdministration,32700000.0,34100000.0,29700000.0,28000000.0
SellingAndMarketingExpense,30500000.0,32200000.0,,
GeneralAndAdministrativeExpense,2200000.0,1900000.0,,
OtherGandA,,32200000.0,,
SalariesAndWages,2200000.0,1900000.0,,
GrossProfit,51200000.0,69300000.0,50200000.0,28500000.0
CostOfRevenue,692400000.0,744800000.0,757400000.0,747500000.0
TotalRevenue,743600000.0,814100000.0,807600000.0,776000000.0
OperatingRevenue,743600000.0,814100000.0,807600000.0,776000000.0
