,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30
TaxEffectOfUnusualItems,,0.0,0.0,0.0,0.0
TaxRateForCalcs,,0.229,0.235,0.226,0.240427
NormalizedEBITDA,,194230000.0,217148000.0,169620000.0,292693000.0
TotalUnusualItems,,0.0,,,0.0
TotalUnusualItemsExcludingGoodwill,,0.0,,,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,,149933000.0,164442000.0,125500000.0,216410000.0
ReconciledDepreciation,,9226000.0,9048000.0,8712000.0,8458000.0
ReconciledCostOfRevenue,,1241910000.0,1388030000.0,1084179000.0,1494720000.0
EBITDA,,194230000.0,217148000.0,169620000.0,292693000.0
EBIT,,185004000.0,208100000.0,160908000.0,284235000.0
NetInterestIncome,,5492000.0,1729000.0,467000.0,437000.0
InterestIncome,,5492000.0,1729000.0,467000.0,437000.0
NormalizedIncome,,149933000.0,164442000.0,125500000.0,216410000.0
NetIncomeFromContinuingAndDiscontinuedOperation,,149933000.0,164442000.0,125500000.0,216410000.0
TotalExpenses,,1402007000.0,1557216000.0,1223406000.0,1655795000.0
TotalOperatingIncomeAsReported,,179242000.0,202102000.0,156489000.0,278242000.0
DilutedAverageShares,80511000.0,82732000.0,84306000.0,85995000.0,87160000.0
BasicAverageShares,77986000.0,80175000.0,81764000.0,83468000.0,84821000.0
DilutedEPS,1.85,1.8,1.94,1.45,2.47
BasicEPS,1.91,1.86,2.0,1.49,2.54
DilutedNIAvailtoComStockholders,,148846000.0,163266000.0,124659000.0,215146000.0
AverageDilutionEarnings,,31000.0,34000.0,23000.0,33000.0
NetIncomeCommonStockholders,,148815000.0,163232000.0,124636000.0,215113000.0
OtherunderPreferredStockDividend,,1118000.0,1210000.0,864000.0,1297000.0
NetIncome,,149933000.0,164442000.0,125500000.0,216410000.0
NetIncomeIncludingNoncontrollingInterests,,149933000.0,164442000.0,125500000.0,216410000.0
NetIncomeContinuousOperations,,149933000.0,164442000.0,125500000.0,216410000.0
TaxProvision,,44600000.0,50500000.0,36700000.0,68500000.0
PretaxIncome,,194533000.0,214942000.0,162200000.0,284910000.0
OtherIncomeExpense,,4037000.0,5113000.0,825000.0,238000.0
SpecialIncomeCharges,,0.0,,,0.0
OtherSpecialCharges,,,,,0.0
EarningsFromEquityInterest,,4037000.0,5113000.0,825000.0,238000.0
NetNonOperatingInterestIncomeExpense,,5492000.0,1729000.0,467000.0,437000.0
InterestIncomeNonOperating,,5492000.0,1729000.0,467000.0,437000.0
OperatingIncome,,185004000.0,208100000.0,160908000.0,284235000.0
OperatingExpense,,160097000.0,169186000.0,139227000.0,161075000.0
SellingGeneralAndAdministration,,160097000.0,169186000.0,139227000.0,155313000.0
GeneralAndAdministrativeExpense,,160097000.0,169186000.0,139227000.0,
OtherGandA,,160097000.0,169186000.0,139227000.0,
GrossProfit,,345101000.0,377286000.0,300135000.0,445310000.0
CostOfRevenue,,1241910000.0,1388030000.0,1084179000.0,1494720000.0
TotalRevenue,,1587011000.0,1765316000.0,1384314000.0,1940030000.0
OperatingRevenue,,1587011000.0,1765316000.0,1384314000.0,1940030000.0
