,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-10076100.628931,-12830716.134599,-6665832.53128,-9499603.698811
TaxRateForCalcs,0.232704,0.162209,0.229066,0.266843
TotalUnusualItems,-43300000.0,-79100000.0,-29100000.0,-35600000.0
TotalUnusualItemsExcludingGoodwill,-43300000.0,-79100000.0,-29100000.0,-35600000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-146300000.0,-97100000.0,-80100000.0,-55500000.0
ReconciledDepreciation,16000000.0,17900000.0,16200000.0,16000000.0
EBIT,-176700000.0,-101900000.0,-89800000.0,-62000000.0
NetInterestIncome,-14100000.0,-14000000.0,-14100000.0,-13700000.0
InterestExpense,14100000.0,14000000.0,14100000.0,13700000.0
InterestIncome,87700000.0,88300000.0,87200000.0,83700000.0
NormalizedIncome,-113076100.628931,-30830716.134599,-57665832.53128,-29399603.698811
NetIncomeFromContinuingAndDiscontinuedOperation,-146300000.0,-97100000.0,-80100000.0,-55500000.0
TotalExpenses,1385900000.0,1375900000.0,1397600000.0,1449100000.0
DilutedAverageShares,64056900.0,64008500.0,63946600.0,63888100.0
BasicAverageShares,64056900.0,64008500.0,63946600.0,63888100.0
DilutedEPS,-2.28,-1.52,-1.25,-0.87
BasicEPS,-2.28,-1.52,-1.25,-0.87
DilutedNIAvailtoComStockholders,-146300000.0,-97100000.0,-80100000.0,-55500000.0
AverageDilutionEarnings,0.0,,0.0,
NetIncomeCommonStockholders,-146300000.0,-97100000.0,-80100000.0,-55500000.0
NetIncome,-146300000.0,-97100000.0,-80100000.0,-55500000.0
MinorityInterests,100000.0,,,
NetIncomeIncludingNoncontrollingInterests,-146400000.0,-97100000.0,-80100000.0,-55500000.0
NetIncomeContinuousOperations,-146400000.0,-97100000.0,-80100000.0,-55500000.0
TaxProvision,-44400000.0,-18800000.0,-23800000.0,-20200000.0
PretaxIncome,-190800000.0,-115900000.0,-103900000.0,-75700000.0
OtherIncomeExpense,2400000.0,1700000.0,1200000.0,1900000.0
SpecialIncomeCharges,-43300000.0,-79100000.0,-29100000.0,-35600000.0
OtherSpecialCharges,,,,0.0
ImpairmentOfCapitalAssets,0.0,49600000.0,,
RestructuringAndMergernAcquisition,43300000.0,29500000.0,29100000.0,35600000.0
NetNonOperatingInterestIncomeExpense,-14100000.0,-14000000.0,-14100000.0,-13700000.0
InterestExpenseNonOperating,14100000.0,14000000.0,14100000.0,13700000.0
OtherOperatingExpenses,46200000.0,55300000.0,57800000.0,62500000.0
DepreciationAndAmortizationInIncomeStatement,500000.0,500000.0,500000.0,700000.0
Amortization,500000.0,500000.0,500000.0,700000.0
SellingGeneralAndAdministration,156100000.0,74500000.0,94200000.0,86400000.0
GeneralAndAdministrativeExpense,156100000.0,74500000.0,94200000.0,86400000.0
OtherGandA,85900000.0,74500000.0,94200000.0,86400000.0
SalariesAndWages,70200000.0,,,
TotalRevenue,1195100000.0,1260000000.0,1293700000.0,1373400000.0
OperatingRevenue,1195100000.0,1260000000.0,1293700000.0,1373400000.0
