,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,5459.5,45087.9,-90250.0,-40896.819753
TaxRateForCalcs,0.25,0.065,0.25,0.021786
NormalizedEBITDA,4505204.0,7186407.0,3801370.0,-5626002.0
TotalUnusualItems,21838.0,693660.0,-361000.0,-1877186.0
TotalUnusualItemsExcludingGoodwill,21838.0,693660.0,-361000.0,-1877186.0
NetIncomeFromContinuingOperationNetMinorityInterest,868902.0,3728112.0,-29110.0,-8949355.0
ReconciledDepreciation,2907522.0,2993405.0,3051089.0,2915003.0
ReconciledCostOfRevenue,25507180.0,22218767.0,14832878.0,30364728.0
EBITDA,4527042.0,7880067.0,3440370.0,-7503188.0
EBIT,1619520.0,4886662.0,389281.0,-10418191.0
NetInterestIncome,1572495.0,1760324.0,1926973.0,1444800.0
InterestExpense,354999.0,194239.0,173370.0,243494.0
InterestIncome,1927494.0,1954563.0,2100343.0,1688294.0
NormalizedIncome,852523.5,3079539.9,241640.0,-7113065.819753
NetIncomeFromContinuingAndDiscontinuedOperation,868902.0,3728112.0,-29110.0,-8949355.0
TotalExpenses,39367252.0,34522215.0,24478635.0,48467085.0
TotalOperatingIncomeAsReported,-3587157.0,-229164.0,-2236931.0,-13502482.0
DilutedAverageShares,81234002.0,76315953.0,75095595.0,
BasicAverageShares,79174343.0,74378083.0,74186504.0,
DilutedEPS,0.010696,0.06,-0.01,
BasicEPS,0.010975,0.06,-0.01,
DilutedNIAvailtoComStockholders,868902.0,3728112.0,-29110.0,-8949355.0
NetIncomeCommonStockholders,868902.0,3728112.0,-29110.0,-8949355.0
NetIncome,868902.0,3728112.0,-29110.0,-8949355.0
MinorityInterests,-407626.0,-659088.0,-624567.0,1480052.0
NetIncomeIncludingNoncontrollingInterests,1276528.0,4387200.0,595457.0,-10429407.0
NetIncomeContinuousOperations,1276528.0,4387200.0,595457.0,-10429407.0
TaxProvision,-12007.0,305223.0,-379546.0,-232278.0
PretaxIncome,1264521.0,4692423.0,215911.0,-10661685.0
OtherIncomeExpense,2633077.0,1500975.0,-94535.0,-2046661.0
OtherNonOperatingIncomeExpenses,2611239.0,807315.0,266465.0,-169475.0
SpecialIncomeCharges,21838.0,693660.0,-361000.0,-1877186.0
GainOnSaleOfPPE,,,,0.0
GainOnSaleOfBusiness,,,,0.0
ImpairmentOfCapitalAssets,-21838.0,1470340.0,,
RestructuringAndMergernAcquisition,0.0,-2164000.0,361000.0,-1463000.0
EarningsFromEquityInterest,,,,0.0
NetNonOperatingInterestIncomeExpense,1572495.0,1760324.0,1926973.0,1444800.0
InterestExpenseNonOperating,354999.0,194239.0,173370.0,243494.0
InterestIncomeNonOperating,1927494.0,1954563.0,2100343.0,1688294.0
OperatingIncome,-2941051.0,1431124.0,-1616527.0,-10059824.0
OperatingExpense,13860072.0,12303448.0,9645757.0,18102357.0
OtherOperatingExpenses,-667944.0,-189948.0,-620404.0,-102472.0
ResearchAndDevelopment,917893.0,874562.0,878980.0,2201530.0
SellingGeneralAndAdministration,13610123.0,11618834.0,9387181.0,16003299.0
SellingAndMarketingExpense,4152246.0,2780515.0,1827729.0,1694253.0
GeneralAndAdministrativeExpense,9457877.0,8838319.0,7559452.0,14309046.0
OtherGandA,9457877.0,8838319.0,7559452.0,14309046.0
GrossProfit,10919021.0,13734572.0,8029230.0,8042533.0
CostOfRevenue,25507180.0,22218767.0,14832878.0,30364728.0
TotalRevenue,36426201.0,35953339.0,22862108.0,38407261.0
OperatingRevenue,36426201.0,35953339.0,22862108.0,38407261.0
