,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-3031.98,-748494.18,20560.47,-20158.32
TaxRateForCalcs,0.21,0.21,0.21,0.21
NormalizedEBITDA,-2603142.0,-1108123.0,-2699590.0,-6070438.0
TotalUnusualItems,-14438.0,-3564258.0,97907.0,-95992.0
TotalUnusualItemsExcludingGoodwill,-14438.0,-3564258.0,97907.0,-95992.0
NetIncomeFromContinuingOperationNetMinorityInterest,-2450313.0,-8180379.0,-2628555.0,-6157170.0
ReconciledDepreciation,110409.0,163205.0,224574.0,56807.0
ReconciledCostOfRevenue,5437953.0,5697063.0,6624101.0,19162125.0
EBITDA,-2617580.0,-4672381.0,-2601683.0,-6166430.0
EBIT,-2727989.0,-4835586.0,-2826257.0,-6223237.0
NetInterestIncome,299506.0,222700.0,101765.0,35682.0
InterestIncome,299506.0,222700.0,101765.0,35682.0
NormalizedIncome,-2438906.98,-5364615.18,-2705901.53,-6081336.32
NetIncomeFromContinuingAndDiscontinuedOperation,-2450313.0,-8180379.0,-2628555.0,-6157170.0
TotalExpenses,13326486.0,15295442.0,13584448.0,18407594.0
TotalOperatingIncomeAsReported,-2727989.0,-4835586.0,-2826257.0,-6223237.0
DilutedAverageShares,110360814.0,109911244.0,105036382.0,
BasicAverageShares,110360814.0,109911244.0,105036382.0,
DilutedEPS,-0.02,-0.07,-0.03,
BasicEPS,-0.02,-0.07,-0.03,
DilutedNIAvailtoComStockholders,-2450313.0,-8180379.0,-2628555.0,-6157170.0
NetIncomeCommonStockholders,-2450313.0,-8180379.0,-2628555.0,-6157170.0
NetIncome,-2450313.0,-8180379.0,-2628555.0,-6157170.0
MinorityInterests,0.0,0.0,0.0,68.0
NetIncomeIncludingNoncontrollingInterests,-2450313.0,-8180379.0,-2628555.0,-6157238.0
NetIncomeContinuousOperations,-2450313.0,-8180379.0,-2628555.0,-6157238.0
TaxProvision,39000.0,39000.0,39000.0,36000.0
PretaxIncome,-2411313.0,-8141379.0,-2589555.0,-6121238.0
OtherIncomeExpense,17170.0,-3528493.0,134937.0,66317.0
OtherNonOperatingIncomeExpenses,31608.0,35765.0,37030.0,162309.0
GainOnSaleOfSecurity,-14438.0,-3564258.0,97907.0,-95992.0
NetNonOperatingInterestIncomeExpense,299506.0,222700.0,101765.0,35682.0
InterestIncomeNonOperating,299506.0,222700.0,101765.0,35682.0
OperatingIncome,-2727989.0,-4835586.0,-2826257.0,-6223237.0
OperatingExpense,7888533.0,9598379.0,6960347.0,-754531.0
ResearchAndDevelopment,3089935.0,3132259.0,2312217.0,-5607495.0
SellingGeneralAndAdministration,4798598.0,6466120.0,4648130.0,4852964.0
GrossProfit,5160544.0,4762793.0,4134090.0,-6977768.0
CostOfRevenue,5437953.0,5697063.0,6624101.0,19162125.0
TotalRevenue,10598497.0,10459856.0,10758191.0,12184357.0
OperatingRevenue,10462579.0,9895618.0,10551167.0,12184357.0
