,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-5271000.0,3270000.0,-1470000.0,6510000.0
TaxRateForCalcs,0.251,0.327,0.21,0.21
NormalizedEBITDA,859000000.0,830000000.0,790000000.0,459000000.0
TotalUnusualItems,-21000000.0,10000000.0,-7000000.0,31000000.0
TotalUnusualItemsExcludingGoodwill,-21000000.0,10000000.0,-7000000.0,31000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,438000000.0,430000000.0,330000000.0,-262000000.0
ReconciledDepreciation,153000000.0,148000000.0,152000000.0,166000000.0
ReconciledCostOfRevenue,1665000000.0,1786000000.0,1727000000.0,1786000000.0
EBITDA,838000000.0,840000000.0,783000000.0,490000000.0
EBIT,685000000.0,692000000.0,631000000.0,324000000.0
NetInterestIncome,-100000000.0,-53000000.0,,
InterestExpense,100000000.0,53000000.0,,
NormalizedIncome,453729000.0,423270000.0,335530000.0,-286490000.0
NetIncomeFromContinuingAndDiscontinuedOperation,438000000.0,430000000.0,330000000.0,-262000000.0
TotalExpenses,3207000000.0,3331000000.0,3221000000.0,3443000000.0
TotalOperatingIncomeAsReported,710000000.0,702000000.0,640000000.0,332000000.0
DilutedAverageShares,1920000000.0,1838000000.0,1888972560.0,
BasicAverageShares,1916000000.0,1838000000.0,1888972560.0,
DilutedEPS,0.23,0.23,0.174698,
BasicEPS,0.23,0.23,0.174698,
DilutedNIAvailtoComStockholders,438000000.0,430000000.0,330000000.0,-262000000.0
NetIncomeCommonStockholders,438000000.0,430000000.0,330000000.0,-262000000.0
NetIncome,438000000.0,430000000.0,330000000.0,-262000000.0
NetIncomeIncludingNoncontrollingInterests,438000000.0,430000000.0,330000000.0,-262000000.0
NetIncomeContinuousOperations,438000000.0,430000000.0,330000000.0,-262000000.0
TaxProvision,147000000.0,209000000.0,279000000.0,46000000.0
PretaxIncome,585000000.0,639000000.0,609000000.0,-216000000.0
OtherIncomeExpense,-23000000.0,12000000.0,-22000000.0,-540000000.0
OtherNonOperatingIncomeExpenses,-2000000.0,2000000.0,-15000000.0,-571000000.0
SpecialIncomeCharges,2000000.0,22000000.0,9000000.0,8000000.0
GainOnSaleOfPPE,0.0,0.0,9000000.0,
OtherSpecialCharges,,21000000.0,,-8000000.0
RestructuringAndMergernAcquisition,-2000000.0,-43000000.0,,
GainOnSaleOfSecurity,-23000000.0,-12000000.0,-16000000.0,-19000000.0
NetNonOperatingInterestIncomeExpense,-100000000.0,-53000000.0,,
InterestExpenseNonOperating,100000000.0,53000000.0,,
OperatingIncome,708000000.0,680000000.0,631000000.0,324000000.0
OperatingExpense,1542000000.0,1545000000.0,1494000000.0,1657000000.0
OtherOperatingExpenses,11000000.0,23000000.0,-8000000.0,-9000000.0
SellingGeneralAndAdministration,1531000000.0,1522000000.0,1502000000.0,1666000000.0
GrossProfit,2250000000.0,2225000000.0,2125000000.0,1981000000.0
CostOfRevenue,1665000000.0,1786000000.0,1727000000.0,1786000000.0
TotalRevenue,3915000000.0,4011000000.0,3852000000.0,3767000000.0
OperatingRevenue,3915000000.0,4011000000.0,3852000000.0,3767000000.0
