,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,441000.0,453750.0,500000.0,273913.043478
TaxRateForCalcs,0.21,0.20625,0.25,0.228261
NormalizedEBITDA,500000.0,15900000.0,9200000.0,29700000.0
TotalUnusualItems,2100000.0,2200000.0,2000000.0,1200000.0
TotalUnusualItemsExcludingGoodwill,2100000.0,2200000.0,2000000.0,1200000.0
NetIncomeFromContinuingOperationNetMinorityInterest,8200000.0,12700000.0,7200000.0,21300000.0
ReconciledDepreciation,1600000.0,1900000.0,1300000.0,2900000.0
ReconciledCostOfRevenue,39800000.0,70200000.0,43700000.0,77700000.0
EBITDA,2600000.0,18100000.0,11200000.0,30900000.0
EBIT,1000000.0,16200000.0,9900000.0,28000000.0
NetInterestIncome,-400000.0,-200000.0,-300000.0,-400000.0
InterestExpense,400000.0,200000.0,300000.0,400000.0
NormalizedIncome,6541000.0,10953750.0,5700000.0,20373913.043478
NetIncomeFromContinuingAndDiscontinuedOperation,8200000.0,12700000.0,7200000.0,21300000.0
TotalExpenses,54000000.0,84000000.0,58700000.0,94900000.0
TotalOperatingIncomeAsReported,-2900000.0,14400000.0,8300000.0,31300000.0
DilutedAverageShares,15374000.0,15369000.0,15241000.0,15029000.0
BasicAverageShares,15374000.0,15161000.0,14841000.0,14648000.0
DilutedEPS,0.52,0.83,0.47,1.32
BasicEPS,0.53,0.84,0.49,1.35
DilutedNIAvailtoComStockholders,8200000.0,12700000.0,7200000.0,19800000.0
NetIncomeCommonStockholders,8200000.0,12700000.0,7200000.0,19800000.0
OtherunderPreferredStockDividend,,,,1500000.0
NetIncome,8200000.0,12700000.0,7200000.0,21300000.0
NetIncomeIncludingNoncontrollingInterests,8200000.0,12700000.0,7200000.0,21300000.0
NetIncomeContinuousOperations,8200000.0,12700000.0,7200000.0,21300000.0
TaxProvision,-7600000.0,3300000.0,2400000.0,6300000.0
PretaxIncome,600000.0,16000000.0,9600000.0,27600000.0
OtherIncomeExpense,3700000.0,1800000.0,1700000.0,-3300000.0
OtherNonOperatingIncomeExpenses,1600000.0,-400000.0,-300000.0,-4500000.0
SpecialIncomeCharges,-200000.0,0.0,100000.0,0.0
RestructuringAndMergernAcquisition,200000.0,0.0,-100000.0,0.0
GainOnSaleOfSecurity,2300000.0,2200000.0,1900000.0,1200000.0
NetNonOperatingInterestIncomeExpense,-400000.0,-200000.0,-300000.0,-400000.0
InterestExpenseNonOperating,400000.0,200000.0,300000.0,400000.0
OperatingIncome,-2700000.0,14400000.0,8200000.0,31300000.0
OperatingExpense,14000000.0,13600000.0,14800000.0,17100000.0
OtherOperatingExpenses,3300000.0,4100000.0,3400000.0,4800000.0
DepreciationAmortizationDepletionIncomeStatement,1400000.0,1700000.0,1100000.0,2800000.0
DepreciationAndAmortizationInIncomeStatement,1400000.0,1700000.0,1100000.0,2800000.0
Amortization,1400000.0,1700000.0,1100000.0,2800000.0
AmortizationOfIntangiblesIncomeStatement,1400000.0,1700000.0,1100000.0,2800000.0
SellingGeneralAndAdministration,9300000.0,7800000.0,10300000.0,9500000.0
GeneralAndAdministrativeExpense,9300000.0,,,9500000.0
OtherGandA,9300000.0,,,9500000.0
GrossProfit,11300000.0,28000000.0,23000000.0,48400000.0
CostOfRevenue,40000000.0,70400000.0,43900000.0,77800000.0
TotalRevenue,51300000.0,98400000.0,66900000.0,126200000.0
OperatingRevenue,51300000.0,98400000.0,66900000.0,126200000.0
