,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-15897600.0,-299200.0,282100.0,-1407280.334728
TaxRateForCalcs,0.256,0.176,0.217,0.210042
NormalizedEBITDA,270000000.0,301300000.0,157600000.0,161600000.0
TotalUnusualItems,-62100000.0,-1700000.0,1300000.0,-6700000.0
TotalUnusualItemsExcludingGoodwill,-62100000.0,-1700000.0,1300000.0,-6700000.0
NetIncomeFromContinuingOperationNetMinorityInterest,130400000.0,217200000.0,98000000.0,94400000.0
ReconciledDepreciation,21500000.0,20900000.0,19600000.0,21700000.0
ReconciledCostOfRevenue,937800000.0,953600000.0,742800000.0,808600000.0
EBITDA,207900000.0,299600000.0,158900000.0,154900000.0
EBIT,186400000.0,278700000.0,139300000.0,133200000.0
NetInterestIncome,-11200000.0,-15000000.0,-14200000.0,-12600000.0
InterestExpense,11200000.0,15000000.0,14200000.0,13700000.0
NormalizedIncome,176602400.0,218600800.0,96982100.0,99692719.665272
NetIncomeFromContinuingAndDiscontinuedOperation,130400000.0,217200000.0,98000000.0,94400000.0
TotalExpenses,1116900000.0,1134800000.0,909500000.0,963200000.0
TotalOperatingIncomeAsReported,186800000.0,278800000.0,139500000.0,131600000.0
DilutedAverageShares,35700000.0,35600000.0,35600000.0,35600000.0
BasicAverageShares,35500000.0,35500000.0,35500000.0,35400000.0
DilutedEPS,3.65,6.1,2.75,2.65
BasicEPS,3.67,6.12,2.76,2.66
DilutedNIAvailtoComStockholders,130400000.0,217200000.0,98000000.0,94400000.0
NetIncomeCommonStockholders,130400000.0,217200000.0,98000000.0,94400000.0
NetIncome,130400000.0,217200000.0,98000000.0,94400000.0
NetIncomeIncludingNoncontrollingInterests,130400000.0,217200000.0,98000000.0,94400000.0
NetIncomeDiscontinuousOperations,,,,0.0
NetIncomeContinuousOperations,130400000.0,217200000.0,98000000.0,94400000.0
TaxProvision,44800000.0,46500000.0,27100000.0,25100000.0
PretaxIncome,175200000.0,263700000.0,125100000.0,119500000.0
OtherIncomeExpense,-63000000.0,2100000.0,-600000.0,1500000.0
OtherNonOperatingIncomeExpenses,-5100000.0,700000.0,-2600000.0,7000000.0
SpecialIncomeCharges,-63300000.0,-3800000.0,300000.0,-8100000.0
GainOnSaleOfPPE,200000.0,1000000.0,300000.0,-300000.0
OtherSpecialCharges,,4800000.0,,7500000.0
WriteOff,63200000.0,,,
RestructuringAndMergernAcquisition,300000.0,0.0,0.0,300000.0
EarningsFromEquityInterest,4200000.0,3100000.0,700000.0,1200000.0
GainOnSaleOfSecurity,1200000.0,2100000.0,1000000.0,1400000.0
NetNonOperatingInterestIncomeExpense,-11200000.0,-15000000.0,-14200000.0,-12600000.0
InterestExpenseNonOperating,11200000.0,15000000.0,14200000.0,13700000.0
OperatingIncome,249400000.0,276600000.0,139900000.0,130600000.0
OperatingExpense,179100000.0,181200000.0,166700000.0,154600000.0
OtherOperatingExpenses,-100000.0,-200000.0,-800000.0,-400000.0
SellingGeneralAndAdministration,179200000.0,181400000.0,167500000.0,155000000.0
GeneralAndAdministrativeExpense,179200000.0,181400000.0,,
OtherGandA,178900000.0,181300000.0,,
SalariesAndWages,300000.0,100000.0,,
GrossProfit,428500000.0,457800000.0,306600000.0,285200000.0
CostOfRevenue,937800000.0,953600000.0,742800000.0,808600000.0
TotalRevenue,1366300000.0,1411400000.0,1049400000.0,1093800000.0
OperatingRevenue,1366300000.0,1411400000.0,1049400000.0,1093800000.0
