,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,-93536.357986,-358728.501229,-2414180.959874,12133564.420196,845111.511873
TaxRateForCalcs,0.267247,0.232187,0.358773,0.305308,0.168921
NormalizedEBITDA,-2334000.0,2177000.0,11640000.0,-13762000.0,-4926000.0
TotalUnusualItems,-350000.0,-1545000.0,-6729000.0,39742000.0,5003000.0
TotalUnusualItemsExcludingGoodwill,-350000.0,-1545000.0,-6729000.0,39742000.0,5003000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-3455000.0,-1163000.0,-1613000.0,15631000.0,-2656000.0
ReconciledDepreciation,2066000.0,2019000.0,2044000.0,2447000.0,2366000.0
ReconciledCostOfRevenue,44225000.0,47879000.0,39198000.0,42479000.0,41489000.0
EBITDA,-2684000.0,632000.0,4911000.0,25980000.0,77000.0
EBIT,-4750000.0,-1387000.0,2867000.0,23533000.0,-2289000.0
NetInterestIncome,39000.0,-63000.0,1058000.0,-1164000.0,-1039000.0
InterestExpense,77000.0,241000.0,,1172000.0,1038000.0
InterestIncome,116000.0,178000.0,1058000.0,8000.0,-1000.0
NormalizedIncome,-3198536.357986,23271.498771,2701819.040126,-11977435.579804,-6813888.488127
NetIncomeFromContinuingAndDiscontinuedOperation,-3455000.0,-1163000.0,-1613000.0,15631000.0,-2656000.0
TotalExpenses,50773000.0,52501000.0,45203000.0,51759000.0,46548000.0
TotalOperatingIncomeAsReported,-9690000.0,-1549000.0,-3862000.0,25884000.0,-1887000.0
DilutedAverageShares,17622000.0,17621000.0,17597000.0,18378000.0,17540000.0
BasicAverageShares,17622000.0,17621000.0,17597000.0,17573000.0,17540000.0
DilutedEPS,-0.2,-0.07,-0.1,0.84,-0.16
BasicEPS,-0.2,-0.07,-0.1,0.87,-0.16
DilutedNIAvailtoComStockholders,-3762000.0,-1315000.0,-1739000.0,15470000.0,-2781000.0
AverageDilutionEarnings,,0.0,,125000.0,
NetIncomeCommonStockholders,-3386000.0,-1315000.0,-1739000.0,15345000.0,-2781000.0
OtherunderPreferredStockDividend,,27000.0,,161000.0,
PreferredStockDividends,125000.0,125000.0,126000.0,125000.0,125000.0
NetIncome,-3455000.0,-1163000.0,-1613000.0,15631000.0,-2656000.0
MinorityInterests,82000.0,87000.0,17000.0,97000.0,109000.0
NetIncomeIncludingNoncontrollingInterests,-3537000.0,-1250000.0,-1630000.0,15534000.0,-2765000.0
NetIncomeContinuousOperations,-3537000.0,-1250000.0,-1630000.0,15534000.0,-2765000.0
TaxProvision,-1290000.0,-378000.0,-912000.0,6827000.0,-562000.0
PretaxIncome,-4827000.0,-1628000.0,-2542000.0,22361000.0,-3327000.0
OtherIncomeExpense,4474000.0,-1561000.0,-6467000.0,37383000.0,4602000.0
OtherNonOperatingIncomeExpenses,16000.0,-215000.0,200000.0,-2612000.0,-1061000.0
SpecialIncomeCharges,-350000.0,-1545000.0,-6729000.0,39742000.0,5003000.0
GainOnSaleOfPPE,-350000.0,-1545000.0,-8998000.0,39742000.0,5003000.0
OtherSpecialCharges,0.0,,-2269000.0,,
EarningsFromEquityInterest,4808000.0,199000.0,62000.0,253000.0,660000.0
NetNonOperatingInterestIncomeExpense,39000.0,-63000.0,1058000.0,-1164000.0,-1039000.0
InterestExpenseNonOperating,77000.0,241000.0,,1172000.0,1038000.0
InterestIncomeNonOperating,116000.0,178000.0,1058000.0,8000.0,-1000.0
OperatingIncome,-9340000.0,-4000.0,2867000.0,-13858000.0,-6890000.0
OperatingExpense,6548000.0,4622000.0,6005000.0,9280000.0,5059000.0
SellingGeneralAndAdministration,6548000.0,4622000.0,6005000.0,9280000.0,5059000.0
GrossProfit,-2792000.0,4618000.0,8872000.0,-4578000.0,-1831000.0
CostOfRevenue,44225000.0,47879000.0,39198000.0,42479000.0,41489000.0
TotalRevenue,41433000.0,52497000.0,48070000.0,37901000.0,39658000.0
OperatingRevenue,40085000.0,51092000.0,46676000.0,36528000.0,38235000.0
