,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-522000.0,-350000.0,3400000.0,-4410018.844221
TaxRateForCalcs,0.174,0.175,0.17,0.19174
NormalizedEBITDA,3115000000.0,2660000000.0,8325000000.0,7029000000.0
TotalUnusualItems,-3000000.0,-2000000.0,20000000.0,-23000000.0
TotalUnusualItemsExcludingGoodwill,-3000000.0,-2000000.0,20000000.0,-23000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,1701000000.0,1369000000.0,5434000000.0,3937000000.0
ReconciledDepreciation,298000000.0,297000000.0,297000000.0,292000000.0
ReconciledCostOfRevenue,1299000000.0,1696000000.0,-798000000.0,2217000000.0
EBITDA,3112000000.0,2658000000.0,8345000000.0,7006000000.0
EBIT,2814000000.0,2361000000.0,8048000000.0,6714000000.0
NetInterestIncome,-225000000.0,-236000000.0,-297000000.0,-346000000.0
InterestExpense,283000000.0,291000000.0,297000000.0,346000000.0
InterestIncome,58000000.0,55000000.0,,
NormalizedIncome,1703478000.0,1370650000.0,5417400000.0,3955589981.155779
NetIncomeFromContinuingAndDiscontinuedOperation,1701000000.0,1369000000.0,5434000000.0,3937000000.0
TotalExpenses,1404000000.0,1794000000.0,-681000000.0,2374000000.0
TotalOperatingIncomeAsReported,2755000000.0,2308000000.0,7991000000.0,6711000000.0
DilutedAverageShares,242000000.0,243800000.0,245800000.0,249500000.0
BasicAverageShares,240200000.0,242300000.0,243900000.0,247200000.0
DilutedEPS,7.03,5.61,22.1,15.78
BasicEPS,7.08,5.65,22.28,15.92
DilutedNIAvailtoComStockholders,1701000000.0,1369000000.0,5434000000.0,3937000000.0
NetIncomeCommonStockholders,1701000000.0,1369000000.0,5434000000.0,3937000000.0
NetIncome,1701000000.0,1369000000.0,5434000000.0,3937000000.0
MinorityInterests,-390000000.0,-338000000.0,-1001000000.0,-1210000000.0
NetIncomeIncludingNoncontrollingInterests,2091000000.0,1707000000.0,6435000000.0,5147000000.0
NetIncomeContinuousOperations,2091000000.0,1707000000.0,6435000000.0,5147000000.0
TaxProvision,440000000.0,363000000.0,1316000000.0,1221000000.0
PretaxIncome,2531000000.0,2070000000.0,7751000000.0,6368000000.0
OtherIncomeExpense,1000000.0,-2000000.0,57000000.0,3000000.0
OtherNonOperatingIncomeExpenses,4000000.0,,37000000.0,26000000.0
SpecialIncomeCharges,-3000000.0,-2000000.0,20000000.0,-23000000.0
OtherSpecialCharges,3000000.0,2000000.0,-20000000.0,23000000.0
GainOnSaleOfSecurity,,,,0.0
NetNonOperatingInterestIncomeExpense,-225000000.0,-236000000.0,-297000000.0,-346000000.0
InterestExpenseNonOperating,283000000.0,291000000.0,297000000.0,346000000.0
InterestIncomeNonOperating,58000000.0,55000000.0,,
OperatingIncome,2755000000.0,2308000000.0,7991000000.0,6711000000.0
OperatingExpense,105000000.0,98000000.0,117000000.0,157000000.0
OtherOperatingExpenses,3000000.0,11000000.0,,2000000.0
SellingGeneralAndAdministration,102000000.0,87000000.0,117000000.0,139000000.0
GeneralAndAdministrativeExpense,,,117000000.0,
OtherGandA,,,117000000.0,
GrossProfit,2860000000.0,2406000000.0,8108000000.0,6868000000.0
CostOfRevenue,1299000000.0,1696000000.0,-798000000.0,2217000000.0
TotalRevenue,4159000000.0,4102000000.0,7310000000.0,9085000000.0
OperatingRevenue,4008000000.0,3952000000.0,7125000000.0,8832000000.0
