,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-6058000.0,-4472000.0,-1251072.961373,-6816298.342541
TaxRateForCalcs,0.233,0.086,0.113734,0.22721
NormalizedEBITDA,1160000000.0,1349000000.0,1183000000.0,1695000000.0
TotalUnusualItems,-26000000.0,-52000000.0,-11000000.0,-30000000.0
TotalUnusualItemsExcludingGoodwill,-26000000.0,-52000000.0,-11000000.0,-30000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,664000000.0,958000000.0,787000000.0,1078000000.0
ReconciledDepreciation,157000000.0,159000000.0,161000000.0,148000000.0
ReconciledCostOfRevenue,74146000000.0,71461000000.0,65844000000.0,67316000000.0
EBITDA,1134000000.0,1297000000.0,1172000000.0,1665000000.0
EBIT,977000000.0,1138000000.0,1011000000.0,1517000000.0
NetInterestIncome,-61000000.0,-47000000.0,28000000.0,-69000000.0
InterestExpense,61000000.0,47000000.0,79000000.0,69000000.0
NormalizedIncome,683942000.0,1005528000.0,796748927.038627,1101183701.657459
NetIncomeFromContinuingAndDiscontinuedOperation,664000000.0,958000000.0,787000000.0,1079000000.0
TotalExpenses,76238000000.0,73331000000.0,67808000000.0,69219000000.0
TotalOperatingIncomeAsReported,951000000.0,1100000000.0,980000000.0,1241000000.0
DilutedAverageShares,134800000.0,136600000.0,138000000.0,141000000.0
BasicAverageShares,134100000.0,135500000.0,136900000.0,139900000.0
DilutedEPS,4.92,7.02,5.71,7.66
BasicEPS,4.95,7.07,5.75,7.71
DilutedNIAvailtoComStockholders,664000000.0,958000000.0,787000000.0,1079000000.0
NetIncomeCommonStockholders,664000000.0,958000000.0,787000000.0,1079000000.0
NetIncome,664000000.0,958000000.0,787000000.0,1079000000.0
MinorityInterests,-39000000.0,-39000000.0,-39000000.0,-41000000.0
NetIncomeIncludingNoncontrollingInterests,703000000.0,997000000.0,826000000.0,1120000000.0
NetIncomeDiscontinuousOperations,0.0,0.0,0.0,1000000.0
NetIncomeContinuousOperations,703000000.0,997000000.0,826000000.0,1119000000.0
TaxProvision,213000000.0,94000000.0,106000000.0,329000000.0
PretaxIncome,916000000.0,1091000000.0,932000000.0,1448000000.0
OtherIncomeExpense,,-14000000.0,-198000000.0,246000000.0
OtherNonOperatingIncomeExpenses,26000000.0,38000000.0,-187000000.0,276000000.0
SpecialIncomeCharges,-26000000.0,-52000000.0,-122000000.0,-30000000.0
OtherSpecialCharges,-2000000.0,,-3000000.0,-1000000.0
ImpairmentOfCapitalAssets,0.0,28000000.0,-13000000.0,2000000.0
RestructuringAndMergernAcquisition,28000000.0,24000000.0,138000000.0,29000000.0
NetNonOperatingInterestIncomeExpense,-61000000.0,-47000000.0,28000000.0,-69000000.0
InterestExpenseNonOperating,61000000.0,47000000.0,79000000.0,69000000.0
OperatingIncome,977000000.0,1152000000.0,1102000000.0,1271000000.0
OperatingExpense,2092000000.0,1870000000.0,1964000000.0,1903000000.0
SellingGeneralAndAdministration,2092000000.0,1870000000.0,1964000000.0,1903000000.0
GrossProfit,3069000000.0,3022000000.0,3066000000.0,3174000000.0
CostOfRevenue,74146000000.0,71461000000.0,65844000000.0,67316000000.0
TotalRevenue,77215000000.0,74483000000.0,68910000000.0,70490000000.0
OperatingRevenue,77215000000.0,74483000000.0,68910000000.0,70490000000.0
