,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.129,0.226,0.251,0.181745
NormalizedEBITDA,28921000.0,42074000.0,56484000.0,35590000.0
NetIncomeFromContinuingOperationNetMinorityInterest,23131000.0,30280000.0,39968000.0,26518000.0
ReconciledDepreciation,3412000.0,3368000.0,2974000.0,2954000.0
ReconciledCostOfRevenue,58492000.0,85473000.0,102593000.0,103648000.0
EBITDA,28921000.0,42074000.0,56484000.0,35590000.0
EBIT,25509000.0,38706000.0,53510000.0,32636000.0
NetInterestIncome,1033000.0,462000.0,-181000.0,-182000.0
InterestExpense,,,181000.0,
NormalizedIncome,23131000.0,30280000.0,39968000.0,26518000.0
NetIncomeFromContinuingAndDiscontinuedOperation,23131000.0,30280000.0,39968000.0,26518000.0
TotalExpenses,210360000.0,257482000.0,295472000.0,304646000.0
TotalOperatingIncomeAsReported,25509000.0,38706000.0,53511000.0,32599000.0
DilutedAverageShares,10933000.0,10917000.0,10899000.0,
BasicAverageShares,10892000.0,10888000.0,10864000.0,
DilutedEPS,2.12,2.77,3.67,
BasicEPS,2.12,2.78,3.68,
DilutedNIAvailtoComStockholders,23131000.0,30280000.0,39968000.0,26518000.0
NetIncomeCommonStockholders,23131000.0,30280000.0,39968000.0,26518000.0
NetIncome,23131000.0,30280000.0,39968000.0,26518000.0
NetIncomeIncludingNoncontrollingInterests,23131000.0,30280000.0,39968000.0,26518000.0
NetIncomeContinuousOperations,23131000.0,30280000.0,39968000.0,26518000.0
TaxProvision,3418000.0,8837000.0,13361000.0,5890000.0
PretaxIncome,26549000.0,39117000.0,53329000.0,32408000.0
OtherIncomeExpense,7000.0,-51000.0,-1000.0,-9000.0
OtherNonOperatingIncomeExpenses,7000.0,-51000.0,-1000.0,-9000.0
NetNonOperatingInterestIncomeExpense,1033000.0,462000.0,-181000.0,-182000.0
TotalOtherFinanceCost,-1033000.0,-462000.0,181000.0,
InterestExpenseNonOperating,,,181000.0,
OperatingIncome,25509000.0,38706000.0,53511000.0,32599000.0
OperatingExpense,151868000.0,172009000.0,192879000.0,200998000.0
SellingGeneralAndAdministration,151868000.0,172009000.0,192879000.0,200998000.0
GrossProfit,177377000.0,210715000.0,246390000.0,233597000.0
CostOfRevenue,58492000.0,85473000.0,102593000.0,103648000.0
TotalRevenue,235869000.0,296188000.0,348983000.0,337245000.0
OperatingRevenue,235869000.0,296188000.0,348983000.0,337245000.0
