,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,-3777366.7093
TaxRateForCalcs,0.219,0.24,0.242,0.205829
NormalizedEBITDA,175631000.0,154256000.0,138323000.0,186459000.0
TotalUnusualItems,,,,-18352000.0
TotalUnusualItemsExcludingGoodwill,,,,-18352000.0
NetIncomeFromContinuingOperationNetMinorityInterest,139016000.0,118001000.0,103066000.0,130395000.0
ReconciledDepreciation,3500000.0,3597000.0,3737000.0,3715000.0
ReconciledCostOfRevenue,764638000.0,755829000.0,765904000.0,924117000.0
EBITDA,175631000.0,154256000.0,138323000.0,168107000.0
EBIT,172131000.0,150659000.0,134586000.0,164392000.0
NetInterestIncome,5834000.0,4670000.0,1389000.0,-185000.0
NormalizedIncome,139016000.0,118001000.0,103066000.0,144969633.2907
NetIncomeFromContinuingAndDiscontinuedOperation,139016000.0,118001000.0,103066000.0,130395000.0
TotalExpenses,874240000.0,863354000.0,865944000.0,1034262000.0
DilutedAverageShares,28837000.0,28624000.0,28305000.0,28017000.0
BasicAverageShares,27909000.0,27792000.0,27602000.0,27435000.0
DilutedEPS,4.82,4.12,3.64,4.65
BasicEPS,4.98,4.25,3.73,4.75
DilutedNIAvailtoComStockholders,139016000.0,118001000.0,103066000.0,130395000.0
NetIncomeCommonStockholders,139016000.0,118001000.0,103066000.0,130395000.0
NetIncome,139016000.0,118001000.0,103066000.0,130395000.0
NetIncomeIncludingNoncontrollingInterests,139016000.0,118001000.0,103066000.0,130395000.0
NetIncomeContinuousOperations,139016000.0,118001000.0,103066000.0,130395000.0
TaxProvision,38948000.0,37356000.0,32916000.0,33795000.0
PretaxIncome,177964000.0,155357000.0,135982000.0,164190000.0
OtherIncomeExpense,-1000.0,28000.0,7000.0,-18363000.0
OtherNonOperatingIncomeExpenses,-1000.0,28000.0,7000.0,-11000.0
SpecialIncomeCharges,,,,-18352000.0
NetNonOperatingInterestIncomeExpense,5834000.0,4670000.0,1389000.0,-185000.0
TotalOtherFinanceCost,-5834000.0,-4670000.0,-1389000.0,
OperatingIncome,172131000.0,150659000.0,134586000.0,182738000.0
OperatingExpense,109602000.0,107525000.0,100040000.0,110145000.0
SellingGeneralAndAdministration,109602000.0,107525000.0,100040000.0,110145000.0
SellingAndMarketingExpense,53735000.0,51871000.0,49080000.0,57580000.0
GeneralAndAdministrativeExpense,55867000.0,55654000.0,50960000.0,52565000.0
OtherGandA,55867000.0,55654000.0,50960000.0,52565000.0
GrossProfit,281733000.0,258184000.0,234626000.0,292883000.0
CostOfRevenue,764638000.0,755829000.0,765904000.0,924117000.0
TotalRevenue,1046371000.0,1014013000.0,1000530000.0,1217000000.0
OperatingRevenue,1046371000.0,1014013000.0,1000530000.0,1217000000.0
