,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.195399,0.199209,0.247214,0.222618
NormalizedEBITDA,135143000000.0,123991000000.0,164284000000.0,147332000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,62394000000.0,57834000000.0,74565000000.0,64518000000.0
ReconciledDepreciation,48875000000.0,45864000000.0,59441000000.0,54558000000.0
ReconciledCostOfRevenue,934149000000.0,867274000000.0,1014227000000.0,871699000000.0
EBITDA,135143000000.0,123991000000.0,164284000000.0,147332000000.0
EBIT,86268000000.0,78127000000.0,104843000000.0,92774000000.0
NetInterestIncome,1023000000.0,8599000000.0,-217000000.0,-2679000000.0
InterestExpense,3366000000.0,1243000000.0,1734000000.0,6815000000.0
InterestIncome,4389000000.0,9842000000.0,1517000000.0,4136000000.0
NormalizedIncome,62394000000.0,57834000000.0,74565000000.0,64518000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,62394000000.0,57834000000.0,74565000000.0,64518000000.0
TotalExpenses,1243337000000.0,1159295000000.0,1339330000000.0,1142948000000.0
TotalOperatingIncomeAsReported,74834000000.0,61005000000.0,99127000000.0,82722000000.0
DilutedAverageShares,1051346828.0,1054947012.0,,1055707458.0
BasicAverageShares,1051346828.0,1054947012.0,,1055707458.0
DilutedEPS,59.34,54.82,,61.12
BasicEPS,59.34,54.82,,61.12
DilutedNIAvailtoComStockholders,62394000000.0,57834000000.0,74565000000.0,64518000000.0
NetIncomeCommonStockholders,62394000000.0,57834000000.0,74565000000.0,64518000000.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
NetIncome,62394000000.0,57834000000.0,74565000000.0,64518000000.0
MinorityInterests,-4309000000.0,-3734000000.0,-3054000000.0,-2305000000.0
NetIncomeIncludingNoncontrollingInterests,66703000000.0,61568000000.0,77619000000.0,66823000000.0
NetIncomeContinuousOperations,66703000000.0,61568000000.0,77619000000.0,66823000000.0
TaxProvision,16199000000.0,15316000000.0,25490000000.0,19136000000.0
PretaxIncome,82902000000.0,76884000000.0,103109000000.0,85959000000.0
NetNonOperatingInterestIncomeExpense,1023000000.0,8599000000.0,-217000000.0,-2679000000.0
InterestExpenseNonOperating,3366000000.0,1243000000.0,1734000000.0,6815000000.0
InterestIncomeNonOperating,4389000000.0,9842000000.0,1517000000.0,4136000000.0
OperatingIncome,74834000000.0,61005000000.0,99127000000.0,82722000000.0
OperatingExpense,309188000000.0,292021000000.0,325103000000.0,271249000000.0
OtherOperatingExpenses,-282000000.0,1522000000.0,2722000000.0,-3443000000.0
SellingGeneralAndAdministration,309470000000.0,290499000000.0,322381000000.0,274692000000.0
GeneralAndAdministrativeExpense,309470000000.0,290499000000.0,322381000000.0,274692000000.0
GrossProfit,384022000000.0,353026000000.0,424230000000.0,353971000000.0
CostOfRevenue,934149000000.0,867274000000.0,1014227000000.0,871699000000.0
TotalRevenue,1318171000000.0,1220300000000.0,1438457000000.0,1225670000000.0
OperatingRevenue,1318171000000.0,1220300000000.0,1438457000000.0,1225670000000.0
