,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.0,0.0,0.0
NormalizedEBITDA,-1141185.0,-3295035.0,-2959138.0,-3226904.0
NetIncomeFromContinuingOperationNetMinorityInterest,-723107.0,-2871820.0,-2917504.0,-3001484.0
ReconciledDepreciation,5703.0,4995.0,4105.0,4331.0
EBITDA,-1141185.0,-3295035.0,-2959138.0,-3226904.0
EBIT,-1146888.0,-3300030.0,-2963243.0,-3231235.0
NetInterestIncome,437934.0,451420.0,509046.0,427304.0
InterestIncome,437934.0,451420.0,509046.0,427304.0
NormalizedIncome,-723107.0,-2871820.0,-2917504.0,-3001484.0
NetIncomeFromContinuingAndDiscontinuedOperation,-723107.0,-2871820.0,-2917504.0,-3001484.0
TotalExpenses,2146888.0,3300030.0,2963243.0,3231235.0
TotalOperatingIncomeAsReported,-1146888.0,-3300030.0,-2963243.0,-3231235.0
DilutedAverageShares,49046246.0,49046246.0,49046246.0,
BasicAverageShares,49046246.0,49046246.0,49046246.0,
DilutedEPS,-0.01,-0.06,-0.06,
BasicEPS,-0.01,-0.06,-0.06,
DilutedNIAvailtoComStockholders,-723107.0,-2871820.0,-2917504.0,-3001484.0
NetIncomeCommonStockholders,-723107.0,-2871820.0,-2917504.0,-3001484.0
NetIncome,-723107.0,-2871820.0,-2917504.0,-3001484.0
NetIncomeIncludingNoncontrollingInterests,-723107.0,-2871820.0,-2917504.0,-3001484.0
NetIncomeContinuousOperations,-723107.0,-2871820.0,-2917504.0,-3001484.0
PretaxIncome,-723107.0,-2871820.0,-2917504.0,-2998662.0
OtherIncomeExpense,-14153.0,-23210.0,-463307.0,-194731.0
OtherNonOperatingIncomeExpenses,-14153.0,-23210.0,-463307.0,-194731.0
NetNonOperatingInterestIncomeExpense,437934.0,451420.0,509046.0,427304.0
InterestIncomeNonOperating,437934.0,451420.0,509046.0,427304.0
OperatingIncome,-1146888.0,-3300030.0,-2963243.0,-3231235.0
OperatingExpense,2146888.0,3300030.0,2963243.0,3231235.0
ResearchAndDevelopment,794706.0,1735735.0,1476676.0,2012624.0
SellingGeneralAndAdministration,1352182.0,1564295.0,1486567.0,1218611.0
GeneralAndAdministrativeExpense,1352182.0,1564295.0,1486567.0,1218611.0
OtherGandA,1352182.0,1564295.0,1486567.0,1218611.0
TotalRevenue,1000000.0,0.0,0.0,0.0
OperatingRevenue,1000000.0,0.0,0.0,0.0
