,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.238431,0.20434,0.232,0.229428
NormalizedEBITDA,141723000000.0,105356000000.0,76365000000.0,103493000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,75055000000.0,50098000000.0,41867000000.0,51467000000.0
ReconciledDepreciation,42914000000.0,42064000000.0,41242000000.0,36766000000.0
ReconciledCostOfRevenue,263187000000.0,223980000000.0,230197000000.0,240899000000.0
EBITDA,141723000000.0,105356000000.0,76365000000.0,103493000000.0
EBIT,98809000000.0,63292000000.0,35123000000.0,66727000000.0
NetInterestIncome,9646000000.0,12657000000.0,3288000000.0,1421000000.0
InterestExpense,353000000.0,524000000.0,82000000.0,35000000.0
InterestIncome,9999000000.0,13181000000.0,3370000000.0,1456000000.0
NormalizedIncome,75055000000.0,50098000000.0,41867000000.0,51467000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,75055000000.0,50098000000.0,41867000000.0,51467000000.0
TotalExpenses,353845000000.0,317583000000.0,321966000000.0,341693000000.0
TotalOperatingIncomeAsReported,88811000000.0,50111000000.0,25628000000.0,77285000000.0
DilutedAverageShares,11335414320.0,3778329900.0,,3778267314.0
BasicAverageShares,11335414320.0,3778329900.0,,3778267314.0
DilutedEPS,6.621478,13.26,,13.621667
BasicEPS,6.621667,13.26,,13.621667
DilutedNIAvailtoComStockholders,75055000000.0,50098000000.0,41867000000.0,51467000000.0
NetIncomeCommonStockholders,75055000000.0,50098000000.0,41867000000.0,51467000000.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
NetIncome,75055000000.0,50098000000.0,41867000000.0,51467000000.0
MinorityInterests,74000000.0,156000000.0,58000000.0,76000000.0
NetIncomeIncludingNoncontrollingInterests,74981000000.0,49942000000.0,41809000000.0,51391000000.0
NetIncomeContinuousOperations,74981000000.0,49942000000.0,41809000000.0,51391000000.0
TaxProvision,23475000000.0,12826000000.0,-6768000000.0,15301000000.0
PretaxIncome,98456000000.0,62768000000.0,35041000000.0,66692000000.0
OtherNonOperatingIncomeExpenses,,,7891000000.0,1379000000.0
NetNonOperatingInterestIncomeExpense,9646000000.0,12657000000.0,3288000000.0,1421000000.0
TotalOtherFinanceCost,-9646000000.0,,,
InterestExpenseNonOperating,353000000.0,524000000.0,82000000.0,35000000.0
InterestIncomeNonOperating,9999000000.0,13181000000.0,3370000000.0,1456000000.0
OperatingIncome,88811000000.0,50111000000.0,25628000000.0,77285000000.0
OperatingExpense,90658000000.0,93603000000.0,91769000000.0,100794000000.0
OtherOperatingExpenses,1184000000.0,1125000000.0,,
ResearchAndDevelopment,33606000000.0,32731000000.0,31812000000.0,30263000000.0
SellingGeneralAndAdministration,58452000000.0,61088000000.0,59957000000.0,70531000000.0
GeneralAndAdministrativeExpense,58452000000.0,61088000000.0,59957000000.0,70531000000.0
GrossProfit,179469000000.0,143714000000.0,117397000000.0,178079000000.0
CostOfRevenue,263187000000.0,223980000000.0,230197000000.0,240899000000.0
TotalRevenue,442656000000.0,367694000000.0,347594000000.0,418978000000.0
OperatingRevenue,442656000000.0,367694000000.0,347594000000.0,418978000000.0
