,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,-816534.554234
TaxRateForCalcs,0.39,0.251,0.24,0.251241
TotalUnusualItems,0.0,0.0,0.0,-3250000.0
TotalUnusualItemsExcludingGoodwill,0.0,0.0,0.0,-3250000.0
NetIncomeFromContinuingOperationNetMinorityInterest,18042000.0,21575000.0,21772000.0,32872000.0
ReconciledDepreciation,3363000.0,2926000.0,3008000.0,3060000.0
NetInterestIncome,58596000.0,58840000.0,60504000.0,63550000.0
InterestExpense,44989000.0,41651000.0,35035000.0,26665000.0
InterestIncome,103585000.0,100491000.0,95539000.0,90215000.0
NormalizedIncome,18042000.0,21575000.0,21772000.0,35305465.445766
NetIncomeFromContinuingAndDiscontinuedOperation,18042000.0,21575000.0,21772000.0,32872000.0
DilutedAverageShares,21977196.0,22205079.0,22501970.0,
BasicAverageShares,21970372.0,22200917.0,22478808.0,
DilutedEPS,0.71,0.86,0.86,
BasicEPS,0.71,0.86,0.86,
DilutedNIAvailtoComStockholders,15632000.0,19118000.0,19544000.0,29337000.0
AverageDilutionEarnings,0.0,0.0,,1000.0
NetIncomeCommonStockholders,15632000.0,19118000.0,19544000.0,29336000.0
OtherunderPreferredStockDividend,181000.0,229000.0,,367000.0
PreferredStockDividends,2229000.0,2228000.0,2228000.0,
NetIncome,18042000.0,21575000.0,21772000.0,32872000.0
NetIncomeIncludingNoncontrollingInterests,18042000.0,21575000.0,21772000.0,32872000.0
NetIncomeContinuousOperations,18042000.0,21575000.0,21772000.0,32872000.0
TaxProvision,11533000.0,7245000.0,6894000.0,11030000.0
PretaxIncome,29575000.0,28820000.0,28666000.0,43902000.0
SpecialIncomeCharges,0.0,0.0,0.0,-3250000.0
WriteOff,0.0,0.0,0.0,0.0
GainOnSaleOfSecurity,-4961000.0,-869000.0,-648000.0,17531000.0
DepreciationAmortizationDepletionIncomeStatement,1129000.0,1208000.0,1291000.0,1333000.0
DepreciationAndAmortizationInIncomeStatement,1129000.0,1208000.0,1291000.0,1333000.0
Amortization,1129000.0,1208000.0,1291000.0,1333000.0
AmortizationOfIntangiblesIncomeStatement,1129000.0,1208000.0,1291000.0,1333000.0
SellingGeneralAndAdministration,24364000.0,24723000.0,26275000.0,3790000.0
SellingAndMarketingExpense,950000.0,670000.0,703000.0,871000.0
GeneralAndAdministrativeExpense,23414000.0,24053000.0,25572000.0,2919000.0
InsuranceAndClaims,1107000.0,1196000.0,1329000.0,
SalariesAndWages,22307000.0,22857000.0,24243000.0,22901000.0
TotalRevenue,75915000.0,76173000.0,75465000.0,92803000.0
OperatingRevenue,75915000.0,76173000.0,75465000.0,92803000.0
