,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-20700000.0,20855987.382214,30780000.0,-44080000.0
TaxRateForCalcs,0.18,0.187892,0.19,0.19
NormalizedEBITDA,31845000000.0,28972000000.0,26556000000.0,24709000000.0
TotalUnusualItems,-115000000.0,111000000.0,162000000.0,-232000000.0
TotalUnusualItemsExcludingGoodwill,-115000000.0,111000000.0,162000000.0,-232000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,22291000000.0,20081000000.0,18299000000.0,16425000000.0
ReconciledDepreciation,3921000000.0,3874000000.0,3549000000.0,3648000000.0
ReconciledCostOfRevenue,16302000000.0,16795000000.0,16128000000.0,17488000000.0
EBITDA,31730000000.0,29083000000.0,26718000000.0,24477000000.0
EBIT,27809000000.0,25209000000.0,23169000000.0,20829000000.0
NetInterestIncome,641000000.0,423000000.0,252000000.0,210000000.0
InterestExpense,525000000.0,482000000.0,496000000.0,490000000.0
InterestIncome,1166000000.0,905000000.0,748000000.0,700000000.0
NormalizedIncome,22385300000.0,19990855987.382214,18167780000.0,16612920000.0
NetIncomeFromContinuingAndDiscontinuedOperation,22291000000.0,20081000000.0,18299000000.0,16425000000.0
TotalExpenses,29622000000.0,31935000000.0,30505000000.0,32348000000.0
TotalOperatingIncomeAsReported,26895000000.0,24254000000.0,22352000000.0,20399000000.0
DilutedAverageShares,7462000000.0,7467000000.0,7464000000.0,7473000000.0
BasicAverageShares,7429000000.0,7434000000.0,7441000000.0,7451000000.0
DilutedEPS,2.99,2.69,2.45,2.2
BasicEPS,3.0,2.7,2.46,2.2
DilutedNIAvailtoComStockholders,22291000000.0,20081000000.0,18299000000.0,16425000000.0
NetIncomeCommonStockholders,22291000000.0,20081000000.0,18299000000.0,16425000000.0
NetIncome,22291000000.0,20081000000.0,18299000000.0,16425000000.0
NetIncomeIncludingNoncontrollingInterests,22291000000.0,20081000000.0,18299000000.0,16425000000.0
NetIncomeContinuousOperations,22291000000.0,20081000000.0,18299000000.0,16425000000.0
TaxProvision,4993000000.0,4646000000.0,4374000000.0,3914000000.0
PretaxIncome,27284000000.0,24727000000.0,22673000000.0,20339000000.0
OtherIncomeExpense,-252000000.0,50000000.0,69000000.0,-270000000.0
OtherNonOperatingIncomeExpenses,-137000000.0,-61000000.0,-93000000.0,-38000000.0
GainOnSaleOfSecurity,-115000000.0,141000000.0,162000000.0,-232000000.0
NetNonOperatingInterestIncomeExpense,641000000.0,423000000.0,252000000.0,210000000.0
InterestExpenseNonOperating,525000000.0,482000000.0,496000000.0,490000000.0
InterestIncomeNonOperating,1166000000.0,905000000.0,748000000.0,700000000.0
OperatingIncome,26895000000.0,24254000000.0,22352000000.0,20399000000.0
OperatingExpense,13320000000.0,15140000000.0,14377000000.0,14860000000.0
ResearchAndDevelopment,6659000000.0,6739000000.0,6984000000.0,6844000000.0
SellingGeneralAndAdministration,6661000000.0,8401000000.0,7393000000.0,8016000000.0
SellingAndMarketingExpense,5187000000.0,6204000000.0,5750000000.0,5679000000.0
GeneralAndAdministrativeExpense,1474000000.0,2197000000.0,1643000000.0,2337000000.0
OtherGandA,1474000000.0,2197000000.0,1643000000.0,2337000000.0
GrossProfit,40215000000.0,39394000000.0,36729000000.0,35259000000.0
CostOfRevenue,16302000000.0,16795000000.0,16128000000.0,17488000000.0
TotalRevenue,56517000000.0,56189000000.0,52857000000.0,52747000000.0
OperatingRevenue,56517000000.0,56189000000.0,52857000000.0,52747000000.0
