,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,-14060.173767
TaxRateForCalcs,0.22,0.212,0.21,0.203771
TotalUnusualItems,0.0,0.0,0.0,-69000.0
TotalUnusualItemsExcludingGoodwill,0.0,0.0,0.0,-69000.0
NetIncomeFromContinuingOperationNetMinorityInterest,182844000.0,191054000.0,154547000.0,191443000.0
ReconciledDepreciation,9632000.0,9180000.0,10192000.0,11426000.0
EBIT,243650000.0,251759000.0,204978000.0,249818000.0
NetInterestIncome,-9254000.0,-9377000.0,-9374000.0,-9381000.0
InterestExpense,9254000.0,9377000.0,9374000.0,9381000.0
NormalizedIncome,182844000.0,191054000.0,154547000.0,191497939.826233
NetIncomeFromContinuingAndDiscontinuedOperation,182844000.0,191054000.0,154547000.0,191443000.0
TotalExpenses,62109000.0,48293000.0,88361000.0,51817000.0
DilutedAverageShares,285600000.0,289566000.0,294712000.0,299954000.0
BasicAverageShares,281757000.0,285906000.0,290989000.0,296206000.0
DilutedEPS,0.64,0.66,0.53,0.64
BasicEPS,0.65,0.67,0.53,0.646317
DilutedNIAvailtoComStockholders,183120000.0,191429000.0,154922000.0,191820000.0
AverageDilutionEarnings,276000.0,375000.0,375000.0,377000.0
NetIncomeCommonStockholders,182844000.0,191054000.0,154547000.0,191443000.0
NetIncome,182844000.0,191054000.0,154547000.0,191443000.0
NetIncomeIncludingNoncontrollingInterests,182844000.0,191054000.0,154547000.0,191443000.0
NetIncomeContinuousOperations,182844000.0,191054000.0,154547000.0,191443000.0
TaxProvision,51552000.0,51328000.0,41057000.0,48994000.0
PretaxIncome,234396000.0,242382000.0,195604000.0,240437000.0
OtherIncomeExpense,548000.0,511000.0,425000.0,496000.0
SpecialIncomeCharges,0.0,0.0,0.0,-69000.0
OtherSpecialCharges,,,,69000.0
NetNonOperatingInterestIncomeExpense,-9254000.0,-9377000.0,-9374000.0,-9381000.0
InterestExpenseNonOperating,9254000.0,9377000.0,9374000.0,9381000.0
TotalRevenue,296505000.0,290675000.0,283965000.0,292254000.0
OperatingRevenue,296505000.0,290675000.0,283965000.0,292254000.0
