,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31
TaxEffectOfUnusualItems,-25248.0,1618587.052208,-12264462.0,1934646.168657,-1120608.0
TaxRateForCalcs,0.263,0.297097,0.266,0.264188,0.288
NormalizedEBITDA,-140653000.0,-87959000.0,621798000.0,396187000.0,-97759000.0
TotalUnusualItems,-96000.0,5448000.0,-46107000.0,7323000.0,-3891000.0
TotalUnusualItemsExcludingGoodwill,-96000.0,5448000.0,-46107000.0,7323000.0,-3891000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-175512000.0,-128566000.0,325006000.0,208679000.0,-136971000.0
ReconciledDepreciation,66728000.0,68801000.0,69097000.0,65989000.0,64614000.0
ReconciledCostOfRevenue,292052000.0,272660000.0,527867000.0,588957000.0,278753000.0
EBITDA,-140749000.0,-82511000.0,575691000.0,403510000.0,-101650000.0
EBIT,-207477000.0,-151312000.0,506594000.0,337521000.0,-166264000.0
NetInterestIncome,-40730000.0,-40211000.0,-39139000.0,-38370000.0,-35302000.0
InterestExpense,40730000.0,40211000.0,39139000.0,38370000.0,35302000.0
NormalizedIncome,-175441248.0,-132395412.947792,358848538.0,203290646.168657,-134200608.0
NetIncomeFromContinuingAndDiscontinuedOperation,-175512000.0,-128566000.0,325006000.0,208679000.0,-136971000.0
TotalExpenses,466805000.0,426651000.0,685824000.0,771562000.0,442166000.0
TotalOperatingIncomeAsReported,-207055000.0,-160101000.0,500526000.0,328033000.0,-163361000.0
DilutedAverageShares,38117000.0,,39620000.0,40434000.0,40298000.0
BasicAverageShares,38117000.0,,39620000.0,40327000.0,40296000.0
DilutedEPS,-4.6,,8.18,5.16,-3.4
BasicEPS,-4.6,,8.2,5.17,-3.4
DilutedNIAvailtoComStockholders,-175512000.0,-128566000.0,325006000.0,208679000.0,-136971000.0
NetIncomeCommonStockholders,-175512000.0,-128566000.0,325006000.0,208679000.0,-136971000.0
NetIncome,-175512000.0,-128566000.0,325006000.0,208679000.0,-136971000.0
MinorityInterests,7535000.0,6056000.0,-18160000.0,-11440000.0,6589000.0
NetIncomeIncludingNoncontrollingInterests,-183047000.0,-134622000.0,343166000.0,220119000.0,-143560000.0
NetIncomeContinuousOperations,-183047000.0,-134622000.0,343166000.0,220119000.0,-143560000.0
TaxProvision,-65160000.0,-56901000.0,124289000.0,79032000.0,-58006000.0
PretaxIncome,-248207000.0,-191523000.0,467455000.0,299151000.0,-201566000.0
OtherIncomeExpense,763000.0,5571000.0,-46013000.0,7365000.0,-3545000.0
SpecialIncomeCharges,-5100000.0,-3215000.0,-52169000.0,-2880000.0,-642000.0
GainOnSaleOfPPE,-2043000.0,-1015000.0,-6269000.0,-1780000.0,-6000.0
RestructuringAndMergernAcquisition,3057000.0,2200000.0,45900000.0,1100000.0,636000.0
EarningsFromEquityInterest,859000.0,123000.0,94000.0,42000.0,346000.0
GainOnSaleOfSecurity,5004000.0,8663000.0,6062000.0,10203000.0,-3249000.0
NetNonOperatingInterestIncomeExpense,-40730000.0,-40211000.0,-39139000.0,-38370000.0,-35302000.0
TotalOtherFinanceCost,,,,,1600000.0
InterestExpenseNonOperating,40730000.0,40211000.0,39139000.0,38370000.0,35302000.0
OperatingIncome,-208240000.0,-156883000.0,552607000.0,330156000.0,-162719000.0
OperatingExpense,174753000.0,153991000.0,157957000.0,182605000.0,163413000.0
DepreciationAmortizationDepletionIncomeStatement,66728000.0,68801000.0,69097000.0,65989000.0,64614000.0
DepreciationAndAmortizationInIncomeStatement,66728000.0,68801000.0,69097000.0,65989000.0,64614000.0
SellingGeneralAndAdministration,108025000.0,85190000.0,88860000.0,116616000.0,98799000.0
GeneralAndAdministrativeExpense,108025000.0,85190000.0,88860000.0,116616000.0,98799000.0
OtherGandA,108025000.0,85190000.0,88860000.0,116616000.0,98799000.0
GrossProfit,-33487000.0,-2892000.0,710564000.0,512761000.0,694000.0
CostOfRevenue,292052000.0,272660000.0,527867000.0,588957000.0,278753000.0
TotalRevenue,258565000.0,269768000.0,1238431000.0,1101718000.0,279447000.0
OperatingRevenue,258565000.0,269768000.0,1238431000.0,1101718000.0,279447000.0
