,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-94157.039522,-989724.431693,-34122.015915,1649760.0
TaxRateForCalcs,0.008526,0.045222,0.014508,0.21
NormalizedEBITDA,-6619000.0,-11695000.0,-29755000.0,-32734000.0
TotalUnusualItems,-11043000.0,-21886000.0,-2352000.0,7856000.0
TotalUnusualItemsExcludingGoodwill,-11043000.0,-21886000.0,-2352000.0,7856000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-18451000.0,-21627000.0,-43076000.0,-37363000.0
ReconciledDepreciation,8506000.0,8517000.0,7263000.0,7366000.0
ReconciledCostOfRevenue,26468000.0,29655000.0,23328000.0,21401000.0
EBITDA,-17662000.0,-33581000.0,-32107000.0,-24878000.0
EBIT,-26168000.0,-42098000.0,-39370000.0,-32244000.0
NetInterestIncome,10331000.0,19577000.0,8464000.0,-2693000.0
InterestExpense,,,,2693000.0
InterestIncome,,19577000.0,,
NormalizedIncome,-7502157.039522,-730724.431693,-40758122.015915,-43569240.0
NetIncomeFromContinuingAndDiscontinuedOperation,-18451000.0,-21627000.0,-43076000.0,-37363000.0
TotalExpenses,64572000.0,76493000.0,74122000.0,68049000.0
TotalOperatingIncomeAsReported,-28840000.0,-43012000.0,-42831000.0,-39182000.0
DilutedAverageShares,47471000.0,47428000.0,47428000.0,
BasicAverageShares,47471000.0,47428000.0,47428000.0,
DilutedEPS,-0.39,-0.46,-0.91,
BasicEPS,-0.39,-0.46,-0.91,
DilutedNIAvailtoComStockholders,-18451000.0,-21627000.0,-43076000.0,-37363000.0
NetIncomeCommonStockholders,-18451000.0,-21627000.0,-43076000.0,-37363000.0
NetIncome,-18451000.0,-21627000.0,-43076000.0,-37363000.0
MinorityInterests,9922000.0,21634000.0,-6666000.0,4719000.0
NetIncomeIncludingNoncontrollingInterests,-28373000.0,-43261000.0,-36410000.0,-42082000.0
NetIncomeContinuousOperations,-28373000.0,-43261000.0,-36410000.0,-42082000.0
TaxProvision,-244000.0,-2049000.0,-536000.0,7145000.0
PretaxIncome,-28617000.0,-45310000.0,-36946000.0,-34937000.0
OtherIncomeExpense,-12780000.0,-22789000.0,-6040000.0,7565000.0
OtherNonOperatingIncomeExpenses,935000.0,11000.0,-227000.0,-918000.0
EarningsFromEquityInterest,-2672000.0,-914000.0,-3461000.0,627000.0
GainOnSaleOfSecurity,-11043000.0,-21886000.0,-2352000.0,7856000.0
NetNonOperatingInterestIncomeExpense,10331000.0,19577000.0,8464000.0,-2693000.0
TotalOtherFinanceCost,-10331000.0,,-8464000.0,
InterestExpenseNonOperating,,,,2693000.0
InterestIncomeNonOperating,,19577000.0,,
OperatingIncome,-26168000.0,-42098000.0,-39370000.0,-39809000.0
OperatingExpense,29923000.0,38630000.0,43813000.0,39521000.0
OtherOperatingExpenses,25878000.0,36271000.0,40090000.0,36181000.0
DepreciationAmortizationDepletionIncomeStatement,325000.0,309000.0,282000.0,239000.0
DepreciationAndAmortizationInIncomeStatement,325000.0,309000.0,282000.0,239000.0
DepreciationIncomeStatement,325000.0,309000.0,282000.0,239000.0
SellingGeneralAndAdministration,3720000.0,2050000.0,3441000.0,3101000.0
GeneralAndAdministrativeExpense,3720000.0,2050000.0,3441000.0,3101000.0
OtherGandA,3720000.0,2050000.0,3441000.0,3101000.0
GrossProfit,3755000.0,-3468000.0,4443000.0,-288000.0
CostOfRevenue,34649000.0,37863000.0,30309000.0,28528000.0
TotalRevenue,38404000.0,34395000.0,34752000.0,28240000.0
OperatingRevenue,38404000.0,34395000.0,34752000.0,28240000.0
