,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.0,0.0,0.0,0.0
NormalizedEBITDA,-12871300.0,-12047200.0,-12215500.0,-3878900.0
NetIncomeFromContinuingOperationNetMinorityInterest,-11251800.0,-10511800.0,-10881600.0,-4809400.0
ReconciledDepreciation,1081400.0,1026200.0,961700.0,919600.0
ReconciledCostOfRevenue,744500.0,1326900.0,950300.0,1500200.0
EBITDA,-12871300.0,-12047200.0,-12215500.0,-3878900.0
EBIT,-13952700.0,-13073400.0,-13177200.0,-4798500.0
NetInterestIncome,2700900.0,2561600.0,2295600.0,1940800.0
InterestExpense,,,,10900.0
InterestIncome,2700900.0,2561600.0,2295600.0,1951700.0
NormalizedIncome,-11251800.0,-10511800.0,-10881600.0,-4809400.0
NetIncomeFromContinuingAndDiscontinuedOperation,-11251800.0,-10511800.0,-10881600.0,-4809400.0
TotalExpenses,21957200.0,22116000.0,21753500.0,19173800.0
TotalOperatingIncomeAsReported,-13952700.0,-13073400.0,-13177200.0,-6750200.0
DilutedAverageShares,103449715.0,103063606.0,102846036.0,102120812.0
BasicAverageShares,103449715.0,103063606.0,102846036.0,102120812.0
DilutedEPS,-0.11,-0.1,-0.11,-0.05
BasicEPS,-0.11,-0.1,-0.11,-0.05
DilutedNIAvailtoComStockholders,-11251800.0,-10511800.0,-10881600.0,-4809400.0
NetIncomeCommonStockholders,-11251800.0,-10511800.0,-10881600.0,-4809400.0
NetIncome,-11251800.0,-10511800.0,-10881600.0,-4809400.0
NetIncomeIncludingNoncontrollingInterests,-11251800.0,-10511800.0,-10881600.0,-4809400.0
NetIncomeContinuousOperations,-11251800.0,-10511800.0,-10881600.0,-4809400.0
PretaxIncome,-11251800.0,-10511800.0,-10881600.0,-4809400.0
NetNonOperatingInterestIncomeExpense,2700900.0,2561600.0,2295600.0,1940800.0
InterestExpenseNonOperating,,,,10900.0
InterestIncomeNonOperating,2700900.0,2561600.0,2295600.0,1951700.0
OperatingIncome,-13952700.0,-13073400.0,-13177200.0,-6750200.0
OperatingExpense,21163800.0,20740300.0,20753700.0,17627300.0
DepreciationAmortizationDepletionIncomeStatement,1032500.0,977400.0,912200.0,873300.0
DepreciationAndAmortizationInIncomeStatement,1032500.0,977400.0,912200.0,873300.0
ResearchAndDevelopment,6264100.0,5664300.0,6046500.0,5728000.0
SellingGeneralAndAdministration,13867200.0,14098600.0,13795000.0,11026000.0
SellingAndMarketingExpense,7046900.0,6436100.0,6296100.0,5376900.0
GeneralAndAdministrativeExpense,6820300.0,7662500.0,7498900.0,5649100.0
OtherGandA,6820300.0,7662500.0,7498900.0,5649100.0
GrossProfit,7211100.0,7666900.0,7576500.0,10877100.0
CostOfRevenue,793400.0,1375700.0,999800.0,1546500.0
TotalRevenue,8004500.0,9042600.0,8576300.0,12423600.0
OperatingRevenue,7742700.0,9042600.0,8576300.0,11405100.0
