,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.308,0.108,0.138,0.297872
NormalizedEBITDA,256000000.0,268000000.0,243000000.0,238000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,114000000.0,155000000.0,126000000.0,104000000.0
ReconciledDepreciation,77000000.0,71000000.0,77000000.0,76000000.0
ReconciledCostOfRevenue,1717000000.0,1636000000.0,1551000000.0,1630000000.0
EBITDA,256000000.0,268000000.0,243000000.0,238000000.0
EBIT,179000000.0,197000000.0,166000000.0,162000000.0
NetInterestIncome,-18000000.0,-13000000.0,-13000000.0,-14000000.0
InterestExpense,23000000.0,21000000.0,21000000.0,21000000.0
InterestIncome,5000000.0,8000000.0,8000000.0,7000000.0
NormalizedIncome,114000000.0,155000000.0,126000000.0,104000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,114000000.0,155000000.0,126000000.0,104000000.0
TotalExpenses,2002000000.0,1912000000.0,1836000000.0,1911000000.0
TotalOperatingIncomeAsReported,183000000.0,181000000.0,126000000.0,162000000.0
DilutedAverageShares,396000000.0,395000000.0,396000000.0,395000000.0
BasicAverageShares,393000000.0,393000000.0,392000000.0,391000000.0
DilutedEPS,0.29,0.39,0.32,0.26
BasicEPS,0.29,0.39,0.32,0.27
DilutedNIAvailtoComStockholders,114000000.0,155000000.0,126000000.0,104000000.0
NetIncomeCommonStockholders,114000000.0,155000000.0,126000000.0,104000000.0
NetIncome,114000000.0,155000000.0,126000000.0,104000000.0
MinorityInterests,6000000.0,-2000000.0,1000000.0,5000000.0
NetIncomeIncludingNoncontrollingInterests,108000000.0,157000000.0,125000000.0,99000000.0
NetIncomeContinuousOperations,108000000.0,157000000.0,125000000.0,99000000.0
TaxProvision,48000000.0,19000000.0,20000000.0,42000000.0
PretaxIncome,156000000.0,176000000.0,145000000.0,141000000.0
OtherIncomeExpense,-9000000.0,8000000.0,32000000.0,-7000000.0
OtherNonOperatingIncomeExpenses,-25000000.0,-29000000.0,-16000000.0,-43000000.0
EarningsFromEquityInterest,16000000.0,37000000.0,48000000.0,36000000.0
NetNonOperatingInterestIncomeExpense,-18000000.0,-13000000.0,-13000000.0,-14000000.0
InterestExpenseNonOperating,23000000.0,21000000.0,21000000.0,21000000.0
InterestIncomeNonOperating,5000000.0,8000000.0,8000000.0,7000000.0
OperatingIncome,183000000.0,181000000.0,126000000.0,162000000.0
OperatingExpense,285000000.0,276000000.0,285000000.0,281000000.0
SellingGeneralAndAdministration,285000000.0,276000000.0,285000000.0,281000000.0
GrossProfit,468000000.0,457000000.0,411000000.0,443000000.0
CostOfRevenue,1717000000.0,1636000000.0,1551000000.0,1630000000.0
TotalRevenue,2185000000.0,2093000000.0,1962000000.0,2073000000.0
OperatingRevenue,2185000000.0,2093000000.0,1962000000.0,2073000000.0
