,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.13496,0.12864,0.144273,0.076329
NormalizedEBITDA,38397000.0,32667000.0,39521000.0,50638000.0
NetIncomeFromContinuingOperationNetMinorityInterest,33689000.0,29926000.0,34627000.0,36098000.0
ReconciledDepreciation,4249000.0,3951000.0,3784000.0,3954000.0
ReconciledCostOfRevenue,56567000.0,53044000.0,54927000.0,72936000.0
EBITDA,38397000.0,32667000.0,39521000.0,50638000.0
EBIT,34148000.0,28716000.0,35737000.0,46684000.0
NetInterestIncome,4797000.0,5628000.0,4728000.0,-1312000.0
InterestIncome,4797000.0,5628000.0,4728000.0,
NormalizedIncome,33689000.0,29926000.0,34627000.0,36098000.0
NetIncomeFromContinuingAndDiscontinuedOperation,33689000.0,29926000.0,34627000.0,36098000.0
TotalExpenses,94660000.0,93986000.0,96456000.0,114314000.0
TotalOperatingIncomeAsReported,34148000.0,28716000.0,35737000.0,36924000.0
DilutedAverageShares,31983000.0,31928000.0,31824000.0,31737000.0
BasicAverageShares,28870000.0,28766000.0,28678000.0,28731000.0
DilutedEPS,1.05,0.94,1.09,1.14
BasicEPS,1.17,1.04,1.21,1.26
DilutedNIAvailtoComStockholders,33689000.0,29926000.0,34627000.0,36098000.0
NetIncomeCommonStockholders,33689000.0,29926000.0,34627000.0,36098000.0
NetIncome,33689000.0,29926000.0,34627000.0,36098000.0
NetIncomeIncludingNoncontrollingInterests,33689000.0,29926000.0,34627000.0,36098000.0
NetIncomeContinuousOperations,33689000.0,29926000.0,34627000.0,36098000.0
TaxProvision,5256000.0,4418000.0,5838000.0,2983000.0
PretaxIncome,38945000.0,34344000.0,40465000.0,39081000.0
NetNonOperatingInterestIncomeExpense,4797000.0,5628000.0,4728000.0,-1312000.0
TotalOtherFinanceCost,,,,6508000.0
InterestIncomeNonOperating,4797000.0,5628000.0,4728000.0,
OperatingIncome,34148000.0,28716000.0,35737000.0,36924000.0
OperatingExpense,38093000.0,40942000.0,41529000.0,41378000.0
ResearchAndDevelopment,21372000.0,22413000.0,22968000.0,26206000.0
SellingGeneralAndAdministration,16721000.0,18529000.0,18561000.0,19742000.0
SellingAndMarketingExpense,12438000.0,12927000.0,13522000.0,14665000.0
GeneralAndAdministrativeExpense,4283000.0,5602000.0,5039000.0,5077000.0
OtherGandA,4283000.0,5602000.0,5039000.0,5077000.0
GrossProfit,72241000.0,69658000.0,77266000.0,78302000.0
CostOfRevenue,56567000.0,53044000.0,54927000.0,72936000.0
TotalRevenue,128808000.0,122702000.0,132193000.0,151238000.0
OperatingRevenue,128808000.0,122702000.0,132193000.0,151238000.0
