,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-2267160.0,-1588440.0,-1714605.0,-478389.999796
TaxRateForCalcs,0.21,0.21,0.151,0.046896
NormalizedEBITDA,36568000.0,42951000.0,38385000.0,75524000.0
TotalUnusualItems,-10796000.0,-7564000.0,-11355000.0,-10201000.0
TotalUnusualItemsExcludingGoodwill,-10796000.0,-7564000.0,-11355000.0,-10201000.0
NetIncomeFromContinuingOperationNetMinorityInterest,18468000.0,35701000.0,17243000.0,46514000.0
ReconciledDepreciation,7180000.0,6731000.0,5996000.0,5746000.0
ReconciledCostOfRevenue,10174000.0,10082000.0,9812000.0,-46461000.0
EBITDA,25772000.0,35387000.0,27030000.0,65323000.0
EBIT,18592000.0,28656000.0,21034000.0,49463000.0
NetInterestIncome,-928000.0,-436000.0,-562000.0,-132000.0
InterestExpense,306000.0,315000.0,344000.0,504000.0
NormalizedIncome,26996840.0,41676560.0,26883395.0,56236610.000204
NetIncomeFromContinuingAndDiscontinuedOperation,18468000.0,35701000.0,17243000.0,46514000.0
TotalExpenses,33067000.0,39335000.0,37190000.0,23318000.0
RentExpenseSupplemental,429000.0,231000.0,326000.0,189000.0
DilutedAverageShares,148283533.0,148209383.0,147552748.0,
BasicAverageShares,148215434.0,148157912.0,147525622.0,
DilutedEPS,0.12455,0.24081,0.11686,
BasicEPS,0.1246,0.24097,0.11688,
DilutedNIAvailtoComStockholders,18468000.0,35701000.0,17243000.0,46514000.0
NetIncomeCommonStockholders,18468000.0,35701000.0,17243000.0,46514000.0
NetIncome,18468000.0,35701000.0,17243000.0,46514000.0
MinorityInterests,-371000.0,-325000.0,-316000.0,-149000.0
NetIncomeIncludingNoncontrollingInterests,18839000.0,36026000.0,17559000.0,46663000.0
NetIncomeContinuousOperations,18839000.0,36026000.0,17559000.0,46663000.0
TaxProvision,-553000.0,-7685000.0,3131000.0,2296000.0
PretaxIncome,18286000.0,28341000.0,20690000.0,48959000.0
OtherIncomeExpense,-11255000.0,-10479000.0,-15310000.0,-18872000.0
OtherNonOperatingIncomeExpenses,-417000.0,-2979000.0,-3358000.0,-7969000.0
SpecialIncomeCharges,-12872000.0,-8825000.0,-11767000.0,-12743000.0
GainOnSaleOfBusiness,,4199000.0,,
RestructuringAndMergernAcquisition,12872000.0,13024000.0,11767000.0,12692000.0
EarningsFromEquityInterest,-42000.0,64000.0,-597000.0,-702000.0
GainOnSaleOfSecurity,2076000.0,1261000.0,412000.0,2542000.0
NetNonOperatingInterestIncomeExpense,-928000.0,-436000.0,-562000.0,-132000.0
TotalOtherFinanceCost,622000.0,121000.0,218000.0,-372000.0
InterestExpenseNonOperating,306000.0,315000.0,344000.0,504000.0
OperatingIncome,30469000.0,39256000.0,36562000.0,67963000.0
OperatingExpense,22893000.0,29253000.0,27378000.0,69779000.0
OtherTaxes,210000.0,172000.0,172000.0,150000.0
DepreciationAmortizationDepletionIncomeStatement,7180000.0,6731000.0,5996000.0,15860000.0
DepreciationAndAmortizationInIncomeStatement,7180000.0,6731000.0,5996000.0,15860000.0
Amortization,5875000.0,5520000.0,4899000.0,14796000.0
AmortizationOfIntangiblesIncomeStatement,5875000.0,5520000.0,4899000.0,14796000.0
DepreciationIncomeStatement,1305000.0,1211000.0,1097000.0,1064000.0
SellingGeneralAndAdministration,15503000.0,22350000.0,21210000.0,53769000.0
SellingAndMarketingExpense,1109000.0,518000.0,413000.0,877000.0
GeneralAndAdministrativeExpense,14394000.0,21832000.0,20797000.0,52892000.0
OtherGandA,8215000.0,7816000.0,6577000.0,6540000.0
InsuranceAndClaims,122000.0,170000.0,265000.0,
RentAndLandingFees,429000.0,231000.0,326000.0,189000.0
SalariesAndWages,5628000.0,13615000.0,13629000.0,
GrossProfit,53362000.0,68509000.0,63940000.0,137742000.0
CostOfRevenue,10174000.0,10082000.0,9812000.0,-46461000.0
TotalRevenue,63536000.0,78591000.0,73752000.0,91281000.0
ExciseTaxes,1358000.0,2493000.0,1066000.0,2399000.0
OperatingRevenue,64894000.0,81084000.0,74818000.0,93680000.0
