,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,-1174600.0,5316160.0,-7548580.0,-5068350.0
TaxRateForCalcs,0.35,0.32,0.26,0.21
NormalizedEBITDA,41171000.0,43469000.0,30813000.0,46070000.0
TotalUnusualItems,-3356000.0,16613000.0,-29033000.0,-24135000.0
TotalUnusualItemsExcludingGoodwill,-3356000.0,16613000.0,-29033000.0,-24135000.0
NetIncomeFromContinuingOperationNetMinorityInterest,10858000.0,25763000.0,-19536000.0,-10102000.0
ReconciledDepreciation,18433000.0,19054000.0,19602000.0,30406000.0
ReconciledCostOfRevenue,35639000.0,43475000.0,43740000.0,45832000.0
EBITDA,37815000.0,60082000.0,1780000.0,21935000.0
EBIT,19382000.0,41028000.0,-17822000.0,-8471000.0
NetInterestIncome,-698000.0,-1754000.0,-6447000.0,-8256000.0
InterestExpense,2781000.0,3174000.0,8652000.0,9597000.0
InterestIncome,2766000.0,2111000.0,3142000.0,2785000.0
NormalizedIncome,13039400.0,14466160.0,1948420.0,8964650.0
NetIncomeFromContinuingAndDiscontinuedOperation,10858000.0,25763000.0,-19536000.0,-10102000.0
TotalExpenses,142849000.0,146203000.0,151325000.0,157713000.0
TotalOperatingIncomeAsReported,17721000.0,39877000.0,-3091000.0,-9893000.0
DilutedAverageShares,52067000.0,52054000.0,45949000.0,45882000.0
BasicAverageShares,46416000.0,46088000.0,45949000.0,45882000.0
DilutedEPS,0.23,0.51,-0.43,-0.22
BasicEPS,0.23,0.56,-0.43,-0.22
DilutedNIAvailtoComStockholders,11887000.0,26792000.0,-19536000.0,-10102000.0
AverageDilutionEarnings,1029000.0,1029000.0,,
NetIncomeCommonStockholders,10858000.0,25763000.0,-19536000.0,-10102000.0
NetIncome,10858000.0,25763000.0,-19536000.0,-10102000.0
NetIncomeIncludingNoncontrollingInterests,10858000.0,25763000.0,-19536000.0,-10102000.0
NetIncomeContinuousOperations,10858000.0,25763000.0,-19536000.0,-10102000.0
TaxProvision,5743000.0,12091000.0,-6938000.0,-7966000.0
PretaxIncome,16601000.0,37854000.0,-26474000.0,-18068000.0
OtherIncomeExpense,-3778000.0,16344000.0,-29043000.0,-24054000.0
OtherNonOperatingIncomeExpenses,-422000.0,-269000.0,-10000.0,81000.0
SpecialIncomeCharges,-3356000.0,16613000.0,-29033000.0,-24135000.0
OtherSpecialCharges,,,16926000.0,
RestructuringAndMergernAcquisition,3356000.0,-16613000.0,12107000.0,24135000.0
NetNonOperatingInterestIncomeExpense,-698000.0,-1754000.0,-6447000.0,-8256000.0
TotalOtherFinanceCost,683000.0,691000.0,937000.0,1444000.0
InterestExpenseNonOperating,2781000.0,3174000.0,8652000.0,9597000.0
InterestIncomeNonOperating,2766000.0,2111000.0,3142000.0,2785000.0
OperatingIncome,21077000.0,23264000.0,9016000.0,14242000.0
OperatingExpense,103099000.0,97996000.0,102305000.0,95797000.0
DepreciationAmortizationDepletionIncomeStatement,14322000.0,14322000.0,14322000.0,14322000.0
DepreciationAndAmortizationInIncomeStatement,14322000.0,14322000.0,14322000.0,14322000.0
Amortization,14322000.0,14322000.0,14322000.0,14322000.0
AmortizationOfIntangiblesIncomeStatement,14322000.0,14322000.0,14322000.0,14322000.0
ResearchAndDevelopment,20830000.0,18824000.0,17140000.0,17505000.0
SellingGeneralAndAdministration,67947000.0,64850000.0,70843000.0,63970000.0
SellingAndMarketingExpense,38261000.0,37462000.0,41579000.0,35996000.0
GeneralAndAdministrativeExpense,29686000.0,27388000.0,29264000.0,27974000.0
OtherGandA,20648000.0,19591000.0,20873000.0,18668000.0
SalariesAndWages,9038000.0,7797000.0,8391000.0,9306000.0
GrossProfit,124176000.0,121260000.0,111321000.0,110039000.0
CostOfRevenue,39750000.0,48207000.0,49020000.0,61916000.0
TotalRevenue,163926000.0,169467000.0,160341000.0,171955000.0
OperatingRevenue,163926000.0,169467000.0,160341000.0,171955000.0
