,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0
TaxRateForCalcs,0.21,0.24327,0.045243,0.392125
NormalizedEBITDA,-97000.0,-68172000.0,-237474000.0,42645000.0
NetIncomeFromContinuingOperationNetMinorityInterest,6733000.0,-34942000.0,-208579000.0,17491000.0
ReconciledDepreciation,4902000.0,5071000.0,6212000.0,19605000.0
ReconciledCostOfRevenue,170998000.0,168740000.0,170926000.0,185028000.0
EBITDA,-97000.0,-68172000.0,-237474000.0,42645000.0
EBIT,-4999000.0,-73243000.0,-243686000.0,23040000.0
NetInterestIncome,26691000.0,24888000.0,24901000.0,22906000.0
InterestExpense,,,,-5734000.0
InterestIncome,,24888000.0,24901000.0,17172000.0
NormalizedIncome,6733000.0,-34942000.0,-208579000.0,17491000.0
NetIncomeFromContinuingAndDiscontinuedOperation,6733000.0,-34942000.0,-208579000.0,17491000.0
TotalExpenses,768202000.0,781268000.0,846267000.0,871341000.0
TotalOperatingIncomeAsReported,-4999000.0,-73243000.0,-243686000.0,5868000.0
DilutedAverageShares,687101000.0,674280000.0,681140000.0,674385000.0
BasicAverageShares,669261000.0,674280000.0,681140000.0,674385000.0
DilutedEPS,0.01,-0.05,-0.31,0.03
BasicEPS,0.01,-0.05,-0.31,0.03
DilutedNIAvailtoComStockholders,6733000.0,-34942000.0,-208579000.0,17491000.0
NetIncomeCommonStockholders,6733000.0,-34942000.0,-208579000.0,17491000.0
NetIncome,6733000.0,-34942000.0,-208579000.0,17491000.0
NetIncomeIncludingNoncontrollingInterests,6733000.0,-34942000.0,-208579000.0,17491000.0
NetIncomeContinuousOperations,6733000.0,-34942000.0,-208579000.0,17491000.0
TaxProvision,10363000.0,-11233000.0,-9884000.0,11283000.0
PretaxIncome,17096000.0,-46175000.0,-218463000.0,28774000.0
OtherIncomeExpense,-4596000.0,2180000.0,322000.0,
OtherNonOperatingIncomeExpenses,-4596000.0,2180000.0,322000.0,
NetNonOperatingInterestIncomeExpense,26691000.0,24888000.0,24901000.0,22906000.0
TotalOtherFinanceCost,-26691000.0,,,
InterestExpenseNonOperating,,,,-5734000.0
InterestIncomeNonOperating,,24888000.0,24901000.0,17172000.0
OperatingIncome,-4999000.0,-73243000.0,-243686000.0,5868000.0
OperatingExpense,597204000.0,612528000.0,675341000.0,686313000.0
ResearchAndDevelopment,264698000.0,269391000.0,266346000.0,265240000.0
SellingGeneralAndAdministration,332506000.0,343137000.0,408995000.0,421073000.0
SellingAndMarketingExpense,225929000.0,243239000.0,201131000.0,317270000.0
GeneralAndAdministrativeExpense,106577000.0,99898000.0,207864000.0,103803000.0
OtherGandA,106577000.0,99898000.0,207864000.0,103803000.0
GrossProfit,592205000.0,539285000.0,431655000.0,692181000.0
CostOfRevenue,170998000.0,168740000.0,170926000.0,185028000.0
TotalRevenue,763203000.0,708025000.0,602581000.0,877209000.0
OperatingRevenue,763203000.0,708025000.0,602581000.0,877209000.0
