,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,0.0,-819630.0,0.0,-230999.578158
TaxRateForCalcs,0.21,0.21,0.21,0.109116
TotalUnusualItems,0.0,-3903000.0,0.0,-2117000.0
TotalUnusualItemsExcludingGoodwill,0.0,-3903000.0,0.0,-2117000.0
NetIncomeFromContinuingOperationNetMinorityInterest,3878000.0,3954000.0,25634000.0,38101000.0
ReconciledDepreciation,9383000.0,9458000.0,9330000.0,9533000.0
NetInterestIncome,4434000.0,1124000.0,6073000.0,4244000.0
InterestExpense,2546000.0,2605000.0,2639000.0,2275000.0
InterestIncome,6980000.0,3729000.0,8712000.0,6519000.0
NormalizedIncome,3878000.0,7037370.0,25634000.0,39987000.421842
NetIncomeFromContinuingAndDiscontinuedOperation,3878000.0,3954000.0,25634000.0,38101000.0
DilutedAverageShares,17256000.0,17084000.0,17182000.0,16925000.0
BasicAverageShares,15105000.0,15066000.0,14507000.0,13663000.0
DilutedEPS,0.22,0.23,1.49,2.25
BasicEPS,0.26,0.26,1.77,2.79
DilutedNIAvailtoComStockholders,3878000.0,3954000.0,25634000.0,38101000.0
NetIncomeCommonStockholders,3878000.0,3954000.0,25634000.0,38101000.0
NetIncome,3878000.0,3954000.0,25634000.0,38101000.0
MinorityInterests,17555000.0,-10677000.0,-7812000.0,87000.0
NetIncomeIncludingNoncontrollingInterests,-13677000.0,14631000.0,33446000.0,38014000.0
NetIncomeContinuousOperations,-13677000.0,14631000.0,33446000.0,38014000.0
TaxProvision,10227000.0,-250000.0,-7637000.0,4656000.0
PretaxIncome,-3450000.0,14381000.0,25809000.0,42670000.0
SpecialIncomeCharges,0.0,-3903000.0,0.0,-2117000.0
RestructuringAndMergernAcquisition,0.0,3903000.0,0.0,2117000.0
GainOnSaleOfSecurity,-17108000.0,15797000.0,11115000.0,4305000.0
DepreciationAmortizationDepletionIncomeStatement,4833000.0,4904000.0,4904000.0,5292000.0
DepreciationAndAmortizationInIncomeStatement,4833000.0,4904000.0,4904000.0,5292000.0
Amortization,4833000.0,4904000.0,4904000.0,5292000.0
AmortizationOfIntangiblesIncomeStatement,4833000.0,4904000.0,4904000.0,5292000.0
SellingGeneralAndAdministration,215956000.0,200134000.0,209446000.0,273017000.0
SellingAndMarketingExpense,8674000.0,10930000.0,10052000.0,10275000.0
GeneralAndAdministrativeExpense,207282000.0,189204000.0,199394000.0,262742000.0
SalariesAndWages,207282000.0,189204000.0,199394000.0,262742000.0
TotalRevenue,277968000.0,276367000.0,286977000.0,375940000.0
OperatingRevenue,277968000.0,276367000.0,286977000.0,375940000.0
