,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TaxEffectOfUnusualItems,4741073193.15234,-33182862321.183575,69287572700.0,-296420300000.0
TaxRateForCalcs,0.337635,0.246561,0.1607,0.275
NormalizedEBITDA,2053189000000.0,2356294000000.0,1767528000000.0,865856000000.0
TotalUnusualItems,14042000000.0,-134583000000.0,431161000000.0,-1077892000000.0
TotalUnusualItemsExcludingGoodwill,14042000000.0,-134583000000.0,431161000000.0,-1077892000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,488201000000.0,689733000000.0,726419000000.0,-652420000000.0
ReconciledDepreciation,983477000000.0,935429000000.0,952872000000.0,968837000000.0
ReconciledCostOfRevenue,16131817000000.0,17212614000000.0,17115958000000.0,18178945000000.0
EBITDA,2067231000000.0,2221711000000.0,2198689000000.0,-212036000000.0
EBIT,1083754000000.0,1286282000000.0,1245817000000.0,-1180873000000.0
NetInterestIncome,-458728000000.0,-207126000000.0,-237013000000.0,-325360000000.0
InterestExpense,252638000000.0,256385000000.0,244560000000.0,200400000000.0
InterestIncome,126731000000.0,121745000000.0,104291000000.0,-97508000000.0
NormalizedIncome,478900073193.15234,791133137678.8164,364545572700.0,129051700000.0
NetIncomeFromContinuingAndDiscontinuedOperation,488201000000.0,689733000000.0,726419000000.0,-652420000000.0
TotalExpenses,17765077000000.0,18783247000000.0,18632979000000.0,19813952000000.0
RentExpenseSupplemental,12421000000.0,15296000000.0,11318000000.0,8531000000.0
TotalOperatingIncomeAsReported,1196216000000.0,1326229000000.0,704703000000.0,-933735000000.0
DilutedAverageShares,303504828.0,303504828.0,303396708.0,
BasicAverageShares,303504828.0,303504828.0,303396708.0,
DilutedEPS,1608.5,2272.5,2394.25,
BasicEPS,1608.5,2272.5,2394.25,
DilutedNIAvailtoComStockholders,488201000000.0,689733000000.0,726419000000.0,-565197359954.0
AverageDilutionEarnings,,,0.0,100671639482.0
NetIncomeCommonStockholders,488201000000.0,689733000000.0,726419000000.0,-665868999617.0
OtherunderPreferredStockDividend,0.0,0.0,0.0,0.0
NetIncome,488201000000.0,689733000000.0,726419000000.0,-652420000000.0
MinorityInterests,-62301000000.0,-86232000000.0,-113886000000.0,59087000000.0
NetIncomeIncludingNoncontrollingInterests,550502000000.0,775965000000.0,840305000000.0,-711507000000.0
NetIncomeContinuousOperations,550502000000.0,775965000000.0,840305000000.0,-711507000000.0
TaxProvision,280614000000.0,253932000000.0,160952000000.0,-669766000000.0
PretaxIncome,831116000000.0,1029897000000.0,1001257000000.0,-1381273000000.0
OtherIncomeExpense,94090000000.0,-101101000000.0,490371000000.0,-742919000000.0
OtherNonOperatingIncomeExpenses,-21168000000.0,-34434000000.0,-54589000000.0,87376000000.0
SpecialIncomeCharges,-29642000000.0,-180333000000.0,83440000000.0,-523171000000.0
GainOnSaleOfPPE,-21290000000.0,-21707000000.0,-118871000000.0,-28832000000.0
GainOnSaleOfBusiness,7343000000.0,171000000.0,180272000000.0,-10751000000.0
OtherSpecialCharges,,2176000000.0,28807000000.0,-198065000000.0
WriteOff,6463000000.0,10768000000.0,10926000000.0,29510000000.0
ImpairmentOfCapitalAssets,9232000000.0,148029000000.0,,451619000000.0
RestructuringAndMergernAcquisition,0.0,0.0,-32965000000.0,
EarningsFromEquityInterest,101216000000.0,67916000000.0,113799000000.0,247597000000.0
GainOnSaleOfSecurity,43684000000.0,45750000000.0,347721000000.0,-554721000000.0
NetNonOperatingInterestIncomeExpense,-458728000000.0,-207126000000.0,-237013000000.0,-325360000000.0
TotalOtherFinanceCost,332821000000.0,72486000000.0,96744000000.0,27452000000.0
InterestExpenseNonOperating,252638000000.0,256385000000.0,244560000000.0,200400000000.0
InterestIncomeNonOperating,126731000000.0,121745000000.0,104291000000.0,-97508000000.0
OperatingIncome,1195754000000.0,1338124000000.0,747899000000.0,-312995000000.0
OperatingExpense,715296000000.0,695719000000.0,625537000000.0,725547000000.0
OtherOperatingExpenses,462000000.0,-4225000000.0,-39766000000.0,-52055000000.0
OtherTaxes,23034000000.0,39186000000.0,15182000000.0,23358000000.0
ProvisionForDoubtfulAccounts,-1013000000.0,,,
DepreciationAmortizationDepletionIncomeStatement,65513000000.0,60515000000.0,61388000000.0,59377000000.0
DepreciationAndAmortizationInIncomeStatement,65513000000.0,60515000000.0,61388000000.0,59377000000.0
Amortization,23898000000.0,23454000000.0,22523000000.0,20732000000.0
AmortizationOfIntangiblesIncomeStatement,23898000000.0,23454000000.0,22523000000.0,20732000000.0
DepreciationIncomeStatement,41615000000.0,37061000000.0,38865000000.0,38645000000.0
ResearchAndDevelopment,44999000000.0,39793000000.0,36144000000.0,58921000000.0
SellingGeneralAndAdministration,576512000000.0,553703000000.0,548090000000.0,627825000000.0
SellingAndMarketingExpense,72325000000.0,73033000000.0,84382000000.0,120671000000.0
GeneralAndAdministrativeExpense,504187000000.0,480670000000.0,463708000000.0,507154000000.0
OtherGandA,110564000000.0,105565000000.0,78384000000.0,127924000000.0
InsuranceAndClaims,8015000000.0,7810000000.0,,
RentAndLandingFees,12421000000.0,15296000000.0,11318000000.0,8531000000.0
SalariesAndWages,373187000000.0,351999000000.0,374006000000.0,370699000000.0
GrossProfit,1911050000000.0,2033843000000.0,1373436000000.0,412552000000.0
CostOfRevenue,17049781000000.0,18087528000000.0,18007442000000.0,19088405000000.0
TotalRevenue,18960831000000.0,20121371000000.0,19380878000000.0,19500957000000.0
OperatingRevenue,18888481000000.0,20032532000000.0,19132061000000.0,19378285000000.0
